Periodo,Categoría,Residencia viajero,DATA
2017M07,1 Llave,No residentes en Espańa,1499.14
2017M07,"2, 3 y 4 Llaves",TOTAL,519.82
2017M07,"2, 3 y 4 Llaves",Residentes en Espańa,519.82
2017M07,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M08,TOTAL,TOTAL,21163.53
2017M08,TOTAL,Residentes en Espańa,19024.91
2017M08,TOTAL,No residentes en Espańa,2138.62
2017M08,1 Llave,TOTAL,19528.29
2017M08,1 Llave,Residentes en Espańa,17934.45
2017M08,1 Llave,No residentes en Espańa,1593.84
2017M08,"2, 3 y 4 Llaves",TOTAL,1635.24
2017M08,"2, 3 y 4 Llaves",Residentes en Espańa,1090.46
2017M08,"2, 3 y 4 Llaves",No residentes en Espańa,544.78
2017M09,TOTAL,TOTAL,11096.08
2017M09,TOTAL,Residentes en Espańa,9856.6
2017M09,TOTAL,No residentes en Espańa,1239.47
2017M09,1 Llave,TOTAL,9972.69
2017M09,1 Llave,Residentes en Espańa,8733.22
2017M09,1 Llave,No residentes en Espańa,1239.47
2017M09,"2, 3 y 4 Llaves",TOTAL,1123.39
2017M09,"2, 3 y 4 Llaves",Residentes en Espańa,1123.39
2017M09,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M10,TOTAL,TOTAL,12233.1
2017M10,TOTAL,Residentes en Espańa,10592.89
2017M10,TOTAL,No residentes en Espańa,1640.21
2017M10,1 Llave,TOTAL,11368.55
2017M10,1 Llave,Residentes en Espańa,9940.94
2017M10,1 Llave,No residentes en Espańa,1427.61
2017M10,"2, 3 y 4 Llaves",TOTAL,864.55
2017M10,"2, 3 y 4 Llaves",Residentes en Espańa,651.95
2017M10,"2, 3 y 4 Llaves",No residentes en Espańa,212.59
2017M11,TOTAL,TOTAL,7276.31
2017M11,TOTAL,Residentes en Espańa,6781.98
2017M11,TOTAL,No residentes en Espańa,494.33
2017M11,1 Llave,TOTAL,6398.51
2017M11,1 Llave,Residentes en Espańa,6151.06
2017M11,1 Llave,No residentes en Espańa,247.45
2017M11,"2, 3 y 4 Llaves",TOTAL,877.8
2017M11,"2, 3 y 4 Llaves",Residentes en Espańa,630.92
2017M11,"2, 3 y 4 Llaves",No residentes en Espańa,246.88
2017M12,TOTAL,TOTAL,11790.51
2017M12,TOTAL,Residentes en Espańa,11431.24
2017M12,TOTAL,No residentes en Espańa,359.27
2017M12,1 Llave,TOTAL,11049.68
2017M12,1 Llave,Residentes en Espańa,10690.41
2017M12,1 Llave,No residentes en Espańa,359.27
2017M12,"2, 3 y 4 Llaves",TOTAL,740.83
2017M12,"2, 3 y 4 Llaves",Residentes en Espańa,740.83
2017M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M01,TOTAL,TOTAL,5162.59
2018M01,TOTAL,Residentes en Espańa,5131.15
2018M01,TOTAL,No residentes en Espańa,31.44
2018M01,1 Llave,TOTAL,4429.03
2018M01,1 Llave,Residentes en Espańa,4397.59
2018M01,1 Llave,No residentes en Espańa,31.44
2018M01,"2, 3 y 4 Llaves",TOTAL,733.56
2018M01,"2, 3 y 4 Llaves",Residentes en Espańa,733.56
2018M01,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M02,TOTAL,TOTAL,7460.34
2018M02,TOTAL,Residentes en Espańa,7047.93
2018M02,TOTAL,No residentes en Espańa,412.41
2018M02,1 Llave,TOTAL,6660.92
2018M02,1 Llave,Residentes en Espańa,6644.92
2018M02,1 Llave,No residentes en Espańa,16
2018M02,"2, 3 y 4 Llaves",TOTAL,799.42
2018M02,"2, 3 y 4 Llaves",Residentes en Espańa,403.01
2018M02,"2, 3 y 4 Llaves",No residentes en Espańa,396.41
2018M03,TOTAL,TOTAL,9080.29
2018M03,TOTAL,Residentes en Espańa,8867.56
2018M03,TOTAL,No residentes en Espańa,212.73
2018M03,1 Llave,TOTAL,7974.98
2018M03,1 Llave,Residentes en Espańa,7762.25
2018M03,1 Llave,No residentes en Espańa,212.73
2018M03,"2, 3 y 4 Llaves",TOTAL,1105.31
2018M03,"2, 3 y 4 Llaves",Residentes en Espańa,1105.31
2018M03,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M04,TOTAL,TOTAL,7981.53
2018M04,TOTAL,Residentes en Espańa,7493.16
2018M04,TOTAL,No residentes en Espańa,488.37
2018M04,1 Llave,TOTAL,7279.19
2018M04,1 Llave,Residentes en Espańa,6790.82
