Periodo,CCAA de residencia,Medida,DATA
2016M06,"Balears, Illes",Pernoctaciones,
2016M06,"Murcia, Región de",Viajeros,4
2016M06,"Murcia, Región de",Pernoctaciones,4
2016M06,Canarias,Viajeros,
2016M06,Canarias,Pernoctaciones,
2016M06,Melilla,Viajeros,
2016M06,Melilla,Pernoctaciones,
2016M06,Ceuta,Viajeros,
2016M06,Ceuta,Pernoctaciones,
2016M07,TOTAL,Viajeros,5751.98
2016M07,TOTAL,Pernoctaciones,16624.64
2016M07,NO RESIDENTE EN ESPAŃA,Viajeros,647.96
2016M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1695.54
2016M07,RESIDENTES EN ESPAŃA,Viajeros,5104.02
2016M07,RESIDENTES EN ESPAŃA,Pernoctaciones,14929.1
2016M07,Andalucía,Viajeros,150.39
2016M07,Andalucía,Pernoctaciones,776.98
2016M07,Aragón,Viajeros,293.91
2016M07,Aragón,Pernoctaciones,716
2016M07,"Asturias, Principado de",Viajeros,50.18
2016M07,"Asturias, Principado de",Pernoctaciones,54.06
2016M07,Cantabria,Viajeros,115.8
2016M07,Cantabria,Pernoctaciones,169.92
2016M07,Castilla y León,Viajeros,275.01
2016M07,Castilla y León,Pernoctaciones,541.38
2016M07,Castilla - La Mancha,Viajeros,59.81
2016M07,Castilla - La Mancha,Pernoctaciones,358.9
2016M07,Cataluńa,Viajeros,647.38
2016M07,Cataluńa,Pernoctaciones,2335.66
2016M07,Comunitat Valenciana,Viajeros,370.82
2016M07,Comunitat Valenciana,Pernoctaciones,1198.84
2016M07,Extremadura,Viajeros,
2016M07,Extremadura,Pernoctaciones,
2016M07,Galicia,Viajeros,34.81
2016M07,Galicia,Pernoctaciones,73.56
2016M07,"Madrid, Comunidad de",Viajeros,1527.25
2016M07,"Madrid, Comunidad de",Pernoctaciones,4184.71
2016M07,"Navarra, Comunidad Foral de",Viajeros,54.12
2016M07,"Navarra, Comunidad Foral de",Pernoctaciones,219.09
2016M07,País Vasco,Viajeros,1301.43
2016M07,País Vasco,Pernoctaciones,3607.12
2016M07,"Rioja, La",Viajeros,119.63
2016M07,"Rioja, La",Pernoctaciones,279.77
2016M07,"Balears, Illes",Viajeros,7.75
2016M07,"Balears, Illes",Pernoctaciones,46.5
2016M07,"Murcia, Región de",Viajeros,76.35
2016M07,"Murcia, Región de",Pernoctaciones,265.86
2016M07,Canarias,Viajeros,7.75
2016M07,Canarias,Pernoctaciones,31
2016M07,Melilla,Viajeros,11.62
