Periodo,Categoría,Grado de ocupación,DATA
2016M01,3 estrellas,grado de ocupación por plazas,37.22
2016M01,3 estrellas,grado de ocupación de plazas de fin de semana,51.85
2016M01,3 estrellas,grado de ocupación por habitaciones,43.49
2016M01,1 y 2 estrellas,grado de ocupación por plazas,17.41
2016M01,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,26.34
2016M01,1 y 2 estrellas,grado de ocupación por habitaciones,21.21
2016M01,Hostales y pensiones,grado de ocupación por plazas,14.42
2016M01,Hostales y pensiones,grado de ocupación de plazas de fin de semana,15.34
2016M01,Hostales y pensiones,grado de ocupación por habitaciones,20.34
2016M02,TOTAL,grado de ocupación por plazas,35.74
2016M02,TOTAL,grado de ocupación de plazas de fin de semana,56.22
2016M02,TOTAL,grado de ocupación por habitaciones,42.81
2016M02,4 y 5 estrellas,grado de ocupación por plazas,46.57
2016M02,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,78.01
2016M02,4 y 5 estrellas,grado de ocupación por habitaciones,53.29
2016M02,3 estrellas,grado de ocupación por plazas,42.6
2016M02,3 estrellas,grado de ocupación de plazas de fin de semana,65.08
2016M02,3 estrellas,grado de ocupación por habitaciones,51.73
2016M02,1 y 2 estrellas,grado de ocupación por plazas,16.79
2016M02,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,29.53
2016M02,1 y 2 estrellas,grado de ocupación por habitaciones,19.19
2016M02,Hostales y pensiones,grado de ocupación por plazas,19.32
2016M02,Hostales y pensiones,grado de ocupación de plazas de fin de semana,28.14
2016M02,Hostales y pensiones,grado de ocupación por habitaciones,25.62
2016M03,TOTAL,grado de ocupación por plazas,44.39
2016M03,TOTAL,grado de ocupación de plazas de fin de semana,65.65
2016M03,TOTAL,grado de ocupación por habitaciones,50.15
2016M03,4 y 5 estrellas,grado de ocupación por plazas,56.13
2016M03,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,77.05
2016M03,4 y 5 estrellas,grado de ocupación por habitaciones,63.01
2016M03,3 estrellas,grado de ocupación por plazas,50.99
2016M03,3 estrellas,grado de ocupación de plazas de fin de semana,73.46
2016M03,3 estrellas,grado de ocupación por habitaciones,57.85
2016M03,1 y 2 estrellas,grado de ocupación por plazas,31.41
2016M03,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,49.33
2016M03,1 y 2 estrellas,grado de ocupación por habitaciones,32.22
2016M03,Hostales y pensiones,grado de ocupación por plazas,25.5
2016M03,Hostales y pensiones,grado de ocupación de plazas de fin de semana,46.04
2016M03,Hostales y pensiones,grado de ocupación por habitaciones,30.94
2016M04,TOTAL,grado de ocupación por plazas,39.74
2016M04,TOTAL,grado de ocupación de plazas de fin de semana,58.2
2016M04,TOTAL,grado de ocupación por habitaciones,48.36
2016M04,4 y 5 estrellas,grado de ocupación por plazas,51.85
2016M04,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,76.9
2016M04,4 y 5 estrellas,grado de ocupación por habitaciones,64.08
2016M04,3 estrellas,grado de ocupación por plazas,46.3
2016M04,3 estrellas,grado de ocupación de plazas de fin de semana,64.37
2016M04,3 estrellas,grado de ocupación por habitaciones,56.75
2016M04,1 y 2 estrellas,grado de ocupación por plazas,21.27
2016M04,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,45.88
2016M04,1 y 2 estrellas,grado de ocupación por habitaciones,23.26
2016M04,Hostales y pensiones,grado de ocupación por plazas,23.43
2016M04,Hostales y pensiones,grado de ocupación de plazas de fin de semana,34.32
2016M04,Hostales y pensiones,grado de ocupación por habitaciones,29
2016M05,TOTAL,grado de ocupación por plazas,47.52
2016M05,TOTAL,grado de ocupación de plazas de fin de semana,65.91
2016M05,TOTAL,grado de ocupación por habitaciones,57.41
2016M05,4 y 5 estrellas,grado de ocupación por plazas,60.41
2016M05,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,80.87
2016M05,4 y 5 estrellas,grado de ocupación por habitaciones,74.34
2016M05,3 estrellas,grado de ocupación por plazas,52.59
2016M05,3 estrellas,grado de ocupación de plazas de fin de semana,71.1
2016M05,3 estrellas,grado de ocupación por habitaciones,64.99
2016M05,1 y 2 estrellas,grado de ocupación por plazas,24.91
2016M05,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,46.25
2016M05,1 y 2 estrellas,grado de ocupación por habitaciones,27.41
2016M05,Hostales y pensiones,grado de ocupación por plazas,34.77
2016M05,Hostales y pensiones,grado de ocupación de plazas de fin de semana,50.03
2016M05,Hostales y pensiones,grado de ocupación por habitaciones,40.32
2016M06,TOTAL,grado de ocupación por plazas,43.97
2016M06,TOTAL,grado de ocupación de plazas de fin de semana,61.26
2016M06,TOTAL,grado de ocupación por habitaciones,51.83
2016M06,4 y 5 estrellas,grado de ocupación por plazas,63.14
2016M06,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,78.1
2016M06,4 y 5 estrellas,grado de ocupación por habitaciones,69.28
2016M06,3 estrellas,grado de ocupación por plazas,49.92
2016M06,3 estrellas,grado de ocupación de plazas de fin de semana,70.85
2016M06,3 estrellas,grado de ocupación por habitaciones,60.78
2016M06,1 y 2 estrellas,grado de ocupación por plazas,25.52
2016M06,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,44.63
2016M06,1 y 2 estrellas,grado de ocupación por habitaciones,28.38
2016M06,Hostales y pensiones,grado de ocupación por plazas,21.9
2016M06,Hostales y pensiones,grado de ocupación de plazas de fin de semana,34.24
2016M06,Hostales y pensiones,grado de ocupación por habitaciones,28.89
2016M07,TOTAL,grado de ocupación por plazas,51.96
2016M07,TOTAL,grado de ocupación de plazas de fin de semana,65.11
2016M07,TOTAL,grado de ocupación por habitaciones,56.75
2016M07,4 y 5 estrellas,grado de ocupación por plazas,66.58
2016M07,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,80.1
2016M07,4 y 5 estrellas,grado de ocupación por habitaciones,71.99
2016M07,3 estrellas,grado de ocupación por plazas,59.83
2016M07,3 estrellas,grado de ocupación de plazas de fin de semana,73.33
2016M07,3 estrellas,grado de ocupación por habitaciones,66.3
2016M07,1 y 2 estrellas,grado de ocupación por plazas,34.5
2016M07,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,50.51
2016M07,1 y 2 estrellas,grado de ocupación por habitaciones,34.07
2016M07,Hostales y pensiones,grado de ocupación por plazas,31.27
2016M07,Hostales y pensiones,grado de ocupación de plazas de fin de semana,42.52
2016M07,Hostales y pensiones,grado de ocupación por habitaciones,35.43
2016M08,TOTAL,grado de ocupación por plazas,63.06
2016M08,TOTAL,grado de ocupación de plazas de fin de semana,73.47
2016M08,TOTAL,grado de ocupación por habitaciones,65.53
2016M08,4 y 5 estrellas,grado de ocupación por plazas,80.8
2016M08,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,88.12
2016M08,4 y 5 estrellas,grado de ocupación por habitaciones,81.06
2016M08,3 estrellas,grado de ocupación por plazas,73.26
2016M08,3 estrellas,grado de ocupación de plazas de fin de semana,83.45
2016M08,3 estrellas,grado de ocupación por habitaciones,76.45
2016M08,1 y 2 estrellas,grado de ocupación por plazas,44.17
2016M08,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,59.67
2016M08,1 y 2 estrellas,grado de ocupación por habitaciones,41.51
2016M08,Hostales y pensiones,grado de ocupación por plazas,37.82
2016M08,Hostales y pensiones,grado de ocupación de plazas de fin de semana,49.56
2016M08,Hostales y pensiones,grado de ocupación por habitaciones,43.74
2016M09,TOTAL,grado de ocupación por plazas,55.96
2016M09,TOTAL,grado de ocupación de plazas de fin de semana,69.93
2016M09,TOTAL,grado de ocupación por habitaciones,64.04
2016M09,4 y 5 estrellas,grado de ocupación por plazas,71.88
2016M09,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,89.08
2016M09,4 y 5 estrellas,grado de ocupación por habitaciones,81.03
2016M09,3 estrellas,grado de ocupación por plazas,65.28
