Periodo,Categoría,Estancia media,DATA
2015M12,Hostales y pensiones,Estancia media No residentes en Espańa,1.72
2016M01,TOTAL,Estancia media,1.75
2016M01,TOTAL,Estancia media Residentes en Espańa,1.71
2016M01,TOTAL,Estancia media No residentes en Espańa,2.17
2016M01,4 y 5 estrellas,Estancia media,1.65
2016M01,4 y 5 estrellas,Estancia media Residentes en Espańa,1.62
2016M01,4 y 5 estrellas,Estancia media No residentes en Espańa,1.9
2016M01,3 estrellas,Estancia media,1.68
2016M01,3 estrellas,Estancia media Residentes en Espańa,1.65
2016M01,3 estrellas,Estancia media No residentes en Espańa,1.92
2016M01,1 y 2 estrellas,Estancia media,2.01
2016M01,1 y 2 estrellas,Estancia media Residentes en Espańa,1.5
2016M01,1 y 2 estrellas,Estancia media No residentes en Espańa,17.56
2016M01,Hostales y pensiones,Estancia media,2.53
2016M01,Hostales y pensiones,Estancia media Residentes en Espańa,2.5
2016M01,Hostales y pensiones,Estancia media No residentes en Espańa,3.23
2016M02,TOTAL,Estancia media,1.75
2016M02,TOTAL,Estancia media Residentes en Espańa,1.76
2016M02,TOTAL,Estancia media No residentes en Espańa,1.67
2016M02,4 y 5 estrellas,Estancia media,1.73
2016M02,4 y 5 estrellas,Estancia media Residentes en Espańa,1.74
2016M02,4 y 5 estrellas,Estancia media No residentes en Espańa,1.61
2016M02,3 estrellas,Estancia media,1.69
2016M02,3 estrellas,Estancia media Residentes en Espańa,1.7
2016M02,3 estrellas,Estancia media No residentes en Espańa,1.65
2016M02,1 y 2 estrellas,Estancia media,1.62
2016M02,1 y 2 estrellas,Estancia media Residentes en Espańa,1.65
2016M02,1 y 2 estrellas,Estancia media No residentes en Espańa,1.36
2016M02,Hostales y pensiones,Estancia media,2.11
2016M02,Hostales y pensiones,Estancia media Residentes en Espańa,2.08
2016M02,Hostales y pensiones,Estancia media No residentes en Espańa,3.08
2016M03,TOTAL,Estancia media,1.87
2016M03,TOTAL,Estancia media Residentes en Espańa,1.89
2016M03,TOTAL,Estancia media No residentes en Espańa,1.68
2016M03,4 y 5 estrellas,Estancia media,1.96
2016M03,4 y 5 estrellas,Estancia media Residentes en Espańa,2.01
2016M03,4 y 5 estrellas,Estancia media No residentes en Espańa,1.52
2016M03,3 estrellas,Estancia media,1.8
2016M03,3 estrellas,Estancia media Residentes en Espańa,1.8
2016M03,3 estrellas,Estancia media No residentes en Espańa,1.75
2016M03,1 y 2 estrellas,Estancia media,1.84
2016M03,1 y 2 estrellas,Estancia media Residentes en Espańa,1.85
2016M03,1 y 2 estrellas,Estancia media No residentes en Espańa,1.74
2016M03,Hostales y pensiones,Estancia media,1.97
2016M03,Hostales y pensiones,Estancia media Residentes en Espańa,1.97
2016M03,Hostales y pensiones,Estancia media No residentes en Espańa,1.92
2016M04,TOTAL,Estancia media,1.66
2016M04,TOTAL,Estancia media Residentes en Espańa,1.67
2016M04,TOTAL,Estancia media No residentes en Espańa,1.6
2016M04,4 y 5 estrellas,Estancia media,1.86
2016M04,4 y 5 estrellas,Estancia media Residentes en Espańa,1.92
2016M04,4 y 5 estrellas,Estancia media No residentes en Espańa,1.59
2016M04,3 estrellas,Estancia media,1.55
2016M04,3 estrellas,Estancia media Residentes en Espańa,1.51
2016M04,3 estrellas,Estancia media No residentes en Espańa,1.69
2016M04,1 y 2 estrellas,Estancia media,1.56
2016M04,1 y 2 estrellas,Estancia media Residentes en Espańa,1.53
2016M04,1 y 2 estrellas,Estancia media No residentes en Espańa,1.77
2016M04,Hostales y pensiones,Estancia media,1.72
2016M04,Hostales y pensiones,Estancia media Residentes en Espańa,1.85
2016M04,Hostales y pensiones,Estancia media No residentes en Espańa,1.21
2016M05,TOTAL,Estancia media,1.6
2016M05,TOTAL,Estancia media Residentes en Espańa,1.69
2016M05,TOTAL,Estancia media No residentes en Espańa,1.4
2016M05,4 y 5 estrellas,Estancia media,1.92
2016M05,4 y 5 estrellas,Estancia media Residentes en Espańa,2.01
2016M05,4 y 5 estrellas,Estancia media No residentes en Espańa,1.66
2016M05,3 estrellas,Estancia media,1.52
2016M05,3 estrellas,Estancia media Residentes en Espańa,1.55
2016M05,3 estrellas,Estancia media No residentes en Espańa,1.45
2016M05,1 y 2 estrellas,Estancia media,1.48
2016M05,1 y 2 estrellas,Estancia media Residentes en Espańa,1.51
2016M05,1 y 2 estrellas,Estancia media No residentes en Espańa,1.34
2016M05,Hostales y pensiones,Estancia media,1.47
2016M05,Hostales y pensiones,Estancia media Residentes en Espańa,1.73
2016M05,Hostales y pensiones,Estancia media No residentes en Espańa,1.1
2016M06,TOTAL,Estancia media,1.63
2016M06,TOTAL,Estancia media Residentes en Espańa,1.64
2016M06,TOTAL,Estancia media No residentes en Espańa,1.6
2016M06,4 y 5 estrellas,Estancia media,1.7
2016M06,4 y 5 estrellas,Estancia media Residentes en Espańa,1.73
2016M06,4 y 5 estrellas,Estancia media No residentes en Espańa,1.64
2016M06,3 estrellas,Estancia media,1.61
2016M06,3 estrellas,Estancia media Residentes en Espańa,1.57
2016M06,3 estrellas,Estancia media No residentes en Espańa,1.71
2016M06,1 y 2 estrellas,Estancia media,1.6
2016M06,1 y 2 estrellas,Estancia media Residentes en Espańa,1.66
2016M06,1 y 2 estrellas,Estancia media No residentes en Espańa,1.32
2016M06,Hostales y pensiones,Estancia media,1.57
2016M06,Hostales y pensiones,Estancia media Residentes en Espańa,1.73
2016M06,Hostales y pensiones,Estancia media No residentes en Espańa,1.23
2016M07,TOTAL,Estancia media,1.78
