Periodo,País de residencia,Medida,DATA
2016M06,Resto de Europa,Viajeros,6.13
2016M06,Resto de Europa,Pernoctaciones,12.26
2016M06,Estados Unidos,Viajeros,61.29
2016M06,Estados Unidos,Pernoctaciones,134.83
2016M06,Paises Bajos,Viajeros,18.39
2016M06,Paises Bajos,Pernoctaciones,24.51
2016M06,Italia,Viajeros,
2016M06,Italia,Pernoctaciones,
2016M07,TOTAL,Viajeros,3054.28
2016M07,TOTAL,Pernoctaciones,6686.83
2016M07,RESIDENTES EN ESPAŃA,Viajeros,2598.17
2016M07,RESIDENTES EN ESPAŃA,Pernoctaciones,5744.75
2016M07,NO RESIDENTE EN ESPAŃA,Viajeros,456.11
2016M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,942.07
2016M07,Alemania,Viajeros,48.87
2016M07,Alemania,Pernoctaciones,65.16
2016M07,Francia,Viajeros,130.32
2016M07,Francia,Pernoctaciones,331.22
2016M07,Reino Unido,Viajeros,27.15
2016M07,Reino Unido,Pernoctaciones,70.59
2016M07,Resto de no residentes en Espańa,Viajeros,108.6
2016M07,Resto de no residentes en Espańa,Pernoctaciones,271.49
2016M07,Resto de UE,Viajeros,46.15
2016M07,Resto de UE,Pernoctaciones,54.3
2016M07,Resto de Europa,Viajeros,16.29
2016M07,Resto de Europa,Pernoctaciones,16.29
2016M07,Estados Unidos,Viajeros,54.3
2016M07,Estados Unidos,Pernoctaciones,86.88
2016M07,Paises Bajos,Viajeros,24.43
2016M07,Paises Bajos,Pernoctaciones,46.15
2016M07,Italia,Viajeros,
2016M07,Italia,Pernoctaciones,
2016M08,TOTAL,Viajeros,4617.9
2016M08,TOTAL,Pernoctaciones,13167.35
2016M08,RESIDENTES EN ESPAŃA,Viajeros,4143.93
2016M08,RESIDENTES EN ESPAŃA,Pernoctaciones,12180.57
2016M08,NO RESIDENTE EN ESPAŃA,Viajeros,473.96
2016M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,986.77
2016M08,Alemania,Viajeros,69.93
2016M08,Alemania,Pernoctaciones,142.45
2016M08,Francia,Viajeros,139.86
2016M08,Francia,Pernoctaciones,220.15
2016M08,Reino Unido,Viajeros,62.16
2016M08,Reino Unido,Pernoctaciones,181.3
2016M08,Resto de no residentes en Espańa,Viajeros,41.44
2016M08,Resto de no residentes en Espańa,Pernoctaciones,88.06
2016M08,Resto de UE,Viajeros,85.47
2016M08,Resto de UE,Pernoctaciones,220.15
2016M08,Resto de Europa,Viajeros,10.36
2016M08,Resto de Europa,Pernoctaciones,31.08
2016M08,Estados Unidos,Viajeros,15.54
2016M08,Estados Unidos,Pernoctaciones,31.08
2016M08,Paises Bajos,Viajeros,20.72
2016M08,Paises Bajos,Pernoctaciones,25.9
2016M08,Italia,Viajeros,28.49
2016M08,Italia,Pernoctaciones,46.62
2016M09,TOTAL,Viajeros,3065.76
2016M09,TOTAL,Pernoctaciones,5949.34
2016M09,RESIDENTES EN ESPAŃA,Viajeros,2620.73
2016M09,RESIDENTES EN ESPAŃA,Pernoctaciones,5137.36
2016M09,NO RESIDENTE EN ESPAŃA,Viajeros,445.03
2016M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,811.98
2016M09,Alemania,Viajeros,49.45
2016M09,Alemania,Pernoctaciones,85.88
2016M09,Francia,Viajeros,174.37
2016M09,Francia,Pernoctaciones,252.44
2016M09,Reino Unido,Viajeros,62.46
2016M09,Reino Unido,Pernoctaciones,98.9
2016M09,Resto de no residentes en Espańa,Viajeros,18.22
2016M09,Resto de no residentes en Espańa,Pernoctaciones,18.22
2016M09,Resto de UE,Viajeros,18.22
2016M09,Resto de UE,Pernoctaciones,33.83
2016M09,Resto de Europa,Viajeros,15.62
2016M09,Resto de Europa,Pernoctaciones,36.44
2016M09,Estados Unidos,Viajeros,70.27
2016M09,Estados Unidos,Pernoctaciones,229.02
2016M09,Paises Bajos,Viajeros,20.82
