Subcategoria,Periodo,Numero de Turistas,Categoria,Fecha,Indicador,Gastos/Estancia,Tipo de gasto
De Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto total,9577.29,No disponible
De Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto total,28650.12,No disponible
De Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto total,72807.93,No disponible
De Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto total,38329.94,No disponible
De Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto medio por persona,555.57,No disponible
De Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto medio por persona,810.68,No disponible
De Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto medio por persona,730.87,No disponible
De Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto medio por persona,678.32,No disponible
De Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto medio por persona,372.84,No disponible
De Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto medio por persona,866.34,No disponible
De Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto medio por persona,1006.05,No disponible
De Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto medio por persona,607.16,No disponible
De Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto medio diario por persona,145.05,No disponible
De Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto medio diario por persona,130.11,No disponible
De Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto medio diario por persona,178.33,No disponible
De Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto medio diario por persona,162.92,No disponible
De Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto medio diario por persona,182.89,No disponible
De Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto medio diario por persona,171.72,No disponible
De Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto medio diario por persona,210.14,No disponible
De Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto medio diario por persona,223.62,No disponible
De Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Duración media de los viajes,3.83,No disponible
De Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Duración media de los viajes,6.23,No disponible
De Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Duración media de los viajes,4.1,No disponible
De Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Duración media de los viajes,4.16,No disponible
De Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Duración media de los viajes,2.04,No disponible
De Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Duración media de los viajes,5.05,No disponible
De Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Duración media de los viajes,4.79,No disponible
De Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Duración media de los viajes,2.72,No disponible
No de Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto total,36241.08,No disponible
No de Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto total,29191.15,No disponible
No de Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto total,38878.27,No disponible
No de Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto total,38941.67,No disponible
No de Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto total,12257.99,No disponible
No de Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto total,13377.36,No disponible
No de Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto total,35796.16,No disponible
No de Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto total,48399.88,No disponible
No de Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto medio por persona,889.32,No disponible
No de Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto medio por persona,708.38,No disponible
No de Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto medio por persona,673.14,No disponible
No de Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto medio por persona,746.95,No disponible
No de Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto medio por persona,623.25,No disponible
No de Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto medio por persona,901.29,No disponible
No de Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto medio por persona,894.47,No disponible
No de Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto medio por persona,878.76,No disponible
No de Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto medio diario por persona,65.86,No disponible
No de Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto medio diario por persona,62.42,No disponible
No de Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto medio diario por persona,62.65,No disponible
No de Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto medio diario por persona,66.38,No disponible
No de Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto medio diario por persona,50.04,No disponible
No de Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto medio diario por persona,69.36,No disponible
No de Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto medio diario por persona,77.6,No disponible
No de Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto medio diario por persona,99.65,No disponible
No de Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Duración media de los viajes,13.5,No disponible
No de Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Duración media de los viajes,11.35,No disponible
No de Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Duración media de los viajes,10.75,No disponible
No de Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Duración media de los viajes,11.25,No disponible
No de Mercado,2020,No disponible,Tipo de alojamiento,2020-01-01,Duración media de los viajes,12.45,No disponible
No de Mercado,2021,No disponible,Tipo de alojamiento,2021-01-01,Duración media de los viajes,13.0,No disponible
No de Mercado,2022,No disponible,Tipo de alojamiento,2022-01-01,Duración media de los viajes,11.53,No disponible
No de Mercado,2023,No disponible,Tipo de alojamiento,2023-01-01,Duración media de los viajes,8.82,No disponible
TOTAL,2016,No disponible,Motivo del viaje,2016-01-01,Gasto total,93087.88,No disponible
TOTAL,2017,No disponible,Motivo del viaje,2017-01-01,Gasto total,101962.17,No disponible
TOTAL,2018,No disponible,Motivo del viaje,2018-01-01,Gasto total,101126.5,No disponible
TOTAL,2019,No disponible,Motivo del viaje,2019-01-01,Gasto total,98201.73,No disponible
TOTAL,2020,No disponible,Motivo del viaje,2020-01-01,Gasto total,21835.28,No disponible
TOTAL,2021,No disponible,Motivo del viaje,2021-01-01,Gasto total,42027.48,No disponible
TOTAL,2022,No disponible,Motivo del viaje,2022-01-01,Gasto total,108604.09,No disponible
TOTAL,2023,No disponible,Motivo del viaje,2023-01-01,Gasto total,86729.82,No disponible
TOTAL,2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio por persona,650.63,No disponible
TOTAL,2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio por persona,778.49,No disponible
TOTAL,2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio por persona,707.54,No disponible
TOTAL,2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio por persona,703.97,No disponible
TOTAL,2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio por persona,481.43,No disponible
TOTAL,2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio por persona,877.16,No disponible
TOTAL,2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio por persona,966.32,No disponible
TOTAL,2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio por persona,733.71,No disponible
TOTAL,2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio diario por persona,98.8,No disponible
TOTAL,2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio diario por persona,99.29,No disponible
TOTAL,2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio diario por persona,104.29,No disponible
TOTAL,2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio diario por persona,103.32,No disponible
TOTAL,2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio diario por persona,73.44,No disponible
TOTAL,2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio diario por persona,116.83,No disponible
TOTAL,2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio diario por persona,134.45,No disponible
TOTAL,2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio diario por persona,131.99,No disponible
TOTAL,2016,No disponible,Motivo del viaje,2016-01-01,Duración media de los viajes,6.59,No disponible
TOTAL,2017,No disponible,Motivo del viaje,2017-01-01,Duración media de los viajes,7.84,No disponible
TOTAL,2018,No disponible,Motivo del viaje,2018-01-01,Duración media de los viajes,6.78,No disponible
TOTAL,2019,No disponible,Motivo del viaje,2019-01-01,Duración media de los viajes,6.81,No disponible
TOTAL,2020,No disponible,Motivo del viaje,2020-01-01,Duración media de los viajes,6.56,No disponible
TOTAL,2021,No disponible,Motivo del viaje,2021-01-01,Duración media de los viajes,7.51,No disponible
TOTAL,2022,No disponible,Motivo del viaje,2022-01-01,Duración media de los viajes,7.19,No disponible
TOTAL,2023,No disponible,Motivo del viaje,2023-01-01,Duración media de los viajes,5.56,No disponible
"Ocio, recreo y vacaciones",2016,No disponible,Motivo del viaje,2016-01-01,Gasto total,39232.44,No disponible
"Ocio, recreo y vacaciones",2017,No disponible,Motivo del viaje,2017-01-01,Gasto total,55458.02,No disponible
"Ocio, recreo y vacaciones",2018,No disponible,Motivo del viaje,2018-01-01,Gasto total,52469.7,No disponible
"Ocio, recreo y vacaciones",2019,No disponible,Motivo del viaje,2019-01-01,Gasto total,58276.35,No disponible
"Ocio, recreo y vacaciones",2020,No disponible,Motivo del viaje,2020-01-01,Gasto total,10229.85,No disponible
"Ocio, recreo y vacaciones",2021,No disponible,Motivo del viaje,2021-01-01,Gasto total,21035.59,No disponible
"Ocio, recreo y vacaciones",2022,No disponible,Motivo del viaje,2022-01-01,Gasto total,59445.82,No disponible
"Ocio, recreo y vacaciones",2023,No disponible,Motivo del viaje,2023-01-01,Gasto total,36179.05,No disponible
"Ocio, recreo y vacaciones",2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio por persona,481.26,No disponible
"Ocio, recreo y vacaciones",2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio por persona,650.13,No disponible
"Ocio, recreo y vacaciones",2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio por persona,797.28,No disponible
"Ocio, recreo y vacaciones",2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio por persona,706.17,No disponible
"Ocio, recreo y vacaciones",2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio por persona,580.27,No disponible
"Ocio, recreo y vacaciones",2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio por persona,794.36,No disponible
"Ocio, recreo y vacaciones",2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio por persona,993.66,No disponible
"Ocio, recreo y vacaciones",2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio por persona,959.1,No disponible
"Ocio, recreo y vacaciones",2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio diario por persona,95.27,No disponible
"Ocio, recreo y vacaciones",2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio diario por persona,144.49,No disponible
"Ocio, recreo y vacaciones",2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio diario por persona,119.58,No disponible
"Ocio, recreo y vacaciones",2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio diario por persona,128.54,No disponible
"Ocio, recreo y vacaciones",2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio diario por persona,70.16,No disponible
"Ocio, recreo y vacaciones",2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio diario por persona,152.48,No disponible
"Ocio, recreo y vacaciones",2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio diario por persona,196.08,No disponible
"Ocio, recreo y vacaciones",2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio diario por persona,156.65,No disponible
"Ocio, recreo y vacaciones",2016,No disponible,Motivo del viaje,2016-01-01,Duración media de los viajes,5.05,No disponible
"Ocio, recreo y vacaciones",2017,No disponible,Motivo del viaje,2017-01-01,Duración media de los viajes,4.5,No disponible
"Ocio, recreo y vacaciones",2018,No disponible,Motivo del viaje,2018-01-01,Duración media de los viajes,6.67,No disponible
"Ocio, recreo y vacaciones",2019,No disponible,Motivo del viaje,2019-01-01,Duración media de los viajes,5.49,No disponible
"Ocio, recreo y vacaciones",2020,No disponible,Motivo del viaje,2020-01-01,Duración media de los viajes,8.27,No disponible
"Ocio, recreo y vacaciones",2021,No disponible,Motivo del viaje,2021-01-01,Duración media de los viajes,5.21,No disponible
"Ocio, recreo y vacaciones",2022,No disponible,Motivo del viaje,2022-01-01,Duración media de los viajes,5.07,No disponible
"Ocio, recreo y vacaciones",2023,No disponible,Motivo del viaje,2023-01-01,Duración media de los viajes,6.12,No disponible
Negocios,2016,No disponible,Motivo del viaje,2016-01-01,Gasto total,18162.78,No disponible
Negocios,2017,No disponible,Motivo del viaje,2017-01-01,Gasto total,26965.87,No disponible
Negocios,2018,No disponible,Motivo del viaje,2018-01-01,Gasto total,22474.96,No disponible
Negocios,2019,No disponible,Motivo del viaje,2019-01-01,Gasto total,12308.8,No disponible
Negocios,2020,No disponible,Motivo del viaje,2020-01-01,Gasto total,3952.61,No disponible
Negocios,2021,No disponible,Motivo del viaje,2021-01-01,Gasto total,3155.42,No disponible
Negocios,2022,No disponible,Motivo del viaje,2022-01-01,Gasto total,13086.44,No disponible
Negocios,2023,No disponible,Motivo del viaje,2023-01-01,Gasto total,19027.09,No disponible
Negocios,2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio por persona,814.34,No disponible
Negocios,2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio por persona,1559.79,No disponible
Negocios,2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio por persona,810.9,No disponible
Negocios,2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio por persona,815.19,No disponible
Negocios,2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio por persona,366.57,No disponible
Negocios,2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio por persona,515.85,No disponible
Negocios,2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio por persona,770.35,No disponible
Negocios,2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio por persona,757.85,No disponible
Negocios,2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio diario por persona,159.84,No disponible
Negocios,2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio diario por persona,75.82,No disponible
Negocios,2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio diario por persona,164.68,No disponible
Negocios,2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio diario por persona,242.49,No disponible
Negocios,2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio diario por persona,216.06,No disponible
Negocios,2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio diario por persona,214.79,No disponible
Negocios,2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio diario por persona,227.05,No disponible
Negocios,2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio diario por persona,305.6,No disponible
Negocios,2016,No disponible,Motivo del viaje,2016-01-01,Duración media de los viajes,5.09,No disponible
Negocios,2017,No disponible,Motivo del viaje,2017-01-01,Duración media de los viajes,20.57,No disponible
Negocios,2018,No disponible,Motivo del viaje,2018-01-01,Duración media de los viajes,4.92,No disponible
Negocios,2019,No disponible,Motivo del viaje,2019-01-01,Duración media de los viajes,3.36,No disponible
Negocios,2020,No disponible,Motivo del viaje,2020-01-01,Duración media de los viajes,1.7,No disponible
Negocios,2021,No disponible,Motivo del viaje,2021-01-01,Duración media de los viajes,2.4,No disponible
Negocios,2022,No disponible,Motivo del viaje,2022-01-01,Duración media de los viajes,3.39,No disponible
Negocios,2023,No disponible,Motivo del viaje,2023-01-01,Duración media de los viajes,2.48,No disponible
Otros motivos,2016,No disponible,Motivo del viaje,2016-01-01,Gasto total,35692.66,No disponible
Otros motivos,2017,No disponible,Motivo del viaje,2017-01-01,Gasto total,19538.28,No disponible
Otros motivos,2018,No disponible,Motivo del viaje,2018-01-01,Gasto total,26181.84,No disponible
Otros motivos,2019,No disponible,Motivo del viaje,2019-01-01,Gasto total,27616.58,No disponible
Otros motivos,2020,No disponible,Motivo del viaje,2020-01-01,Gasto total,7652.82,No disponible
Otros motivos,2021,No disponible,Motivo del viaje,2021-01-01,Gasto total,17836.47,No disponible
Otros motivos,2022,No disponible,Motivo del viaje,2022-01-01,Gasto total,36071.83,No disponible
Otros motivos,2023,No disponible,Motivo del viaje,2023-01-01,Gasto total,31523.68,No disponible
Otros motivos,2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio por persona,909.39,No disponible
Otros motivos,2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio por persona,688.38,No disponible
Otros motivos,2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio por persona,530.0,No disponible
Otros motivos,2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio por persona,659.53,No disponible
Otros motivos,2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio por persona,451.68,No disponible
Otros motivos,2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio por persona,1164.65,No disponible
Otros motivos,2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio por persona,1013.93,No disponible
Otros motivos,2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio por persona,569.23,No disponible
Otros motivos,2016,No disponible,Motivo del viaje,2016-01-01,Gasto medio diario por persona,85.64,No disponible
Otros motivos,2017,No disponible,Motivo del viaje,2017-01-01,Gasto medio diario por persona,67.97,No disponible
Otros motivos,2018,No disponible,Motivo del viaje,2018-01-01,Gasto medio diario por persona,66.38,No disponible
Otros motivos,2019,No disponible,Motivo del viaje,2019-01-01,Gasto medio diario por persona,61.88,No disponible
Otros motivos,2020,No disponible,Motivo del viaje,2020-01-01,Gasto medio diario por persona,57.45,No disponible
Otros motivos,2021,No disponible,Motivo del viaje,2021-01-01,Gasto medio diario por persona,86.13,No disponible
Otros motivos,2022,No disponible,Motivo del viaje,2022-01-01,Gasto medio diario por persona,80.71,No disponible
Otros motivos,2023,No disponible,Motivo del viaje,2023-01-01,Gasto medio diario por persona,86.64,No disponible
Otros motivos,2016,No disponible,Motivo del viaje,2016-01-01,Duración media de los viajes,10.62,No disponible
Otros motivos,2017,No disponible,Motivo del viaje,2017-01-01,Duración media de los viajes,10.13,No disponible
Otros motivos,2018,No disponible,Motivo del viaje,2018-01-01,Duración media de los viajes,7.98,No disponible
Otros motivos,2019,No disponible,Motivo del viaje,2019-01-01,Duración media de los viajes,10.66,No disponible
Otros motivos,2020,No disponible,Motivo del viaje,2020-01-01,Duración media de los viajes,7.86,No disponible
Otros motivos,2021,No disponible,Motivo del viaje,2021-01-01,Duración media de los viajes,13.52,No disponible
Otros motivos,2022,No disponible,Motivo del viaje,2022-01-01,Duración media de los viajes,12.56,No disponible
Otros motivos,2023,No disponible,Motivo del viaje,2023-01-01,Duración media de los viajes,6.57,No disponible
TOTAL,2016,No disponible,País de residencia,2016-01-01,Gasto total,93087.88,No disponible
TOTAL,2017,No disponible,País de residencia,2017-01-01,Gasto total,101962.17,No disponible
TOTAL,2018,No disponible,País de residencia,2018-01-01,Gasto total,101126.5,No disponible
TOTAL,2019,No disponible,País de residencia,2019-01-01,Gasto total,98201.73,No disponible
TOTAL,2020,No disponible,País de residencia,2020-01-01,Gasto total,21835.28,No disponible
TOTAL,2021,No disponible,País de residencia,2021-01-01,Gasto total,42027.48,No disponible
TOTAL,2022,No disponible,País de residencia,2022-01-01,Gasto total,108604.09,No disponible
TOTAL,2023,No disponible,País de residencia,2023-01-01,Gasto total,86729.82,No disponible
TOTAL,2016,No disponible,País de residencia,2016-01-01,Gasto medio por persona,650.63,No disponible
TOTAL,2017,No disponible,País de residencia,2017-01-01,Gasto medio por persona,778.49,No disponible
TOTAL,2018,No disponible,País de residencia,2018-01-01,Gasto medio por persona,707.54,No disponible
TOTAL,2019,No disponible,País de residencia,2019-01-01,Gasto medio por persona,703.97,No disponible
TOTAL,2020,No disponible,País de residencia,2020-01-01,Gasto medio por persona,481.43,No disponible
TOTAL,2021,No disponible,País de residencia,2021-01-01,Gasto medio por persona,877.16,No disponible
TOTAL,2022,No disponible,País de residencia,2022-01-01,Gasto medio por persona,966.32,No disponible
TOTAL,2023,No disponible,País de residencia,2023-01-01,Gasto medio por persona,733.71,No disponible
TOTAL,2016,No disponible,País de residencia,2016-01-01,Gasto medio diario por persona,98.8,No disponible
TOTAL,2017,No disponible,País de residencia,2017-01-01,Gasto medio diario por persona,99.29,No disponible
TOTAL,2018,No disponible,País de residencia,2018-01-01,Gasto medio diario por persona,104.29,No disponible
TOTAL,2019,No disponible,País de residencia,2019-01-01,Gasto medio diario por persona,103.32,No disponible
TOTAL,2020,No disponible,País de residencia,2020-01-01,Gasto medio diario por persona,73.44,No disponible
TOTAL,2021,No disponible,País de residencia,2021-01-01,Gasto medio diario por persona,116.83,No disponible
TOTAL,2022,No disponible,País de residencia,2022-01-01,Gasto medio diario por persona,134.45,No disponible
TOTAL,2023,No disponible,País de residencia,2023-01-01,Gasto medio diario por persona,131.99,No disponible
TOTAL,2016,No disponible,País de residencia,2016-01-01,Duración media de los viajes,6.59,No disponible
TOTAL,2017,No disponible,País de residencia,2017-01-01,Duración media de los viajes,7.84,No disponible
TOTAL,2018,No disponible,País de residencia,2018-01-01,Duración media de los viajes,6.78,No disponible
TOTAL,2019,No disponible,País de residencia,2019-01-01,Duración media de los viajes,6.81,No disponible
TOTAL,2020,No disponible,País de residencia,2020-01-01,Duración media de los viajes,6.56,No disponible
TOTAL,2021,No disponible,País de residencia,2021-01-01,Duración media de los viajes,7.51,No disponible
TOTAL,2022,No disponible,País de residencia,2022-01-01,Duración media de los viajes,7.19,No disponible
TOTAL,2023,No disponible,País de residencia,2023-01-01,Duración media de los viajes,5.56,No disponible
Europa,2016,No disponible,País de residencia,2016-01-01,Gasto total,70761.65,No disponible
Europa,2017,No disponible,País de residencia,2017-01-01,Gasto total,69466.08,No disponible
Europa,2018,No disponible,País de residencia,2018-01-01,Gasto total,65460.43,No disponible
Europa,2019,No disponible,País de residencia,2019-01-01,Gasto total,69067.23,No disponible
Europa,2020,No disponible,País de residencia,2020-01-01,Gasto total,20310.76,No disponible
Europa,2021,No disponible,País de residencia,2021-01-01,Gasto total,34618.2,No disponible
Europa,2022,No disponible,País de residencia,2022-01-01,Gasto total,66763.06,No disponible
Europa,2023,No disponible,País de residencia,2023-01-01,Gasto total,53890.06,No disponible
Europa,2016,No disponible,País de residencia,2016-01-01,Gasto medio por persona,540.33,No disponible
Europa,2017,No disponible,País de residencia,2017-01-01,Gasto medio por persona,618.53,No disponible
Europa,2018,No disponible,País de residencia,2018-01-01,Gasto medio por persona,523.74,No disponible
Europa,2019,No disponible,País de residencia,2019-01-01,Gasto medio por persona,541.52,No disponible
Europa,2020,No disponible,País de residencia,2020-01-01,Gasto medio por persona,455.21,No disponible
Europa,2021,No disponible,País de residencia,2021-01-01,Gasto medio por persona,769.45,No disponible
Europa,2022,No disponible,País de residencia,2022-01-01,Gasto medio por persona,719.03,No disponible
Europa,2023,No disponible,País de residencia,2023-01-01,Gasto medio por persona,532.85,No disponible
Europa,2016,No disponible,País de residencia,2016-01-01,Gasto medio diario por persona,87.64,No disponible
Europa,2017,No disponible,País de residencia,2017-01-01,Gasto medio diario por persona,77.69,No disponible
Europa,2018,No disponible,País de residencia,2018-01-01,Gasto medio diario por persona,81.29,No disponible
Europa,2019,No disponible,País de residencia,2019-01-01,Gasto medio diario por persona,86.53,No disponible
Europa,2020,No disponible,País de residencia,2020-01-01,Gasto medio diario por persona,69.42,No disponible
Europa,2021,No disponible,País de residencia,2021-01-01,Gasto medio diario por persona,108.8,No disponible
Europa,2022,No disponible,País de residencia,2022-01-01,Gasto medio diario por persona,103.29,No disponible
Europa,2023,No disponible,País de residencia,2023-01-01,Gasto medio diario por persona,114.55,No disponible
Europa,2016,No disponible,País de residencia,2016-01-01,Duración media de los viajes,6.16,No disponible
Europa,2017,No disponible,País de residencia,2017-01-01,Duración media de los viajes,7.96,No disponible
Europa,2018,No disponible,País de residencia,2018-01-01,Duración media de los viajes,6.44,No disponible
Europa,2019,No disponible,País de residencia,2019-01-01,Duración media de los viajes,6.26,No disponible
Europa,2020,No disponible,País de residencia,2020-01-01,Duración media de los viajes,6.56,No disponible
Europa,2021,No disponible,País de residencia,2021-01-01,Duración media de los viajes,7.07,No disponible
Europa,2022,No disponible,País de residencia,2022-01-01,Duración media de los viajes,6.96,No disponible
Europa,2023,No disponible,País de residencia,2023-01-01,Duración media de los viajes,4.65,No disponible
- UE27,2016,No disponible,País de residencia,2016-01-01,Gasto total,48868.58,No disponible
- UE27,2017,No disponible,País de residencia,2017-01-01,Gasto total,58885.12,No disponible
- UE27,2018,No disponible,País de residencia,2018-01-01,Gasto total,50301.76,No disponible
- UE27,2019,No disponible,País de residencia,2019-01-01,Gasto total,55014.79,No disponible
- UE27,2020,No disponible,País de residencia,2020-01-01,Gasto total,17453.08,No disponible
- UE27,2021,No disponible,País de residencia,2021-01-01,Gasto total,23535.87,No disponible
- UE27,2022,No disponible,País de residencia,2022-01-01,Gasto total,55293.79,No disponible
- UE27,2023,No disponible,País de residencia,2023-01-01,Gasto total,43048.05,No disponible
- UE27,2016,No disponible,País de residencia,2016-01-01,Gasto medio por persona,497.4,No disponible
- UE27,2017,No disponible,País de residencia,2017-01-01,Gasto medio por persona,598.82,No disponible
- UE27,2018,No disponible,País de residencia,2018-01-01,Gasto medio por persona,484.72,No disponible
- UE27,2019,No disponible,País de residencia,2019-01-01,Gasto medio por persona,499.22,No disponible
- UE27,2020,No disponible,País de residencia,2020-01-01,Gasto medio por persona,438.08,No disponible
- UE27,2021,No disponible,País de residencia,2021-01-01,Gasto medio por persona,622.56,No disponible
- UE27,2022,No disponible,País de residencia,2022-01-01,Gasto medio por persona,684.18,No disponible
- UE27,2023,No disponible,País de residencia,2023-01-01,Gasto medio por persona,508.03,No disponible
- UE27,2016,No disponible,País de residencia,2016-01-01,Gasto medio diario por persona,92.34,No disponible
- UE27,2017,No disponible,País de residencia,2017-01-01,Gasto medio diario por persona,74.0,No disponible
- UE27,2018,No disponible,País de residencia,2018-01-01,Gasto medio diario por persona,76.04,No disponible
- UE27,2019,No disponible,País de residencia,2019-01-01,Gasto medio diario por persona,78.82,No disponible
- UE27,2020,No disponible,País de residencia,2020-01-01,Gasto medio diario por persona,63.63,No disponible
- UE27,2021,No disponible,País de residencia,2021-01-01,Gasto medio diario por persona,94.74,No disponible
- UE27,2022,No disponible,País de residencia,2022-01-01,Gasto medio diario por persona,108.64,No disponible
- UE27,2023,No disponible,País de residencia,2023-01-01,Gasto medio diario por persona,104.65,No disponible
- UE27,2016,No disponible,País de residencia,2016-01-01,Duración media de los viajes,5.39,No disponible
- UE27,2017,No disponible,País de residencia,2017-01-01,Duración media de los viajes,8.09,No disponible
- UE27,2018,No disponible,País de residencia,2018-01-01,Duración media de los viajes,6.37,No disponible
- UE27,2019,No disponible,País de residencia,2019-01-01,Duración media de los viajes,6.33,No disponible
- UE27,2020,No disponible,País de residencia,2020-01-01,Duración media de los viajes,6.88,No disponible
- UE27,2021,No disponible,País de residencia,2021-01-01,Duración media de los viajes,6.57,No disponible
- UE27,2022,No disponible,País de residencia,2022-01-01,Duración media de los viajes,6.3,No disponible
