Subcategoria,Indicador,Periodo,Gastos/Estancia,Categoria,Tipo de gasto,Fecha
TOTAL,Gasto medio por persona,2022,966.32,Tipo de alojamiento,No disponible,2022-01-01
TOTAL,Gasto medio por persona,2023,733.71,Tipo de alojamiento,No disponible,2023-01-01
TOTAL,Gasto medio diario por persona,2016,98.8,Tipo de alojamiento,No disponible,2016-01-01
TOTAL,Gasto medio diario por persona,2017,99.29,Tipo de alojamiento,No disponible,2017-01-01
TOTAL,Gasto medio diario por persona,2018,104.29,Tipo de alojamiento,No disponible,2018-01-01
TOTAL,Gasto medio diario por persona,2019,103.32,Tipo de alojamiento,No disponible,2019-01-01
TOTAL,Gasto medio diario por persona,2020,73.44,Tipo de alojamiento,No disponible,2020-01-01
TOTAL,Gasto medio diario por persona,2021,116.83,Tipo de alojamiento,No disponible,2021-01-01
TOTAL,Gasto medio diario por persona,2022,134.45,Tipo de alojamiento,No disponible,2022-01-01
TOTAL,Gasto medio diario por persona,2023,131.99,Tipo de alojamiento,No disponible,2023-01-01
TOTAL,Duración media de los viajes,2016,6.59,Tipo de alojamiento,No disponible,2016-01-01
TOTAL,Duración media de los viajes,2017,7.84,Tipo de alojamiento,No disponible,2017-01-01
TOTAL,Duración media de los viajes,2018,6.78,Tipo de alojamiento,No disponible,2018-01-01
TOTAL,Duración media de los viajes,2019,6.81,Tipo de alojamiento,No disponible,2019-01-01
TOTAL,Duración media de los viajes,2020,6.56,Tipo de alojamiento,No disponible,2020-01-01
TOTAL,Duración media de los viajes,2021,7.51,Tipo de alojamiento,No disponible,2021-01-01
TOTAL,Duración media de los viajes,2022,7.19,Tipo de alojamiento,No disponible,2022-01-01
TOTAL,Duración media de los viajes,2023,5.56,Tipo de alojamiento,No disponible,2023-01-01
De Mercado,Gasto total,2016,56846.8,Tipo de alojamiento,No disponible,2016-01-01
De Mercado,Gasto total,2017,72771.02,Tipo de alojamiento,No disponible,2017-01-01
De Mercado,Gasto total,2018,62248.23,Tipo de alojamiento,No disponible,2018-01-01
De Mercado,Gasto total,2019,59260.06,Tipo de alojamiento,No disponible,2019-01-01
De Mercado,Gasto total,2020,9577.29,Tipo de alojamiento,No disponible,2020-01-01
De Mercado,Gasto total,2021,28650.12,Tipo de alojamiento,No disponible,2021-01-01
De Mercado,Gasto total,2022,72807.93,Tipo de alojamiento,No disponible,2022-01-01
De Mercado,Gasto total,2023,38329.94,Tipo de alojamiento,No disponible,2023-01-01
De Mercado,Gasto medio por persona,2016,555.57,Tipo de alojamiento,No disponible,2016-01-01
De Mercado,Gasto medio por persona,2017,810.68,Tipo de alojamiento,No disponible,2017-01-01
