Periodo,Categoría,Residencia viajero,DATA
2018M09,TOTAL,TOTAL,28096
2018M09,TOTAL,Residentes en Espańa,25733.47
2018M09,TOTAL,No residentes en Espańa,2362.53
2018M09,Camping de 1Ş,TOTAL,20202
2018M09,Camping de 1Ş,Residentes en Espańa,19477.91
2018M09,Camping de 1Ş,No residentes en Espańa,724.09
2018M09,Camping de 2Ş y 3Ş,TOTAL,
2018M09,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M09,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M10,TOTAL,TOTAL,14707
2018M10,TOTAL,Residentes en Espańa,12098.32
2018M10,TOTAL,No residentes en Espańa,2608.68
2018M10,Camping de 1Ş,TOTAL,9869
2018M10,Camping de 1Ş,Residentes en Espańa,9358.49
2018M10,Camping de 1Ş,No residentes en Espańa,510.51
2018M10,Camping de 2Ş y 3Ş,TOTAL,
2018M10,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M10,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M11,TOTAL,TOTAL,11775.97
2018M11,TOTAL,Residentes en Espańa,11190.37
2018M11,TOTAL,No residentes en Espańa,585.6
2018M11,Camping de 1Ş,TOTAL,9961.97
2018M11,Camping de 1Ş,Residentes en Espańa,9830.45
2018M11,Camping de 1Ş,No residentes en Espańa,131.51
2018M11,Camping de 2Ş y 3Ş,TOTAL,
2018M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M12,TOTAL,TOTAL,9898
2018M12,TOTAL,Residentes en Espańa,9673.64
2018M12,TOTAL,No residentes en Espańa,224.36
2018M12,Camping de 1Ş,TOTAL,9576
2018M12,Camping de 1Ş,Residentes en Espańa,9351.64
2018M12,Camping de 1Ş,No residentes en Espańa,224.36
2018M12,Camping de 2Ş y 3Ş,TOTAL,
2018M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M01,TOTAL,TOTAL,3497
2019M01,TOTAL,Residentes en Espańa,3265.56
2019M01,TOTAL,No residentes en Espańa,231.44
2019M01,Camping de 1Ş,TOTAL,3328
2019M01,Camping de 1Ş,Residentes en Espańa,3096.56
2019M01,Camping de 1Ş,No residentes en Espańa,231.44
2019M01,Camping de 2Ş y 3Ş,TOTAL,
2019M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M02,TOTAL,TOTAL,6131
2019M02,TOTAL,Residentes en Espańa,5513.17
2019M02,TOTAL,No residentes en Espańa,617.83
2019M02,Camping de 1Ş,TOTAL,5046
2019M02,Camping de 1Ş,Residentes en Espańa,4831.48
2019M02,Camping de 1Ş,No residentes en Espańa,214.52
2019M02,Camping de 2Ş y 3Ş,TOTAL,
2019M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M03,TOTAL,TOTAL,11527
2019M03,TOTAL,Residentes en Espańa,10066.31
2019M03,TOTAL,No residentes en Espańa,1460.69
2019M03,Camping de 1Ş,TOTAL,7607
2019M03,Camping de 1Ş,Residentes en Espańa,7214.36
2019M03,Camping de 1Ş,No residentes en Espańa,392.64
2019M03,Camping de 2Ş y 3Ş,TOTAL,
2019M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M04,TOTAL,TOTAL,30945
