Periodo,CCAA de residencia,Medida,DATA
2016M08,Comunitat Valenciana,Viajeros,433.04
2016M08,Comunitat Valenciana,Pernoctaciones,1097.66
2016M08,"Madrid, Comunidad de",Viajeros,1075.63
2016M08,"Madrid, Comunidad de",Pernoctaciones,1730.83
2016M08,"Navarra, Comunidad Foral de",Viajeros,1504.73
2016M08,"Navarra, Comunidad Foral de",Pernoctaciones,2126.99
2016M08,País Vasco,Viajeros,18396.74
2016M08,País Vasco,Pernoctaciones,101599.69
2016M08,"Rioja, La",Viajeros,1124.59
2016M08,"Rioja, La",Pernoctaciones,6503.57
2016M08,Ceuta,Viajeros,
2016M08,Ceuta,Pernoctaciones,
2016M08,Aragón,Viajeros,41.14
2016M08,Aragón,Pernoctaciones,52.5
2016M08,Castilla y León,Viajeros,156.32
2016M08,Castilla y León,Pernoctaciones,719.83
2016M08,"Asturias, Principado de",Viajeros,7.84
2016M08,"Asturias, Principado de",Pernoctaciones,24.56
2016M08,Cantabria,Viajeros,429.07
2016M08,Cantabria,Pernoctaciones,775.8
2016M08,Galicia,Viajeros,290.48
2016M08,Galicia,Pernoctaciones,404.47
2016M08,Castilla - La Mancha,Viajeros,21.55
2016M08,Castilla - La Mancha,Pernoctaciones,461.06
2016M08,Canarias,Viajeros,
2016M08,Canarias,Pernoctaciones,
2016M08,"Murcia, Región de",Viajeros,65.17
2016M08,"Murcia, Región de",Pernoctaciones,164.06
2016M08,Extremadura,Viajeros,40.16
2016M08,Extremadura,Pernoctaciones,50.1
2016M08,Melilla,Viajeros,
2016M08,Melilla,Pernoctaciones,
2016M09,TOTAL,Viajeros,10771
2016M09,TOTAL,Pernoctaciones,20657
2016M09,NO RESIDENTE EN ESPAŃA,Viajeros,2069.97
2016M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,3028.61
2016M09,RESIDENTES EN ESPAŃA,Viajeros,8701.03
2016M09,RESIDENTES EN ESPAŃA,Pernoctaciones,17628.39
2016M09,Andalucía,Viajeros,57.29
2016M09,Andalucía,Pernoctaciones,318.17
2016M09,"Balears, Illes",Viajeros,13.17
2016M09,"Balears, Illes",Pernoctaciones,31.49
2016M09,Cataluńa,Viajeros,466.81
2016M09,Cataluńa,Pernoctaciones,555.13
2016M09,Comunitat Valenciana,Viajeros,40.76
2016M09,Comunitat Valenciana,Pernoctaciones,62.91
2016M09,"Madrid, Comunidad de",Viajeros,48.33
2016M09,"Madrid, Comunidad de",Pernoctaciones,82.13
2016M09,"Navarra, Comunidad Foral de",Viajeros,251.37
2016M09,"Navarra, Comunidad Foral de",Pernoctaciones,364.94
2016M09,País Vasco,Viajeros,7232.76
2016M09,País Vasco,Pernoctaciones,14946.19
