Periodo,Categoría,Estancia media,DATA
2017M07,Camping de 1Ş,Estancia media,2.56
2017M07,Camping de 1Ş,Estancia media Residentes en Espańa,2.66
2017M07,Camping de 1Ş,Estancia media No residentes en Espańa,1.19
2017M07,Camping de 2Ş y 3Ş,Estancia media,3.97
2017M07,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,4.28
2017M07,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.58
2017M08,TOTAL,Estancia media,3.45
2017M08,TOTAL,Estancia media Residentes en Espańa,3.75
2017M08,TOTAL,Estancia media No residentes en Espańa,1.33
2017M08,Camping de 1Ş,Estancia media,3.24
2017M08,Camping de 1Ş,Estancia media Residentes en Espańa,3.49
2017M08,Camping de 1Ş,Estancia media No residentes en Espańa,1.17
2017M08,Camping de 2Ş y 3Ş,Estancia media,5.17
2017M08,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,6.33
2017M08,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,1.87
2017M09,TOTAL,Estancia media,1.84
2017M09,TOTAL,Estancia media Residentes en Espańa,1.87
2017M09,TOTAL,Estancia media No residentes en Espańa,1.67
2017M09,Camping de 1Ş,Estancia media,1.71
2017M09,Camping de 1Ş,Estancia media Residentes en Espańa,1.72
2017M09,Camping de 1Ş,Estancia media No residentes en Espańa,1.52
2017M09,Camping de 2Ş y 3Ş,Estancia media,
2017M09,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2017M09,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2017M10,TOTAL,Estancia media,2.41
2017M10,TOTAL,Estancia media Residentes en Espańa,2.51
2017M10,TOTAL,Estancia media No residentes en Espańa,1.77
2017M10,Camping de 1Ş,Estancia media,2.43
2017M10,Camping de 1Ş,Estancia media Residentes en Espańa,2.46
2017M10,Camping de 1Ş,Estancia media No residentes en Espańa,1.61
2017M10,Camping de 2Ş y 3Ş,Estancia media,
2017M10,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2017M10,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2017M11,TOTAL,Estancia media,2.05
2017M11,TOTAL,Estancia media Residentes en Espańa,2.07
2017M11,TOTAL,Estancia media No residentes en Espańa,1.83
2017M11,Camping de 1Ş,Estancia media,2.07
2017M11,Camping de 1Ş,Estancia media Residentes en Espańa,2.07
2017M11,Camping de 1Ş,Estancia media No residentes en Espańa,1.78
2017M11,Camping de 2Ş y 3Ş,Estancia media,
2017M11,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2017M11,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2017M12,TOTAL,Estancia media,1.77
2017M12,TOTAL,Estancia media Residentes en Espańa,1.78
2017M12,TOTAL,Estancia media No residentes en Espańa,0.63
2017M12,Camping de 1Ş,Estancia media,1.7
2017M12,Camping de 1Ş,Estancia media Residentes en Espańa,1.72
2017M12,Camping de 1Ş,Estancia media No residentes en Espańa,0.63
2017M12,Camping de 2Ş y 3Ş,Estancia media,
2017M12,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2017M12,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2018M01,TOTAL,Estancia media,2.16
2018M01,TOTAL,Estancia media Residentes en Espańa,2.31
2018M01,TOTAL,Estancia media No residentes en Espańa,1.25
2018M01,Camping de 1Ş,Estancia media,2.16
2018M01,Camping de 1Ş,Estancia media Residentes en Espańa,2.31
2018M01,Camping de 1Ş,Estancia media No residentes en Espańa,1.25
2018M01,Camping de 2Ş y 3Ş,Estancia media,
2018M01,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2018M01,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2018M02,TOTAL,Estancia media,2.04
2018M02,TOTAL,Estancia media Residentes en Espańa,2.22
2018M02,TOTAL,Estancia media No residentes en Espańa,1.58
2018M02,Camping de 1Ş,Estancia media,2.23
2018M02,Camping de 1Ş,Estancia media Residentes en Espańa,2.31
2018M02,Camping de 1Ş,Estancia media No residentes en Espańa,1.32
2018M02,Camping de 2Ş y 3Ş,Estancia media,
2018M02,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2018M02,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2018M03,TOTAL,Estancia media,2.69
2018M03,TOTAL,Estancia media Residentes en Espańa,2.86
2018M03,TOTAL,Estancia media No residentes en Espańa,1.87
2018M03,Camping de 1Ş,Estancia media,2.85
2018M03,Camping de 1Ş,Estancia media Residentes en Espańa,2.94
2018M03,Camping de 1Ş,Estancia media No residentes en Espańa,1.59
2018M03,Camping de 2Ş y 3Ş,Estancia media,
2018M03,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2018M03,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2018M04,TOTAL,Estancia media,2.73
2018M04,TOTAL,Estancia media Residentes en Espańa,3.07
2018M04,TOTAL,Estancia media No residentes en Espańa,1.74
