Periodo,País de residencia,Medida,DATA
2016M10,Reino Unido,Viajeros,1057.71
2016M10,Reino Unido,Pernoctaciones,2207.66
2016M10,Paises Nordicos,Viajeros,
2016M10,Paises Nordicos,Pernoctaciones,
2016M10,Italia,Viajeros,58.58
2016M10,Italia,Pernoctaciones,57.76
2016M10,Resto de UE,Viajeros,26.7
2016M10,Resto de UE,Pernoctaciones,50.58
2016M10,Resto de Europa,Viajeros,30.14
2016M10,Resto de Europa,Pernoctaciones,49.08
2016M10,Estados Unidos,Viajeros,
2016M10,Estados Unidos,Pernoctaciones,
2016M10,Resto de no residentes en Espańa,Viajeros,12.91
2016M10,Resto de no residentes en Espańa,Pernoctaciones,30.19
2016M10,Resto de America,Viajeros,
2016M10,Resto de America,Pernoctaciones,
2016M11,TOTAL,Viajeros,5370
2016M11,TOTAL,Pernoctaciones,10685
2016M11,RESIDENTES EN ESPAŃA,Viajeros,4493.74
2016M11,RESIDENTES EN ESPAŃA,Pernoctaciones,9415.91
2016M11,NO RESIDENTE EN ESPAŃA,Viajeros,876.26
2016M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1269.09
2016M11,Alemania,Viajeros,36.38
2016M11,Alemania,Pernoctaciones,46.47
2016M11,Francia,Viajeros,205.12
2016M11,Francia,Pernoctaciones,269.91
2016M11,Paises Bajos,Viajeros,87.41
2016M11,Paises Bajos,Pernoctaciones,128.46
2016M11,Reino Unido,Viajeros,466.77
2016M11,Reino Unido,Pernoctaciones,731.9
2016M11,Paises Nordicos,Viajeros,
2016M11,Paises Nordicos,Pernoctaciones,
2016M11,Italia,Viajeros,36.63
2016M11,Italia,Pernoctaciones,35.51
2016M11,Resto de UE,Viajeros,29.3
2016M11,Resto de UE,Pernoctaciones,42.62
2016M11,Resto de Europa,Viajeros,
2016M11,Resto de Europa,Pernoctaciones,
2016M11,Estados Unidos,Viajeros,
2016M11,Estados Unidos,Pernoctaciones,
2016M11,Resto de no residentes en Espańa,Viajeros,
2016M11,Resto de no residentes en Espańa,Pernoctaciones,
2016M11,Resto de America,Viajeros,14.65
2016M11,Resto de America,Pernoctaciones,14.21
2016M12,TOTAL,Viajeros,4193
2016M12,TOTAL,Pernoctaciones,8119
2016M12,RESIDENTES EN ESPAŃA,Viajeros,4138.79
2016M12,RESIDENTES EN ESPAŃA,Pernoctaciones,8109.16
2016M12,NO RESIDENTE EN ESPAŃA,Viajeros,54.21
2016M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,9.84
2016M12,Alemania,Viajeros,
2016M12,Alemania,Pernoctaciones,
2016M12,Francia,Viajeros,
2016M12,Francia,Pernoctaciones,
2016M12,Paises Bajos,Viajeros,
2016M12,Paises Bajos,Pernoctaciones,
2016M12,Reino Unido,Viajeros,54.21
2016M12,Reino Unido,Pernoctaciones,9.84
2016M12,Paises Nordicos,Viajeros,
2016M12,Paises Nordicos,Pernoctaciones,
2016M12,Italia,Viajeros,
2016M12,Italia,Pernoctaciones,
2016M12,Resto de UE,Viajeros,
2016M12,Resto de UE,Pernoctaciones,
2016M12,Resto de Europa,Viajeros,
2016M12,Resto de Europa,Pernoctaciones,
2016M12,Estados Unidos,Viajeros,
2016M12,Estados Unidos,Pernoctaciones,
2016M12,Resto de no residentes en Espańa,Viajeros,
2016M12,Resto de no residentes en Espańa,Pernoctaciones,
2016M12,Resto de America,Viajeros,
2016M12,Resto de America,Pernoctaciones,
2017M01,TOTAL,Viajeros,1294
2017M01,TOTAL,Pernoctaciones,2774
2017M01,RESIDENTES EN ESPAŃA,Viajeros,1210.9
2017M01,RESIDENTES EN ESPAŃA,Pernoctaciones,2530.67
2017M01,NO RESIDENTE EN ESPAŃA,Viajeros,83.1
2017M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,243.33
2017M01,Alemania,Viajeros,
2017M01,Alemania,Pernoctaciones,
2017M01,Francia,Viajeros,
2017M01,Francia,Pernoctaciones,
2017M01,Paises Bajos,Viajeros,23.74
2017M01,Paises Bajos,Pernoctaciones,19.47
2017M01,Reino Unido,Viajeros,23.74
2017M01,Reino Unido,Pernoctaciones,19.47
2017M01,Paises Nordicos,Viajeros,
2017M01,Paises Nordicos,Pernoctaciones,
2017M01,Italia,Viajeros,
2017M01,Italia,Pernoctaciones,
2017M01,Resto de UE,Viajeros,11.87
2017M01,Resto de UE,Pernoctaciones,155.73
2017M01,Resto de Europa,Viajeros,
2017M01,Resto de Europa,Pernoctaciones,
2017M01,Estados Unidos,Viajeros,23.74
2017M01,Estados Unidos,Pernoctaciones,48.67
2017M01,Resto de no residentes en Espańa,Viajeros,
2017M01,Resto de no residentes en Espańa,Pernoctaciones,
2017M01,Resto de America,Viajeros,
2017M01,Resto de America,Pernoctaciones,
2017M02,TOTAL,Viajeros,1813
2017M02,TOTAL,Pernoctaciones,3730
2017M02,RESIDENTES EN ESPAŃA,Viajeros,1491.19
2017M02,RESIDENTES EN ESPAŃA,Pernoctaciones,3215.46
2017M02,NO RESIDENTE EN ESPAŃA,Viajeros,321.81
2017M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,514.54
2017M02,Alemania,Viajeros,5.5
2017M02,Alemania,Pernoctaciones,5.78
2017M02,Francia,Viajeros,13.07
2017M02,Francia,Pernoctaciones,17.87
2017M02,Paises Bajos,Viajeros,19.6
2017M02,Paises Bajos,Pernoctaciones,35.73
2017M02,Reino Unido,Viajeros,273.84
2017M02,Reino Unido,Pernoctaciones,443.24
2017M02,Paises Nordicos,Viajeros,
2017M02,Paises Nordicos,Pernoctaciones,
2017M02,Italia,Viajeros,
2017M02,Italia,Pernoctaciones,
2017M02,Resto de UE,Viajeros,
2017M02,Resto de UE,Pernoctaciones,
2017M02,Resto de Europa,Viajeros,6.53
2017M02,Resto de Europa,Pernoctaciones,5.96
2017M02,Estados Unidos,Viajeros,
2017M02,Estados Unidos,Pernoctaciones,
2017M02,Resto de no residentes en Espańa,Viajeros,3.27
2017M02,Resto de no residentes en Espańa,Pernoctaciones,5.96
2017M02,Resto de America,Viajeros,
2017M02,Resto de America,Pernoctaciones,
2017M03,TOTAL,Viajeros,4017
2017M03,TOTAL,Pernoctaciones,9285
2017M03,RESIDENTES EN ESPAŃA,Viajeros,3626.11
2017M03,RESIDENTES EN ESPAŃA,Pernoctaciones,8655.84
2017M03,NO RESIDENTE EN ESPAŃA,Viajeros,390.89
2017M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,629.16
2017M03,Alemania,Viajeros,6.6
2017M03,Alemania,Pernoctaciones,6.56
2017M03,Francia,Viajeros,20.6
2017M03,Francia,Pernoctaciones,22.79
2017M03,Paises Bajos,Viajeros,53.59
2017M03,Paises Bajos,Pernoctaciones,62.13
2017M03,Reino Unido,Viajeros,303.51
2017M03,Reino Unido,Pernoctaciones,518.02
2017M03,Paises Nordicos,Viajeros,6.6
2017M03,Paises Nordicos,Pernoctaciones,19.67
2017M03,Italia,Viajeros,
2017M03,Italia,Pernoctaciones,
2017M03,Resto de UE,Viajeros,
2017M03,Resto de UE,Pernoctaciones,
2017M03,Resto de Europa,Viajeros,
2017M03,Resto de Europa,Pernoctaciones,
2017M03,Estados Unidos,Viajeros,
2017M03,Estados Unidos,Pernoctaciones,
2017M03,Resto de no residentes en Espańa,Viajeros,
2017M03,Resto de no residentes en Espańa,Pernoctaciones,
2017M03,Resto de America,Viajeros,
2017M03,Resto de America,Pernoctaciones,
2017M04,TOTAL,Viajeros,10993
2017M04,TOTAL,Pernoctaciones,31963
2017M04,RESIDENTES EN ESPAŃA,Viajeros,9094.46
2017M04,RESIDENTES EN ESPAŃA,Pernoctaciones,27742.66
2017M04,NO RESIDENTE EN ESPAŃA,Viajeros,1898.54
2017M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,4220.34
2017M04,Alemania,Viajeros,194.02
2017M04,Alemania,Pernoctaciones,310.99
2017M04,Francia,Viajeros,152.6
2017M04,Francia,Pernoctaciones,210.82
2017M04,Paises Bajos,Viajeros,98.68
2017M04,Paises Bajos,Pernoctaciones,164.28
2017M04,Reino Unido,Viajeros,1212.23
2017M04,Reino Unido,Pernoctaciones,2992.04
2017M04,Paises Nordicos,Viajeros,94.15
2017M04,Paises Nordicos,Pernoctaciones,232.04
2017M04,Italia,Viajeros,3.37
2017M04,Italia,Pernoctaciones,3.37
2017M04,Resto de UE,Viajeros,90.46
2017M04,Resto de UE,Pernoctaciones,214.08
2017M04,Resto de Europa,Viajeros,45.35
2017M04,Resto de Europa,Pernoctaciones,86.71
2017M04,Estados Unidos,Viajeros,
2017M04,Estados Unidos,Pernoctaciones,
2017M04,Resto de no residentes en Espańa,Viajeros,7.69
2017M04,Resto de no residentes en Espańa,Pernoctaciones,6
2017M04,Resto de America,Viajeros,
2017M04,Resto de America,Pernoctaciones,
2017M05,TOTAL,Viajeros,7392
2017M05,TOTAL,Pernoctaciones,15744
2017M05,RESIDENTES EN ESPAŃA,Viajeros,5819.8
2017M05,RESIDENTES EN ESPAŃA,Pernoctaciones,12880.14
2017M05,NO RESIDENTE EN ESPAŃA,Viajeros,1572.2
2017M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2863.86
