País de residencia,Indicador,Periodo,DATA,Fecha
Resto del Mundo,Gasto medio diario por persona,2020,319.98,2020-01-01
Resto del Mundo,Gasto medio diario por persona,2021,178.4,2021-01-01
Resto del Mundo,Gasto medio diario por persona,2022,259.21,2022-01-01
Resto del Mundo,Gasto medio diario por persona,2023,175.95,2023-01-01
Resto del Mundo,Duración media de los viajes,2016,11.13,2016-01-01
Resto del Mundo,Duración media de los viajes,2017,7.12,2017-01-01
Resto del Mundo,Duración media de los viajes,2018,9.16,2018-01-01
Resto del Mundo,Duración media de los viajes,2019,12.73,2019-01-01
Resto del Mundo,Duración media de los viajes,2020,6.46,2020-01-01
Resto del Mundo,Duración media de los viajes,2021,14.21,2021-01-01
Resto del Mundo,Duración media de los viajes,2022,8.26,2022-01-01
Resto del Mundo,Duración media de los viajes,2023,10.93,2023-01-01
