Periodo,País de residencia,Medida,DATA
2016M09,Resto de UE,Viajeros,149.15
2016M09,Resto de UE,Pernoctaciones,149.15
2016M09,Estados Unidos,Viajeros,223.73
2016M09,Estados Unidos,Pernoctaciones,246.1
2016M09,Resto de America,Viajeros,59.66
2016M09,Resto de America,Pernoctaciones,74.58
2016M09,Francia,Viajeros,160.61
2016M09,Francia,Pernoctaciones,295.93
2016M09,Resto de Europa,Viajeros,43.83
2016M09,Resto de Europa,Pernoctaciones,88.58
2016M09,Resto de no residentes en Espańa,Viajeros,119.32
2016M09,Resto de no residentes en Espańa,Pernoctaciones,119.32
2016M09,Alemania,Viajeros,186.44
2016M09,Alemania,Pernoctaciones,417.63
2016M09,Italia,Viajeros,67.12
2016M09,Italia,Pernoctaciones,67.12
2016M09,Paises Bajos,Viajeros,14.92
2016M09,Paises Bajos,Pernoctaciones,134.24
2016M09,Paises Nordicos,Viajeros,44.75
2016M09,Paises Nordicos,Pernoctaciones,104.41
2016M10,TOTAL,Viajeros,5900.67
2016M10,TOTAL,Pernoctaciones,12820.43
2016M10,RESIDENTES EN ESPAŃA,Viajeros,5591.27
2016M10,RESIDENTES EN ESPAŃA,Pernoctaciones,12317.22
2016M10,NO RESIDENTE EN ESPAŃA,Viajeros,309.4
2016M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,503.2
2016M10,Reino Unido,Viajeros,61.65
2016M10,Reino Unido,Pernoctaciones,107.89
2016M10,Resto de UE,Viajeros,77.06
2016M10,Resto de UE,Pernoctaciones,115.59
2016M10,Estados Unidos,Viajeros,7.75
2016M10,Estados Unidos,Pernoctaciones,23.25
2016M10,Resto de America,Viajeros,14.45
2016M10,Resto de America,Pernoctaciones,28.9
2016M10,Francia,Viajeros,21.22
2016M10,Francia,Pernoctaciones,57.86
2016M10,Resto de Europa,Viajeros,15.41
2016M10,Resto de Europa,Pernoctaciones,15.41
2016M10,Resto de no residentes en Espańa,Viajeros,30.82
2016M10,Resto de no residentes en Espańa,Pernoctaciones,46.24
2016M10,Alemania,Viajeros,73.27
2016M10,Alemania,Pernoctaciones,88.69
2016M10,Italia,Viajeros,
2016M10,Italia,Pernoctaciones,
2016M10,Paises Bajos,Viajeros,3.88
2016M10,Paises Bajos,Pernoctaciones,15.5
2016M10,Paises Nordicos,Viajeros,3.88
2016M10,Paises Nordicos,Pernoctaciones,3.88
2016M11,TOTAL,Viajeros,3679.38
2016M11,TOTAL,Pernoctaciones,6793.62
2016M11,RESIDENTES EN ESPAŃA,Viajeros,3439.38
2016M11,RESIDENTES EN ESPAŃA,Pernoctaciones,6288.12
2016M11,NO RESIDENTE EN ESPAŃA,Viajeros,240
2016M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,505.5
2016M11,Reino Unido,Viajeros,29
2016M11,Reino Unido,Pernoctaciones,58
2016M11,Resto de UE,Viajeros,
2016M11,Resto de UE,Pernoctaciones,
2016M11,Estados Unidos,Viajeros,
2016M11,Estados Unidos,Pernoctaciones,32
2016M11,Resto de America,Viajeros,29
2016M11,Resto de America,Pernoctaciones,29
2016M11,Francia,Viajeros,58.75
2016M11,Francia,Pernoctaciones,125.5
2016M11,Resto de Europa,Viajeros,
2016M11,Resto de Europa,Pernoctaciones,
2016M11,Resto de no residentes en Espańa,Viajeros,50.75
2016M11,Resto de no residentes en Espańa,Pernoctaciones,101.5
2016M11,Alemania,Viajeros,43.5
2016M11,Alemania,Pernoctaciones,58
2016M11,Italia,Viajeros,29
2016M11,Italia,Pernoctaciones,101.5
2016M11,Paises Bajos,Viajeros,
2016M11,Paises Bajos,Pernoctaciones,
2016M11,Paises Nordicos,Viajeros,
2016M11,Paises Nordicos,Pernoctaciones,
2016M12,TOTAL,Viajeros,4445.25
2016M12,TOTAL,Pernoctaciones,10528.22
2016M12,RESIDENTES EN ESPAŃA,Viajeros,4380.34
2016M12,RESIDENTES EN ESPAŃA,Pernoctaciones,10402.26
2016M12,NO RESIDENTE EN ESPAŃA,Viajeros,64.91
2016M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,125.95
2016M12,Reino Unido,Viajeros,30.52
2016M12,Reino Unido,Pernoctaciones,61.04
2016M12,Resto de UE,Viajeros,
2016M12,Resto de UE,Pernoctaciones,
2016M12,Estados Unidos,Viajeros,
2016M12,Estados Unidos,Pernoctaciones,
2016M12,Resto de America,Viajeros,
2016M12,Resto de America,Pernoctaciones,
2016M12,Francia,Viajeros,34.39
2016M12,Francia,Pernoctaciones,64.91
2016M12,Resto de Europa,Viajeros,
2016M12,Resto de Europa,Pernoctaciones,
2016M12,Resto de no residentes en Espańa,Viajeros,
2016M12,Resto de no residentes en Espańa,Pernoctaciones,
2016M12,Alemania,Viajeros,
2016M12,Alemania,Pernoctaciones,
2016M12,Italia,Viajeros,
2016M12,Italia,Pernoctaciones,
2016M12,Paises Bajos,Viajeros,
2016M12,Paises Bajos,Pernoctaciones,
2016M12,Paises Nordicos,Viajeros,
2016M12,Paises Nordicos,Pernoctaciones,
2017M01,TOTAL,Viajeros,2184
2017M01,TOTAL,Pernoctaciones,4716.45
2017M01,RESIDENTES EN ESPAŃA,Viajeros,1995.47
2017M01,RESIDENTES EN ESPAŃA,Pernoctaciones,4329.06
2017M01,NO RESIDENTE EN ESPAŃA,Viajeros,188.53
2017M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,387.39
2017M01,Reino Unido,Viajeros,14.2
2017M01,Reino Unido,Pernoctaciones,56.82
2017M01,Resto de UE,Viajeros,3.88
2017M01,Resto de UE,Pernoctaciones,3.88
2017M01,Estados Unidos,Viajeros,
2017M01,Estados Unidos,Pernoctaciones,
2017M01,Resto de America,Viajeros,
2017M01,Resto de America,Pernoctaciones,
2017M01,Francia,Viajeros,99.43
2017M01,Francia,Pernoctaciones,255.68
2017M01,Resto de Europa,Viajeros,
2017M01,Resto de Europa,Pernoctaciones,
2017M01,Resto de no residentes en Espańa,Viajeros,28.41
2017M01,Resto de no residentes en Espańa,Pernoctaciones,28.41
2017M01,Alemania,Viajeros,
2017M01,Alemania,Pernoctaciones,
2017M01,Italia,Viajeros,14.2
2017M01,Italia,Pernoctaciones,14.2
2017M01,Paises Bajos,Viajeros,28.41
2017M01,Paises Bajos,Pernoctaciones,28.41
2017M01,Paises Nordicos,Viajeros,
2017M01,Paises Nordicos,Pernoctaciones,
2017M02,TOTAL,Viajeros,3487.95
2017M02,TOTAL,Pernoctaciones,7407.81
2017M02,RESIDENTES EN ESPAŃA,Viajeros,3352.65
2017M02,RESIDENTES EN ESPAŃA,Pernoctaciones,6636.38
2017M02,NO RESIDENTE EN ESPAŃA,Viajeros,135.3
2017M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,771.42
2017M02,Reino Unido,Viajeros,
2017M02,Reino Unido,Pernoctaciones,
2017M02,Resto de UE,Viajeros,
2017M02,Resto de UE,Pernoctaciones,386.99
2017M02,Estados Unidos,Viajeros,
2017M02,Estados Unidos,Pernoctaciones,24
2017M02,Resto de America,Viajeros,13.82
2017M02,Resto de America,Pernoctaciones,138.21
2017M02,Francia,Viajeros,45.46
2017M02,Francia,Pernoctaciones,63.28
2017M02,Resto de Europa,Viajeros,
2017M02,Resto de Europa,Pernoctaciones,
2017M02,Resto de no residentes en Espańa,Viajeros,27.64
2017M02,Resto de no residentes en Espańa,Pernoctaciones,110.57
2017M02,Alemania,Viajeros,
2017M02,Alemania,Pernoctaciones,
2017M02,Italia,Viajeros,48.37
2017M02,Italia,Pernoctaciones,48.37
2017M02,Paises Bajos,Viajeros,
2017M02,Paises Bajos,Pernoctaciones,
2017M02,Paises Nordicos,Viajeros,
2017M02,Paises Nordicos,Pernoctaciones,
2017M03,TOTAL,Viajeros,3931.3
2017M03,TOTAL,Pernoctaciones,8419.4
2017M03,RESIDENTES EN ESPAŃA,Viajeros,3786.04
2017M03,RESIDENTES EN ESPAŃA,Pernoctaciones,7661.06
2017M03,NO RESIDENTE EN ESPAŃA,Viajeros,145.25
2017M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,758.34
2017M03,Reino Unido,Viajeros,41.88
2017M03,Reino Unido,Pernoctaciones,56.14
2017M03,Resto de UE,Viajeros,
2017M03,Resto de UE,Pernoctaciones,427.74
2017M03,Estados Unidos,Viajeros,21.39
2017M03,Estados Unidos,Pernoctaciones,64.16
2017M03,Resto de America,Viajeros,
2017M03,Resto de America,Pernoctaciones,99.81
2017M03,Francia,Viajeros,14.26
2017M03,Francia,Pernoctaciones,28.52
2017M03,Resto de Europa,Viajeros,
2017M03,Resto de Europa,Pernoctaciones,
2017M03,Resto de no residentes en Espańa,Viajeros,40.1
2017M03,Resto de no residentes en Espańa,Pernoctaciones,40.1
2017M03,Alemania,Viajeros,27.62
2017M03,Alemania,Pernoctaciones,41.88
2017M03,Italia,Viajeros,
2017M03,Italia,Pernoctaciones,
2017M03,Paises Bajos,Viajeros,
2017M03,Paises Bajos,Pernoctaciones,
2017M03,Paises Nordicos,Viajeros,
2017M03,Paises Nordicos,Pernoctaciones,
2017M04,TOTAL,Viajeros,4939.58
2017M04,TOTAL,Pernoctaciones,13747.62
2017M04,RESIDENTES EN ESPAŃA,Viajeros,4413.06
2017M04,RESIDENTES EN ESPAŃA,Pernoctaciones,12341.97
2017M04,NO RESIDENTE EN ESPAŃA,Viajeros,526.53
2017M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1405.65
2017M04,Reino Unido,Viajeros,82.96
2017M04,Reino Unido,Pernoctaciones,82.96
2017M04,Resto de UE,Viajeros,153.19
2017M04,Resto de UE,Pernoctaciones,672.8
2017M04,Estados Unidos,Viajeros,48.4
2017M04,Estados Unidos,Pernoctaciones,193.58
2017M04,Resto de America,Viajeros,48.4
2017M04,Resto de America,Pernoctaciones,138.27
2017M04,Francia,Viajeros,96.79
2017M04,Francia,Pernoctaciones,165.93
2017M04,Resto de Europa,Viajeros,
