Periodo,Categoría,Residencia viajero,DATA
2017M11,1 Llave,TOTAL,2723.36
2017M11,1 Llave,Residentes en Espańa,2601.63
2017M11,1 Llave,No residentes en Espańa,121.73
2017M11,"2, 3 y 4 Llaves",TOTAL,397.75
2017M11,"2, 3 y 4 Llaves",Residentes en Espańa,315.46
2017M11,"2, 3 y 4 Llaves",No residentes en Espańa,82.29
2017M12,TOTAL,TOTAL,4564.81
2017M12,TOTAL,Residentes en Espańa,4387.6
2017M12,TOTAL,No residentes en Espańa,177.21
2017M12,1 Llave,TOTAL,4358.6
2017M12,1 Llave,Residentes en Espańa,4181.39
2017M12,1 Llave,No residentes en Espańa,177.21
2017M12,"2, 3 y 4 Llaves",TOTAL,206.21
2017M12,"2, 3 y 4 Llaves",Residentes en Espańa,206.21
2017M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M01,TOTAL,TOTAL,2005.4
2018M01,TOTAL,Residentes en Espańa,1987.74
2018M01,TOTAL,No residentes en Espańa,17.66
2018M01,1 Llave,TOTAL,1722.27
2018M01,1 Llave,Residentes en Espańa,1704.62
2018M01,1 Llave,No residentes en Espańa,17.66
2018M01,"2, 3 y 4 Llaves",TOTAL,283.13
2018M01,"2, 3 y 4 Llaves",Residentes en Espańa,283.13
2018M01,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M02,TOTAL,TOTAL,2789.57
2018M02,TOTAL,Residentes en Espańa,2686.47
2018M02,TOTAL,No residentes en Espańa,103.1
2018M02,1 Llave,TOTAL,2472.44
2018M02,1 Llave,Residentes en Espańa,2468.44
2018M02,1 Llave,No residentes en Espańa,4
2018M02,"2, 3 y 4 Llaves",TOTAL,317.13
2018M02,"2, 3 y 4 Llaves",Residentes en Espańa,218.02
2018M02,"2, 3 y 4 Llaves",No residentes en Espańa,99.1
2018M03,TOTAL,TOTAL,3494.6
2018M03,TOTAL,Residentes en Espańa,3351.47
2018M03,TOTAL,No residentes en Espańa,143.12
2018M03,1 Llave,TOTAL,2973.82
2018M03,1 Llave,Residentes en Espańa,2830.7
2018M03,1 Llave,No residentes en Espańa,143.12
2018M03,"2, 3 y 4 Llaves",TOTAL,520.78
2018M03,"2, 3 y 4 Llaves",Residentes en Espańa,520.78
2018M03,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M04,TOTAL,TOTAL,2949.45
2018M04,TOTAL,Residentes en Espańa,2688.95
2018M04,TOTAL,No residentes en Espańa,260.51
2018M04,1 Llave,TOTAL,2729.59
2018M04,1 Llave,Residentes en Espańa,2469.09
2018M04,1 Llave,No residentes en Espańa,260.51
2018M04,"2, 3 y 4 Llaves",TOTAL,219.86
2018M04,"2, 3 y 4 Llaves",Residentes en Espańa,219.86
2018M04,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M05,TOTAL,TOTAL,2968.28
2018M05,TOTAL,Residentes en Espańa,2304.34
2018M05,TOTAL,No residentes en Espańa,663.94
2018M05,1 Llave,TOTAL,2797.89
2018M05,1 Llave,Residentes en Espańa,2133.95
2018M05,1 Llave,No residentes en Espańa,663.94
2018M05,"2, 3 y 4 Llaves",TOTAL,170.39
2018M05,"2, 3 y 4 Llaves",Residentes en Espańa,170.39
2018M05,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M06,TOTAL,TOTAL,3284.4
2018M06,TOTAL,Residentes en Espańa,3102.06
2018M06,TOTAL,No residentes en Espańa,182.34
2018M06,1 Llave,TOTAL,3007.82
2018M06,1 Llave,Residentes en Espańa,2825.48
2018M06,1 Llave,No residentes en Espańa,182.34
2018M06,"2, 3 y 4 Llaves",TOTAL,276.58
2018M06,"2, 3 y 4 Llaves",Residentes en Espańa,276.58
2018M06,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M07,TOTAL,TOTAL,3796.26
2018M07,TOTAL,Residentes en Espańa,3307.89
2018M07,TOTAL,No residentes en Espańa,488.36
2018M07,1 Llave,TOTAL,3542.71
2018M07,1 Llave,Residentes en Espańa,3054.35
2018M07,1 Llave,No residentes en Espańa,488.36
2018M07,"2, 3 y 4 Llaves",TOTAL,253.55
2018M07,"2, 3 y 4 Llaves",Residentes en Espańa,253.55
2018M07,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M08,TOTAL,TOTAL,4037.58
