Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
SECTOR TURÍSTICOS,TOTAL,2013T1,11149
SECTOR TURÍSTICOS,TOTAL,2013T2,12403
SECTOR TURÍSTICOS,TOTAL,2013T3,11296
SECTOR TURÍSTICOS,TOTAL,2013T4,11290
SECTOR TURÍSTICOS,TOTAL,2014T1,11264
SECTOR TURÍSTICOS,TOTAL,2014T2,11525
SECTOR TURÍSTICOS,TOTAL,2014T3,11717
SECTOR TURÍSTICOS,TOTAL,2014T4,11801
SECTOR TURÍSTICOS,TOTAL,2015T1,11867
SECTOR TURÍSTICOS,TOTAL,2015T2,11974
SECTOR TURÍSTICOS,TOTAL,2015T3,12032
SECTOR TURÍSTICOS,TOTAL,2015T4,12090
SECTOR TURÍSTICOS,TOTAL,2016T1,12205
SECTOR TURÍSTICOS,TOTAL,2016T2,12194
SECTOR TURÍSTICOS,TOTAL,2016T3,12489
SECTOR TURÍSTICOS,TOTAL,2016T4,12556
SECTOR TURÍSTICOS,TOTAL,2017T1,12581
SECTOR TURÍSTICOS,TOTAL,2017T2,12698
SECTOR TURÍSTICOS,TOTAL,2017T3,12906
SECTOR TURÍSTICOS,TOTAL,2017T4,12770
SECTOR TURÍSTICOS,TOTAL,2018T1,13002
SECTOR TURÍSTICOS,TOTAL,2018T2,13074
SECTOR TURÍSTICOS,TOTAL,2018T3,13284
SECTOR TURÍSTICOS,TOTAL,2018T4,13081
SECTOR TURÍSTICOS,TOTAL,2019T1,13414
SECTOR TURÍSTICOS,TOTAL,2019T2,13659
SECTOR TURÍSTICOS,TOTAL,2019T3,13637
SECTOR TURÍSTICOS,TOTAL,2019T4,13492
SECTOR TURÍSTICOS,TOTAL,2020T1,11997
SECTOR TURÍSTICOS,TOTAL,2020T2,11682
SECTOR TURÍSTICOS,TOTAL,2020T3,11941
SECTOR TURÍSTICOS,TOTAL,2020T4,11511
SECTOR TURÍSTICOS,TOTAL,2021T1,11383
SECTOR TURÍSTICOS,TOTAL,2021T2,11586
SECTOR TURÍSTICOS,TOTAL,2021T3,12209
SECTOR TURÍSTICOS,TOTAL,2021T4,12685
SECTOR TURÍSTICOS,REGIMEN GENERAL,2011T2,7929
SECTOR TURÍSTICOS,REGIMEN GENERAL,2011T3,8181
SECTOR TURÍSTICOS,REGIMEN GENERAL,2011T4,8072
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T1,8044
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T2,8060
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T3,8190
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T4,7962
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T1,7834
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T2,7935
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T3,7922
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T4,7939
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T1,7895
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T2,8079
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T3,8285
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T4,8444
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T1,8524
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T2,8546
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T3,8624
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T4,8726
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T1,8834
