Grupo actividad sector turístico,Tipo de contrato,Periodo,DATA
SECTOR TURÍSTICOS,TOTAL,2017T2,12698
SECTOR TURÍSTICOS,TOTAL,2017T3,12906
SECTOR TURÍSTICOS,TOTAL,2017T4,12770
SECTOR TURÍSTICOS,TOTAL,2018T1,13002
SECTOR TURÍSTICOS,TOTAL,2018T2,13074
SECTOR TURÍSTICOS,TOTAL,2018T3,13284
SECTOR TURÍSTICOS,TOTAL,2018T4,13081
SECTOR TURÍSTICOS,TOTAL,2019T1,13414
SECTOR TURÍSTICOS,TOTAL,2019T2,13659
SECTOR TURÍSTICOS,TOTAL,2019T3,13637
SECTOR TURÍSTICOS,TOTAL,2019T4,13492
SECTOR TURÍSTICOS,TOTAL,2020T1,11997
SECTOR TURÍSTICOS,TOTAL,2020T2,11682
SECTOR TURÍSTICOS,TOTAL,2020T3,11941
SECTOR TURÍSTICOS,TOTAL,2020T4,11511
SECTOR TURÍSTICOS,TOTAL,2021T1,11383
SECTOR TURÍSTICOS,TOTAL,2021T2,11586
SECTOR TURÍSTICOS,TOTAL,2021T3,12209
SECTOR TURÍSTICOS,TOTAL,2021T4,12685
SECTOR TURÍSTICOS,Indefinido,2011T2,5197
SECTOR TURÍSTICOS,Indefinido,2011T3,5546
SECTOR TURÍSTICOS,Indefinido,2011T4,5560
SECTOR TURÍSTICOS,Indefinido,2012T1,5585
SECTOR TURÍSTICOS,Indefinido,2012T2,5205
SECTOR TURÍSTICOS,Indefinido,2012T3,5374
SECTOR TURÍSTICOS,Indefinido,2012T4,5497
SECTOR TURÍSTICOS,Indefinido,2013T1,5451
SECTOR TURÍSTICOS,Indefinido,2013T2,5135
SECTOR TURÍSTICOS,Indefinido,2013T3,5121
SECTOR TURÍSTICOS,Indefinido,2013T4,5254
SECTOR TURÍSTICOS,Indefinido,2014T1,5332
SECTOR TURÍSTICOS,Indefinido,2014T2,5037
SECTOR TURÍSTICOS,Indefinido,2014T3,5313
SECTOR TURÍSTICOS,Indefinido,2014T4,5541
SECTOR TURÍSTICOS,Indefinido,2015T1,5611
SECTOR TURÍSTICOS,Indefinido,2015T2,5342
SECTOR TURÍSTICOS,Indefinido,2015T3,5517
SECTOR TURÍSTICOS,Indefinido,2015T4,5616
SECTOR TURÍSTICOS,Indefinido,2016T1,5752
SECTOR TURÍSTICOS,Indefinido,2016T2,5484
SECTOR TURÍSTICOS,Indefinido,2016T3,5726
SECTOR TURÍSTICOS,Indefinido,2016T4,5896
SECTOR TURÍSTICOS,Indefinido,2017T1,5969
SECTOR TURÍSTICOS,Indefinido,2017T2,5764
SECTOR TURÍSTICOS,Indefinido,2017T3,6000
SECTOR TURÍSTICOS,Indefinido,2017T4,6157
SECTOR TURÍSTICOS,Indefinido,2018T1,6297
SECTOR TURÍSTICOS,Indefinido,2018T2,6048
SECTOR TURÍSTICOS,Indefinido,2018T3,6402
SECTOR TURÍSTICOS,Indefinido,2018T4,6528
SECTOR TURÍSTICOS,Indefinido,2019T1,6608
SECTOR TURÍSTICOS,Indefinido,2019T2,6269
SECTOR TURÍSTICOS,Indefinido,2019T3,6522
SECTOR TURÍSTICOS,Indefinido,2019T4,6778
SECTOR TURÍSTICOS,Indefinido,2020T1,6450
SECTOR TURÍSTICOS,Indefinido,2020T2,6167
SECTOR TURÍSTICOS,Indefinido,2020T3,6293
SECTOR TURÍSTICOS,Indefinido,2020T4,6186
SECTOR TURÍSTICOS,Indefinido,2021T1,6140
SECTOR TURÍSTICOS,Indefinido,2021T2,5824
SECTOR TURÍSTICOS,Indefinido,2021T3,6028
SECTOR TURÍSTICOS,Indefinido,2021T4,6360
SECTOR TURÍSTICOS,Temporal,2011T2,2687
SECTOR TURÍSTICOS,Temporal,2011T3,2580
SECTOR TURÍSTICOS,Temporal,2011T4,2461
SECTOR TURÍSTICOS,Temporal,2012T1,2407
SECTOR TURÍSTICOS,Temporal,2012T2,2794
SECTOR TURÍSTICOS,Temporal,2012T3,2753
SECTOR TURÍSTICOS,Temporal,2012T4,2417
SECTOR TURÍSTICOS,Temporal,2013T1,2333
SECTOR TURÍSTICOS,Temporal,2013T2,2757
SECTOR TURÍSTICOS,Temporal,2013T3,2755
SECTOR TURÍSTICOS,Temporal,2013T4,2647
SECTOR TURÍSTICOS,Temporal,2014T1,2524
SECTOR TURÍSTICOS,Temporal,2014T2,3022
SECTOR TURÍSTICOS,Temporal,2014T3,2930
SECTOR TURÍSTICOS,Temporal,2014T4,2860
SECTOR TURÍSTICOS,Temporal,2015T1,2894
