Periodo,Tarifa,Variable,DATA
2019M08,Fin de semana,Índice,114.33
2019M08,Fin de semana,Var (%) anual,2.76
2019M09,TOTAL,Índice,147.93
2019M09,TOTAL,Var (%) anual,1.75
2019M09,Normal,Índice,150.8
2019M09,Normal,Var (%) anual,3.14
2019M09,Fin de semana,Índice,94.98
2019M09,Fin de semana,Var (%) anual,-0.04
2019M10,TOTAL,Índice,126.91
2019M10,TOTAL,Var (%) anual,1.86
2019M10,Normal,Índice,132.26
2019M10,Normal,Var (%) anual,3.65
2019M10,Fin de semana,Índice,118.38
2019M10,Fin de semana,Var (%) anual,0.24
2019M11,TOTAL,Índice,117.45
2019M11,TOTAL,Var (%) anual,1.75
2019M11,Normal,Índice,117.43
2019M11,Normal,Var (%) anual,2.92
2019M11,Fin de semana,Índice,129.58
2019M11,Fin de semana,Var (%) anual,0.31
2019M12,TOTAL,Índice,125.83
2019M12,TOTAL,Var (%) anual,2.75
2019M12,Normal,Índice,125.17
2019M12,Normal,Var (%) anual,2.18
2019M12,Fin de semana,Índice,93.78
2019M12,Fin de semana,Var (%) anual,3.32
2020M01,TOTAL,Índice,150.3
2020M01,TOTAL,Var (%) anual,1.72
2020M01,Normal,Índice,121.75
2020M01,Normal,Var (%) anual,1.92
2020M01,Fin de semana,Índice,129.45
2020M01,Fin de semana,Var (%) anual,1.16
2020M02,TOTAL,Índice,123.57
2020M02,TOTAL,Var (%) anual,4.28
2020M02,Normal,Índice,152.39
2020M02,Normal,Var (%) anual,8.48
2020M02,Fin de semana,Índice,123.57
2020M02,Fin de semana,Var (%) anual,4.28
2020M03,TOTAL,Índice,152.94
2020M03,TOTAL,Var (%) anual,5.45
2020M03,Normal,Índice,143.61
2020M03,Normal,Var (%) anual,2.43
2020M03,Fin de semana,Índice,116.87
2020M03,Fin de semana,Var (%) anual,7.82
2020M04,TOTAL,Índice,127.57
2020M04,TOTAL,Var (%) anual,0
2020M04,Normal,Índice,
2020M04,Normal,Var (%) anual,
2020M04,Fin de semana,Índice,
2020M04,Fin de semana,Var (%) anual,
2020M07,TOTAL,Índice,126.63
2020M07,TOTAL,Var (%) anual,1.18
2020M07,Normal,Índice,125.91
2020M07,Normal,Var (%) anual,-0.39
2020M07,Fin de semana,Índice,117.16
2020M07,Fin de semana,Var (%) anual,2.42
2020M08,TOTAL,Índice,115.78
2020M08,TOTAL,Var (%) anual,-4.08
2020M08,Normal,Índice,113.29
2020M08,Normal,Var (%) anual,-5.33
