Periodo,CCAA de residencia,Medida,DATA
2016M04,Andalucía,Pernoctaciones,58.89
2016M04,Aragón,Viajeros,219.5
2016M04,Aragón,Pernoctaciones,401.53
2016M04,"Asturias, Principado de",Viajeros,21.41
2016M04,"Asturias, Principado de",Pernoctaciones,144.55
2016M04,"Balears, Illes",Viajeros,10.71
2016M04,"Balears, Illes",Pernoctaciones,21.41
2016M04,Cantabria,Viajeros,80.31
2016M04,Cantabria,Pernoctaciones,123.14
2016M04,Castilla y León,Viajeros,305.16
2016M04,Castilla y León,Pernoctaciones,698.66
2016M04,Castilla - La Mancha,Viajeros,
2016M04,Castilla - La Mancha,Pernoctaciones,
2016M04,Cataluńa,Viajeros,299.81
2016M04,Cataluńa,Pernoctaciones,567.49
2016M04,Comunitat Valenciana,Viajeros,21.41
2016M04,Comunitat Valenciana,Pernoctaciones,48.18
2016M04,Extremadura,Viajeros,16.06
2016M04,Extremadura,Pernoctaciones,16.06
2016M04,Galicia,Viajeros,18.74
2016M04,Galicia,Pernoctaciones,171.32
2016M04,"Madrid, Comunidad de",Viajeros,712.04
2016M04,"Madrid, Comunidad de",Pernoctaciones,1402.67
2016M04,"Murcia, Región de",Viajeros,
2016M04,"Murcia, Región de",Pernoctaciones,
2016M04,"Navarra, Comunidad Foral de",Viajeros,214.15
2016M04,"Navarra, Comunidad Foral de",Pernoctaciones,422.94
2016M04,País Vasco,Viajeros,356.02
2016M04,País Vasco,Pernoctaciones,599.62
2016M04,"Rioja, La",Viajeros,353.34
2016M04,"Rioja, La",Pernoctaciones,621.03
2016M04,Canarias,Viajeros,10.71
2016M04,Canarias,Pernoctaciones,10.71
2016M04,Ceuta,Viajeros,
2016M04,Ceuta,Pernoctaciones,
2016M04,Melilla,Viajeros,
2016M04,Melilla,Pernoctaciones,
2016M05,TOTAL,Viajeros,3213.69
2016M05,TOTAL,Pernoctaciones,6539.54
2016M05,NO RESIDENTE EN ESPAŃA,Viajeros,375.63
2016M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,709.51
2016M05,RESIDENTES EN ESPAŃA,Viajeros,2838.06
