Periodo,Categoría,DATA
2020M01,TOTAL,121.38
2020M01,4 y 5 estrellas,11.94
2020M01,3 estrellas,25.81
2020M01,1 y 2 estrellas,13
2020M01,Hostales y pensiones,70.64
2020M02,TOTAL,126.45
2020M02,4 y 5 estrellas,12
2020M02,3 estrellas,28.81
2020M02,1 y 2 estrellas,12
2020M02,Hostales y pensiones,73.64
2020M03,TOTAL,52.78
2020M03,4 y 5 estrellas,6.81
2020M03,3 estrellas,17.37
2020M03,1 y 2 estrellas,3.14
2020M03,Hostales y pensiones,25.45
2020M05,TOTAL,17.35
2020M05,4 y 5 estrellas,0.68
2020M05,3 estrellas,4.42
2020M05,1 y 2 estrellas,4
2020M05,Hostales y pensiones,8.25
2020M06,TOTAL,61.11
2020M06,4 y 5 estrellas,3.7
2020M06,3 estrellas,9.41
2020M06,1 y 2 estrellas,7
2020M06,Hostales y pensiones,41
2020M07,TOTAL,122.71
2020M07,4 y 5 estrellas,10.94
2020M07,3 estrellas,28.19
2020M07,1 y 2 estrellas,15
2020M07,Hostales y pensiones,68.58
2020M08,TOTAL,130.87
2020M08,4 y 5 estrellas,11
2020M08,3 estrellas,29.78
2020M08,1 y 2 estrellas,14.89
2020M08,Hostales y pensiones,75.19
2020M09,TOTAL,123.16
2020M09,4 y 5 estrellas,13.26
2020M09,3 estrellas,29.34
2020M09,1 y 2 estrellas,14.89
2020M09,Hostales y pensiones,65.67
2020M10,TOTAL,122.32
2020M10,4 y 5 estrellas,13.01
2020M10,3 estrellas,27.38
2020M10,1 y 2 estrellas,14
2020M10,Hostales y pensiones,67.93
2020M11,TOTAL,83.37
2020M11,4 y 5 estrellas,6
2020M11,3 estrellas,17.37
2020M11,1 y 2 estrellas,9
2020M11,Hostales y pensiones,51
2020M12,TOTAL,89.66
2020M12,4 y 5 estrellas,7.77
2020M12,3 estrellas,17.32
2020M12,1 y 2 estrellas,10
2020M12,Hostales y pensiones,54.57
2021M01,TOTAL,82.45
2021M01,4 y 5 estrellas,6
2021M01,3 estrellas,16.02
2021M01,1 y 2 estrellas,8
2021M01,Hostales y pensiones,52.43
2021M02,TOTAL,77.86
2021M02,4 y 5 estrellas,4
2021M02,3 estrellas,12.43
2021M02,1 y 2 estrellas,8
2021M02,Hostales y pensiones,53.43
2021M03,TOTAL,97.4
2021M03,4 y 5 estrellas,5.68
2021M03,3 estrellas,17.68
2021M03,1 y 2 estrellas,9
2021M03,Hostales y pensiones,65.04
2021M04,TOTAL,100.45
2021M04,4 y 5 estrellas,7
2021M04,3 estrellas,20.6
2021M04,1 y 2 estrellas,12
2021M04,Hostales y pensiones,60.85
2021M05,TOTAL,116.03
2021M05,4 y 5 estrellas,8.65
2021M05,3 estrellas,24.94
2021M05,1 y 2 estrellas,12
2021M05,Hostales y pensiones,70.45
2021M06,TOTAL,127.15
2021M06,4 y 5 estrellas,12.9
2021M06,3 estrellas,27.77
2021M06,1 y 2 estrellas,15
2021M06,Hostales y pensiones,71.48
2021M07,TOTAL,140.36
2021M07,4 y 5 estrellas,14.73
2021M07,3 estrellas,32.86
2021M07,1 y 2 estrellas,17
2021M07,Hostales y pensiones,75.77
2021M08,TOTAL,146.62
2021M08,4 y 5 estrellas,14.88
2021M08,3 estrellas,33.76
2021M08,1 y 2 estrellas,18.89
2021M08,Hostales y pensiones,79.1
2021M09,TOTAL,144.31
2021M09,4 y 5 estrellas,14.52
2021M09,3 estrellas,30.74
2021M09,1 y 2 estrellas,19
2021M09,Hostales y pensiones,80.05
2021M10,TOTAL,143.86
2021M10,4 y 5 estrellas,15.48
2021M10,3 estrellas,30.99
2021M10,1 y 2 estrellas,19
2021M10,Hostales y pensiones,78.39
2021M11,TOTAL,130.12
2021M11,4 y 5 estrellas,15.4
2021M11,3 estrellas,29.97
2021M11,1 y 2 estrellas,17
2021M11,Hostales y pensiones,67.76
2021M12,TOTAL,122.03
2021M12,4 y 5 estrellas,14.19
2021M12,3 estrellas,26.22
2021M12,1 y 2 estrellas,13.78
2021M12,Hostales y pensiones,67.83
2022M01,TOTAL,117.97
2022M01,4 y 5 estrellas,13.42
2022M01,3 estrellas,21.77
2022M01,1 y 2 estrellas,14
2022M01,Hostales y pensiones,68.77
2022M02,TOTAL,131.98
2022M02,4 y 5 estrellas,14.25
2022M02,3 estrellas,23.79
2022M02,1 y 2 estrellas,14.78
2022M02,Hostales y pensiones,79.17
2022M03,TOTAL,149.02
2022M03,4 y 5 estrellas,15.23
2022M03,3 estrellas,27.43
2022M03,1 y 2 estrellas,16
2022M03,Hostales y pensiones,90.36
2022M04,TOTAL,156.26
2022M04,4 y 5 estrellas,15.63
2022M04,3 estrellas,30.1
2022M04,1 y 2 estrellas,18
2022M04,Hostales y pensiones,92.53
2022M05,TOTAL,153.34
2022M05,4 y 5 estrellas,15.48
2022M05,3 estrellas,30.97
2022M05,1 y 2 estrellas,17.56
2022M05,Hostales y pensiones,89.34
2022M06,TOTAL,158.24
2022M06,4 y 5 estrellas,15.88
2022M06,3 estrellas,30.52
2022M06,1 y 2 estrellas,18.9
2022M06,Hostales y pensiones,92.94
2022M07,TOTAL,158.4
2022M07,4 y 5 estrellas,16
2022M07,3 estrellas,31.17
2022M07,1 y 2 estrellas,17.56
2022M07,Hostales y pensiones,93.68
2022M08,TOTAL,158.06
2022M08,4 y 5 estrellas,15.85
2022M08,3 estrellas,32.33
2022M08,1 y 2 estrellas,19
2022M08,Hostales y pensiones,90.89
2022M09,TOTAL,154.32
2022M09,4 y 5 estrellas,15.97
2022M09,3 estrellas,33
2022M09,1 y 2 estrellas,18.9
2022M09,Hostales y pensiones,86.45
2022M10,TOTAL,157.41
2022M10,4 y 5 estrellas,15.9
2022M10,3 estrellas,31.75
2022M10,1 y 2 estrellas,17.8
2022M10,Hostales y pensiones,91.95
2022M11,TOTAL,149.8
2022M11,4 y 5 estrellas,15.07
2022M11,3 estrellas,32.3
2022M11,1 y 2 estrellas,16.03
2022M11,Hostales y pensiones,86.4
2022M12,TOTAL,135.8
2022M12,4 y 5 estrellas,14.77
2022M12,3 estrellas,26.03
2022M12,1 y 2 estrellas,11.25
2022M12,Hostales y pensiones,83.75
2023M01,TOTAL,105.27
2023M01,4 y 5 estrellas,12.42
2023M01,3 estrellas,19.84
2023M01,1 y 2 estrellas,14.78
2023M01,Hostales y pensiones,58.24
2023M02,TOTAL,131.82
2023M02,4 y 5 estrellas,14.68
2023M02,3 estrellas,24.89
2023M02,1 y 2 estrellas,15.5
2023M02,Hostales y pensiones,76.75
2023M03,TOTAL,134.74
2023M03,4 y 5 estrellas,15.27
2023M03,3 estrellas,27.68
2023M03,1 y 2 estrellas,16.8
2023M03,Hostales y pensiones,75
2023M04,TOTAL,143.86
2023M04,4 y 5 estrellas,15.53
2023M04,3 estrellas,32.06
