Periodo,Categoría,Residencia viajero,DATA,Fecha
2019M09,4 y 5 estrellas,TOTAL,19711,2019-09-01
2019M09,4 y 5 estrellas,Residentes en Espańa,1326585,2019-09-01
2019M09,4 y 5 estrellas,No residentes en Espańa,644515,2019-09-01
2019M09,3 estrellas,TOTAL,26296,2019-09-01
2019M09,3 estrellas,Residentes en Espańa,1770338,2019-09-01
2019M09,3 estrellas,No residentes en Espańa,859262,2019-09-01
2019M09,1 y 2 estrellas,TOTAL,363343,2019-09-01
2019M09,1 y 2 estrellas,Residentes en Espańa,274014,2019-09-01
2019M09,1 y 2 estrellas,No residentes en Espańa,89329,2019-09-01
2019M09,Hostales y pensiones,TOTAL,1137386,2019-09-01
2019M09,Hostales y pensiones,Residentes en Espańa,612186,2019-09-01
2019M09,Hostales y pensiones,No residentes en Espańa,5252,2019-09-01
2019M10,TOTAL,TOTAL,5615768,2019-10-01
2019M10,TOTAL,Residentes en Espańa,422485,2019-10-01
2019M10,TOTAL,No residentes en Espańa,1390917,2019-10-01
2019M10,4 y 5 estrellas,TOTAL,18435,2019-10-01
2019M10,4 y 5 estrellas,Residentes en Espańa,1341371,2019-10-01
2019M10,4 y 5 estrellas,No residentes en Espańa,502129,2019-10-01
2019M10,3 estrellas,TOTAL,2564603,2019-10-01
2019M10,3 estrellas,Residentes en Espańa,194726,2019-10-01
2019M10,3 estrellas,No residentes en Espańa,617343,2019-10-01
2019M10,1 y 2 estrellas,TOTAL,278729,2019-10-01
2019M10,1 y 2 estrellas,Residentes en Espańa,2424,2019-10-01
2019M10,1 y 2 estrellas,No residentes en Espańa,36329,2019-10-01
2019M10,Hostales y pensiones,TOTAL,928936,2019-10-01
2019M10,Hostales y pensiones,Residentes en Espańa,693819,2019-10-01
2019M10,Hostales y pensiones,No residentes en Espańa,235117,2019-10-01
2019M11,TOTAL,TOTAL,4331068,2019-11-01
2019M11,TOTAL,Residentes en Espańa,3743138,2019-11-01
2019M11,TOTAL,No residentes en Espańa,58793,2019-11-01
2019M11,4 y 5 estrellas,TOTAL,14857,2019-11-01
2019M11,4 y 5 estrellas,Residentes en Espańa,1293243,2019-11-01
2019M11,4 y 5 estrellas,No residentes en Espańa,192457,2019-11-01
2019M11,3 estrellas,TOTAL,1968851,2019-11-01
2019M11,3 estrellas,Residentes en Espańa,1682037,2019-11-01
2019M11,3 estrellas,No residentes en Espańa,286815,2019-11-01
2019M11,1 y 2 estrellas,TOTAL,186429,2019-11-01
2019M11,1 y 2 estrellas,Residentes en Espańa,162429,2019-11-01
2019M11,1 y 2 estrellas,No residentes en Espańa,240,2019-11-01
2019M11,Hostales y pensiones,TOTAL,690088,2019-11-01
2019M11,Hostales y pensiones,Residentes en Espańa,60543,2019-11-01
2019M11,Hostales y pensiones,No residentes en Espańa,84658,2019-11-01
2019M12,TOTAL,TOTAL,3387286,2019-12-01
2019M12,TOTAL,Residentes en Espańa,3057776,2019-12-01
2019M12,TOTAL,No residentes en Espańa,32951,2019-12-01
2019M12,4 y 5 estrellas,TOTAL,12585,2019-12-01
2019M12,4 y 5 estrellas,Residentes en Espańa,1142596,2019-12-01
2019M12,4 y 5 estrellas,No residentes en Espańa,115904,2019-12-01
2019M12,3 estrellas,TOTAL,1578141,2019-12-01
2019M12,3 estrellas,Residentes en Espańa,1431225,2019-12-01
2019M12,3 estrellas,No residentes en Espańa,146916,2019-12-01
2019M12,1 y 2 estrellas,TOTAL,69589,2019-12-01
2019M12,1 y 2 estrellas,Residentes en Espańa,64972,2019-12-01
2019M12,1 y 2 estrellas,No residentes en Espańa,4616,2019-12-01
2019M12,Hostales y pensiones,TOTAL,481057,2019-12-01
2019M12,Hostales y pensiones,Residentes en Espańa,418983,2019-12-01
2019M12,Hostales y pensiones,No residentes en Espańa,62074,2019-12-01
2020M01,TOTAL,TOTAL,2839535,2020-01-01
2020M01,TOTAL,Residentes en Espańa,2506447,2020-01-01
2020M01,TOTAL,No residentes en Espańa,333088,2020-01-01
2020M01,4 y 5 estrellas,TOTAL,9835,2020-01-01
2020M01,4 y 5 estrellas,Residentes en Espańa,895421,2020-01-01
2020M01,4 y 5 estrellas,No residentes en Espańa,88079,2020-01-01
2020M01,3 estrellas,TOTAL,1433225,2020-01-01
2020M01,3 estrellas,Residentes en Espańa,1255821,2020-01-01
2020M01,3 estrellas,No residentes en Espańa,177404,2020-01-01
2020M01,1 y 2 estrellas,TOTAL,90343,2020-01-01
2020M01,1 y 2 estrellas,Residentes en Espańa,83257,2020-01-01
2020M01,1 y 2 estrellas,No residentes en Espańa,7086,2020-01-01
2020M01,Hostales y pensiones,TOTAL,332467,2020-01-01
2020M01,Hostales y pensiones,Residentes en Espańa,271948,2020-01-01
2020M01,Hostales y pensiones,No residentes en Espańa,60519,2020-01-01
2020M02,TOTAL,TOTAL,3749754,2020-02-01
2020M02,TOTAL,Residentes en Espańa,3329672,2020-02-01
2020M02,TOTAL,No residentes en Espańa,420082,2020-02-01
2020M02,4 y 5 estrellas,TOTAL,12567,2020-02-01
2020M02,4 y 5 estrellas,Residentes en Espańa,1097721,2020-02-01
2020M02,4 y 5 estrellas,No residentes en Espańa,158979,2020-02-01
2020M02,3 estrellas,TOTAL,1821435,2020-02-01
2020M02,3 estrellas,Residentes en Espańa,1639856,2020-02-01
2020M02,3 estrellas,No residentes en Espańa,181579,2020-02-01
2020M02,1 y 2 estrellas,TOTAL,178171,2020-02-01
2020M02,1 y 2 estrellas,Residentes en Espańa,167071,2020-02-01
2020M02,1 y 2 estrellas,No residentes en Espańa,111,2020-02-01
2020M02,Hostales y pensiones,TOTAL,493447,2020-02-01
2020M02,Hostales y pensiones,Residentes en Espańa,425023,2020-02-01
2020M02,Hostales y pensiones,No residentes en Espańa,68423,2020-02-01
2020M03,TOTAL,TOTAL,929931,2020-03-01
2020M03,TOTAL,Residentes en Espańa,79921,2020-03-01
2020M03,TOTAL,No residentes en Espańa,130722,2020-03-01
2020M03,4 y 5 estrellas,TOTAL,321883,2020-03-01
2020M03,4 y 5 estrellas,Residentes en Espańa,2942,2020-03-01
2020M03,4 y 5 estrellas,No residentes en Espańa,27683,2020-03-01
2020M03,3 estrellas,TOTAL,504786,2020-03-01
2020M03,3 estrellas,Residentes en Espańa,413825,2020-03-01
2020M03,3 estrellas,No residentes en Espańa,90961,2020-03-01
2020M03,1 y 2 estrellas,TOTAL,29194,2020-03-01
2020M03,1 y 2 estrellas,Residentes en Espańa,24926,2020-03-01
2020M03,1 y 2 estrellas,No residentes en Espańa,4268,2020-03-01
2020M03,Hostales y pensiones,TOTAL,74068,2020-03-01
2020M03,Hostales y pensiones,Residentes en Espańa,66259,2020-03-01
2020M03,Hostales y pensiones,No residentes en Espańa,7809,2020-03-01
2020M05,TOTAL,TOTAL,84075,2020-05-01
2020M05,TOTAL,Residentes en Espańa,80721,2020-05-01
2020M05,TOTAL,No residentes en Espańa,3354,2020-05-01
2020M05,4 y 5 estrellas,TOTAL,25,2020-05-01
2020M05,4 y 5 estrellas,Residentes en Espańa,25,2020-05-01
2020M05,3 estrellas,TOTAL,509,2020-05-01
2020M05,3 estrellas,Residentes en Espańa,50174,2020-05-01
2020M05,3 estrellas,No residentes en Espańa,726,2020-05-01
2020M05,1 y 2 estrellas,TOTAL,21157,2020-05-01
2020M05,1 y 2 estrellas,Residentes en Espańa,18529,2020-05-01
2020M05,1 y 2 estrellas,No residentes en Espańa,2629,2020-05-01
2020M05,Hostales y pensiones,TOTAL,9518,2020-05-01
2020M05,Hostales y pensiones,Residentes en Espańa,9518,2020-05-01
2020M06,TOTAL,TOTAL,582059,2020-06-01
2020M06,TOTAL,Residentes en Espańa,518436,2020-06-01
2020M06,TOTAL,No residentes en Espańa,63624,2020-06-01
2020M06,4 y 5 estrellas,TOTAL,2029,2020-06-01
2020M06,4 y 5 estrellas,Residentes en Espańa,178336,2020-06-01
2020M06,4 y 5 estrellas,No residentes en Espańa,24564,2020-06-01
2020M06,3 estrellas,TOTAL,220056,2020-06-01
2020M06,3 estrellas,Residentes en Espańa,20084,2020-06-01
2020M06,3 estrellas,No residentes en Espańa,19216,2020-06-01
2020M06,1 y 2 estrellas,TOTAL,46171,2020-06-01
2020M06,1 y 2 estrellas,Residentes en Espańa,42457,2020-06-01
2020M06,1 y 2 estrellas,No residentes en Espańa,3714,2020-06-01
2020M06,Hostales y pensiones,TOTAL,112932,2020-06-01
2020M06,Hostales y pensiones,Residentes en Espańa,96803,2020-06-01
2020M06,Hostales y pensiones,No residentes en Espańa,16129,2020-06-01
2020M07,TOTAL,TOTAL,2820176,2020-07-01
2020M07,TOTAL,Residentes en Espańa,2475143,2020-07-01
2020M07,TOTAL,No residentes en Espańa,345033,2020-07-01
2020M07,4 y 5 estrellas,TOTAL,9265,2020-07-01
2020M07,4 y 5 estrellas,Residentes en Espańa,803715,2020-07-01
2020M07,4 y 5 estrellas,No residentes en Espańa,122785,2020-07-01
2020M07,3 estrellas,TOTAL,1382843,2020-07-01
2020M07,3 estrellas,Residentes en Espańa,1215399,2020-07-01
2020M07,3 estrellas,No residentes en Espańa,167444,2020-07-01
2020M07,1 y 2 estrellas,TOTAL,158986,2020-07-01
2020M07,1 y 2 estrellas,Residentes en Espańa,147914,2020-07-01
2020M07,1 y 2 estrellas,No residentes en Espańa,11071,2020-07-01
2020M07,Hostales y pensiones,TOTAL,351848,2020-07-01
2020M07,Hostales y pensiones,Residentes en Espańa,308115,2020-07-01
2020M07,Hostales y pensiones,No residentes en Espańa,43733,2020-07-01
2020M08,TOTAL,TOTAL,372714,2020-08-01
2020M08,TOTAL,Residentes en Espańa,3390603,2020-08-01
2020M08,TOTAL,No residentes en Espańa,336537,2020-08-01
2020M08,4 y 5 estrellas,TOTAL,11571,2020-08-01
2020M08,4 y 5 estrellas,Residentes en Espańa,1050976,2020-08-01
2020M08,4 y 5 estrellas,No residentes en Espańa,106124,2020-08-01
2020M08,3 estrellas,TOTAL,187686,2020-08-01
2020M08,3 estrellas,Residentes en Espańa,1707026,2020-08-01
2020M08,3 estrellas,No residentes en Espańa,169834,2020-08-01
2020M08,1 y 2 estrellas,TOTAL,216644,2020-08-01
2020M08,1 y 2 estrellas,Residentes en Espańa,199837,2020-08-01
2020M08,1 y 2 estrellas,No residentes en Espańa,16807,2020-08-01
2020M08,Hostales y pensiones,TOTAL,476537,2020-08-01
2020M08,Hostales y pensiones,Residentes en Espańa,432765,2020-08-01
2020M08,Hostales y pensiones,No residentes en Espańa,43772,2020-08-01
2020M09,TOTAL,TOTAL,224823,2020-09-01
2020M09,TOTAL,Residentes en Espańa,1989681,2020-09-01
2020M09,TOTAL,No residentes en Espańa,258549,2020-09-01
2020M09,4 y 5 estrellas,TOTAL,823925,2020-09-01
2020M09,4 y 5 estrellas,Residentes en Espańa,725081,2020-09-01
2020M09,4 y 5 estrellas,No residentes en Espańa,98845,2020-09-01
2020M09,3 estrellas,TOTAL,952004,2020-09-01
2020M09,3 estrellas,Residentes en Espańa,844111,2020-09-01
2020M09,3 estrellas,No residentes en Espańa,107893,2020-09-01
2020M09,1 y 2 estrellas,TOTAL,152063,2020-09-01
2020M09,1 y 2 estrellas,Residentes en Espańa,134799,2020-09-01
2020M09,1 y 2 estrellas,No residentes en Espańa,17265,2020-09-01
2020M09,Hostales y pensiones,TOTAL,320237,2020-09-01
2020M09,Hostales y pensiones,Residentes en Espańa,28569,2020-09-01
2020M09,Hostales y pensiones,No residentes en Espańa,34547,2020-09-01
2020M10,TOTAL,TOTAL,5293467,2020-10-01
2020M10,TOTAL,Residentes en Espańa,4662737,2020-10-01
2020M10,TOTAL,No residentes en Espańa,63073,2020-10-01
2020M10,4 y 5 estrellas,TOTAL,186381,2020-10-01
2020M10,4 y 5 estrellas,Residentes en Espańa,159753,2020-10-01
2020M10,4 y 5 estrellas,No residentes en Espańa,266281,2020-10-01
2020M10,3 estrellas,TOTAL,2615789,2020-10-01
2020M10,3 estrellas,Residentes en Espańa,235441,2020-10-01
2020M10,3 estrellas,No residentes en Espańa,261378,2020-10-01
2020M10,1 y 2 estrellas,TOTAL,274114,2020-10-01
2020M10,1 y 2 estrellas,Residentes en Espańa,248671,2020-10-01
2020M10,1 y 2 estrellas,No residentes en Espańa,25443,2020-10-01
2020M10,Hostales y pensiones,TOTAL,539754,2020-10-01
2020M10,Hostales y pensiones,Residentes en Espańa,462125,2020-10-01
2020M10,Hostales y pensiones,No residentes en Espańa,77628,2020-10-01
2020M11,TOTAL,TOTAL,581843,2020-11-01
2020M11,TOTAL,Residentes en Espańa,515644,2020-11-01
2020M11,TOTAL,No residentes en Espańa,66199,2020-11-01
2020M11,4 y 5 estrellas,TOTAL,1413,2020-11-01
2020M11,4 y 5 estrellas,Residentes en Espańa,125096,2020-11-01
2020M11,4 y 5 estrellas,No residentes en Espańa,16204,2020-11-01
2020M11,3 estrellas,TOTAL,2962,2020-11-01
2020M11,3 estrellas,Residentes en Espańa,256876,2020-11-01
2020M11,3 estrellas,No residentes en Espańa,39324,2020-11-01
2020M11,1 y 2 estrellas,TOTAL,70714,2020-11-01
2020M11,1 y 2 estrellas,Residentes en Espańa,65571,2020-11-01
2020M11,1 y 2 estrellas,No residentes en Espańa,5143,2020-11-01
2020M11,Hostales y pensiones,TOTAL,73629,2020-11-01
2020M11,Hostales y pensiones,Residentes en Espańa,681,2020-11-01
2020M11,Hostales y pensiones,No residentes en Espańa,5529,2020-11-01
2020M12,TOTAL,TOTAL,688476,2020-12-01
2020M12,TOTAL,Residentes en Espańa,602774,2020-12-01
2020M12,TOTAL,No residentes en Espańa,85702,2020-12-01
2020M12,4 y 5 estrellas,TOTAL,2035,2020-12-01
2020M12,4 y 5 estrellas,Residentes en Espańa,182232,2020-12-01
2020M12,4 y 5 estrellas,No residentes en Espańa,21268,2020-12-01
2020M12,3 estrellas,TOTAL,3578,2020-12-01
2020M12,3 estrellas,Residentes en Espańa,313559,2020-12-01
2020M12,3 estrellas,No residentes en Espańa,44241,2020-12-01
2020M12,1 y 2 estrellas,TOTAL,55271,2020-12-01
2020M12,1 y 2 estrellas,Residentes en Espańa,48814,2020-12-01
2020M12,1 y 2 estrellas,No residentes en Espańa,6457,2020-12-01
2020M12,Hostales y pensiones,TOTAL,71905,2020-12-01
2020M12,Hostales y pensiones,Residentes en Espańa,58168,2020-12-01
2020M12,Hostales y pensiones,No residentes en Espańa,13737,2020-12-01
2021M01,TOTAL,TOTAL,461459,2021-01-01
2021M01,TOTAL,Residentes en Espańa,412736,2021-01-01
2021M01,TOTAL,No residentes en Espańa,48724,2021-01-01
2021M01,4 y 5 estrellas,TOTAL,1154,2021-01-01
2021M01,4 y 5 estrellas,Residentes en Espańa,104346,2021-01-01
2021M01,4 y 5 estrellas,No residentes en Espańa,11054,2021-01-01
2021M01,3 estrellas,TOTAL,251985,2021-01-01
2021M01,3 estrellas,Residentes en Espańa,219574,2021-01-01
2021M01,3 estrellas,No residentes en Espańa,32411,2021-01-01
2021M01,1 y 2 estrellas,TOTAL,339,2021-01-01
2021M01,1 y 2 estrellas,Residentes en Espańa,30286,2021-01-01
2021M01,1 y 2 estrellas,No residentes en Espańa,3614,2021-01-01
2021M01,Hostales y pensiones,TOTAL,60174,2021-01-01
2021M01,Hostales y pensiones,Residentes en Espańa,5853,2021-01-01
2021M01,Hostales y pensiones,No residentes en Espańa,1644,2021-01-01
2021M02,TOTAL,TOTAL,494637,2021-02-01
2021M02,TOTAL,Residentes en Espańa,449296,2021-02-01
2021M02,TOTAL,No residentes en Espańa,45341,2021-02-01
2021M02,4 y 5 estrellas,TOTAL,1261,2021-02-01
2021M02,4 y 5 estrellas,Residentes en Espańa,117379,2021-02-01
2021M02,4 y 5 estrellas,No residentes en Espańa,8721,2021-02-01
2021M02,3 estrellas,TOTAL,2663,2021-02-01
2021M02,3 estrellas,Residentes en Espańa,242705,2021-02-01
2021M02,3 estrellas,No residentes en Espańa,23595,2021-02-01
2021M02,1 y 2 estrellas,TOTAL,441,2021-02-01
2021M02,1 y 2 estrellas,Residentes en Espańa,392,2021-02-01
2021M02,1 y 2 estrellas,No residentes en Espańa,49,2021-02-01
2021M02,Hostales y pensiones,TOTAL,58137,2021-02-01
2021M02,Hostales y pensiones,Residentes en Espańa,50012,2021-02-01
2021M02,Hostales y pensiones,No residentes en Espańa,8125,2021-02-01
2021M03,TOTAL,TOTAL,990708,2021-03-01
2021M03,TOTAL,Residentes en Espańa,897812,2021-03-01
2021M03,TOTAL,No residentes en Espańa,92895,2021-03-01
2021M03,4 y 5 estrellas,TOTAL,2824,2021-03-01
2021M03,4 y 5 estrellas,Residentes en Espańa,260976,2021-03-01
2021M03,4 y 5 estrellas,No residentes en Espańa,21424,2021-03-01
2021M03,3 estrellas,TOTAL,5100,2021-03-01
2021M03,3 estrellas,Residentes en Espańa,453804,2021-03-01
2021M03,3 estrellas,No residentes en Espańa,56196,2021-03-01
2021M03,1 y 2 estrellas,TOTAL,837,2021-03-01
2021M03,1 y 2 estrellas,Residentes en Espańa,79429,2021-03-01
2021M03,1 y 2 estrellas,No residentes en Espańa,4271,2021-03-01
2021M03,Hostales y pensiones,TOTAL,114608,2021-03-01
2021M03,Hostales y pensiones,Residentes en Espańa,103604,2021-03-01
2021M03,Hostales y pensiones,No residentes en Espańa,11004,2021-03-01
2021M04,TOTAL,TOTAL,960837,2021-04-01
2021M04,TOTAL,Residentes en Espańa,855801,2021-04-01
2021M04,TOTAL,No residentes en Espańa,105036,2021-04-01
2021M04,4 y 5 estrellas,TOTAL,3075,2021-04-01
2021M04,4 y 5 estrellas,Residentes en Espańa,268444,2021-04-01
2021M04,4 y 5 estrellas,No residentes en Espańa,39056,2021-04-01
2021M04,3 estrellas,TOTAL,4643,2021-04-01
2021M04,3 estrellas,Residentes en Espańa,418374,2021-04-01
2021M04,3 estrellas,No residentes en Espańa,45926,2021-04-01
2021M04,1 y 2 estrellas,TOTAL,58086,2021-04-01
2021M04,1 y 2 estrellas,Residentes en Espańa,56629,2021-04-01
2021M04,1 y 2 estrellas,No residentes en Espańa,1457,2021-04-01
2021M04,Hostales y pensiones,TOTAL,130951,2021-04-01
2021M04,Hostales y pensiones,Residentes en Espańa,112355,2021-04-01
2021M04,Hostales y pensiones,No residentes en Espańa,18596,2021-04-01
2021M05,TOTAL,TOTAL,1941253,2021-05-01
2021M05,TOTAL,Residentes en Espańa,1753116,2021-05-01
2021M05,TOTAL,No residentes en Espańa,188138,2021-05-01
2021M05,4 y 5 estrellas,TOTAL,5043,2021-05-01
2021M05,4 y 5 estrellas,Residentes en Espańa,454117,2021-05-01
2021M05,4 y 5 estrellas,No residentes en Espańa,50183,2021-05-01
2021M05,3 estrellas,TOTAL,10920,2021-05-01
2021M05,3 estrellas,Residentes en Espańa,97979,2021-05-01
2021M05,3 estrellas,No residentes en Espańa,11221,2021-05-01
2021M05,1 y 2 estrellas,TOTAL,109371,2021-05-01
2021M05,1 y 2 estrellas,Residentes en Espańa,103486,2021-05-01
2021M05,1 y 2 estrellas,No residentes en Espańa,5886,2021-05-01
2021M05,Hostales y pensiones,TOTAL,235582,2021-05-01
2021M05,Hostales y pensiones,Residentes en Espańa,215723,2021-05-01
2021M05,Hostales y pensiones,No residentes en Espańa,19859,2021-05-01
2021M06,TOTAL,TOTAL,2757941,2021-06-01
2021M06,TOTAL,Residentes en Espańa,2385392,2021-06-01
2021M06,TOTAL,No residentes en Espańa,372548,2021-06-01
2021M06,4 y 5 estrellas,TOTAL,9095,2021-06-01
2021M06,4 y 5 estrellas,Residentes en Espańa,735801,2021-06-01
2021M06,4 y 5 estrellas,No residentes en Espańa,173699,2021-06-01
2021M06,3 estrellas,TOTAL,13282,2021-06-01
2021M06,3 estrellas,Residentes en Espańa,1181083,2021-06-01
2021M06,3 estrellas,No residentes en Espańa,147117,2021-06-01
2021M06,1 y 2 estrellas,TOTAL,190614,2021-06-01
2021M06,1 y 2 estrellas,Residentes en Espańa,177729,2021-06-01
2021M06,1 y 2 estrellas,No residentes en Espańa,12886,2021-06-01
2021M06,Hostales y pensiones,TOTAL,329626,2021-06-01
2021M06,Hostales y pensiones,Residentes en Espańa,29078,2021-06-01
2021M06,Hostales y pensiones,No residentes en Espańa,38846,2021-06-01
2021M07,TOTAL,TOTAL,426806,2021-07-01
2021M07,TOTAL,Residentes en Espańa,3669484,2021-07-01
2021M07,TOTAL,No residentes en Espańa,598576,2021-07-01
2021M07,4 y 5 estrellas,TOTAL,129851,2021-07-01
2021M07,4 y 5 estrellas,Residentes en Espańa,1038723,2021-07-01
2021M07,4 y 5 estrellas,No residentes en Espańa,259788,2021-07-01
2021M07,3 estrellas,TOTAL,2030565,2021-07-01
2021M07,3 estrellas,Residentes en Espańa,1805494,2021-07-01
2021M07,3 estrellas,No residentes en Espańa,225071,2021-07-01
2021M07,1 y 2 estrellas,TOTAL,324329,2021-07-01
2021M07,1 y 2 estrellas,Residentes en Espańa,296829,2021-07-01
2021M07,1 y 2 estrellas,No residentes en Espańa,275,2021-07-01
2021M07,Hostales y pensiones,TOTAL,614656,2021-07-01
2021M07,Hostales y pensiones,Residentes en Espańa,528438,2021-07-01
2021M07,Hostales y pensiones,No residentes en Espańa,86218,2021-07-01
2021M08,TOTAL,TOTAL,7119676,2021-08-01
2021M08,TOTAL,Residentes en Espańa,6196312,2021-08-01
2021M08,TOTAL,No residentes en Espańa,923364,2021-08-01
2021M08,4 y 5 estrellas,TOTAL,2119558,2021-08-01
2021M08,4 y 5 estrellas,Residentes en Espańa,1782344,2021-08-01
2021M08,4 y 5 estrellas,No residentes en Espańa,337214,2021-08-01
2021M08,3 estrellas,TOTAL,3267042,2021-08-01
2021M08,3 estrellas,Residentes en Espańa,2911704,2021-08-01
2021M08,3 estrellas,No residentes en Espańa,355337,2021-08-01
2021M08,1 y 2 estrellas,TOTAL,556168,2021-08-01
2021M08,1 y 2 estrellas,Residentes en Espańa,516434,2021-08-01
2021M08,1 y 2 estrellas,No residentes en Espańa,39734,2021-08-01
2021M08,Hostales y pensiones,TOTAL,1176909,2021-08-01
2021M08,Hostales y pensiones,Residentes en Espańa,985831,2021-08-01
2021M08,Hostales y pensiones,No residentes en Espańa,191078,2021-08-01
2021M09,TOTAL,TOTAL,5344322,2021-09-01
2021M09,TOTAL,Residentes en Espańa,4071551,2021-09-01
2021M09,TOTAL,No residentes en Espańa,1272771,2021-09-01
2021M09,4 y 5 estrellas,TOTAL,1620608,2021-09-01
2021M09,4 y 5 estrellas,Residentes en Espańa,123269,2021-09-01
2021M09,4 y 5 estrellas,No residentes en Espańa,387918,2021-09-01
2021M09,3 estrellas,TOTAL,2425318,2021-09-01
2021M09,3 estrellas,Residentes en Espańa,1918689,2021-09-01
2021M09,3 estrellas,No residentes en Espańa,506629,2021-09-01
2021M09,1 y 2 estrellas,TOTAL,3663,2021-09-01
2021M09,1 y 2 estrellas,Residentes en Espańa,322857,2021-09-01
2021M09,1 y 2 estrellas,No residentes en Espańa,43443,2021-09-01
2021M09,Hostales y pensiones,TOTAL,932096,2021-09-01
2021M09,Hostales y pensiones,Residentes en Espańa,597315,2021-09-01
2021M09,Hostales y pensiones,No residentes en Espańa,334781,2021-09-01
2021M10,TOTAL,TOTAL,5382957,2021-10-01
2021M10,TOTAL,Residentes en Espańa,4428457,2021-10-01
2021M10,TOTAL,No residentes en Espańa,954501,2021-10-01
2021M10,4 y 5 estrellas,TOTAL,18878,2021-10-01
2021M10,4 y 5 estrellas,Residentes en Espańa,1500211,2021-10-01
2021M10,4 y 5 estrellas,No residentes en Espańa,387589,2021-10-01
2021M10,3 estrellas,TOTAL,2366785,2021-10-01
2021M10,3 estrellas,Residentes en Espańa,2008974,2021-10-01
2021M10,3 estrellas,No residentes en Espańa,357811,2021-10-01
2021M10,1 y 2 estrellas,TOTAL,295386,2021-10-01
2021M10,1 y 2 estrellas,Residentes en Espańa,2657,2021-10-01
2021M10,1 y 2 estrellas,No residentes en Espańa,29686,2021-10-01
2021M10,Hostales y pensiones,TOTAL,832987,2021-10-01
2021M10,Hostales y pensiones,Residentes en Espańa,653572,2021-10-01
2021M10,Hostales y pensiones,No residentes en Espańa,179415,2021-10-01
2021M11,TOTAL,TOTAL,3694016,2021-11-01
2021M11,TOTAL,Residentes en Espańa,3303143,2021-11-01
2021M11,TOTAL,No residentes en Espańa,390873,2021-11-01
2021M11,4 y 5 estrellas,TOTAL,13896,2021-11-01
2021M11,4 y 5 estrellas,Residentes en Espańa,1212716,2021-11-01
2021M11,4 y 5 estrellas,No residentes en Espańa,176884,2021-11-01
2021M11,3 estrellas,TOTAL,16999,2021-11-01
2021M11,3 estrellas,Residentes en Espańa,1520892,2021-11-01
2021M11,3 estrellas,No residentes en Espańa,179008,2021-11-01
2021M11,1 y 2 estrellas,TOTAL,195057,2021-11-01
2021M11,1 y 2 estrellas,Residentes en Espańa,184686,2021-11-01
2021M11,1 y 2 estrellas,No residentes en Espańa,10371,2021-11-01
2021M11,Hostales y pensiones,TOTAL,409459,2021-11-01
2021M11,Hostales y pensiones,Residentes en Espańa,384849,2021-11-01
2021M11,Hostales y pensiones,No residentes en Espańa,2461,2021-11-01
2021M12,TOTAL,TOTAL,2814672,2021-12-01
2021M12,TOTAL,Residentes en Espańa,2501464,2021-12-01
2021M12,TOTAL,No residentes en Espańa,313208,2021-12-01
2021M12,4 y 5 estrellas,TOTAL,11336,2021-12-01
2021M12,4 y 5 estrellas,Residentes en Espańa,98452,2021-12-01
2021M12,4 y 5 estrellas,No residentes en Espańa,14908,2021-12-01
2021M12,3 estrellas,TOTAL,1161439,2021-12-01
2021M12,3 estrellas,Residentes en Espańa,1042547,2021-12-01
2021M12,3 estrellas,No residentes en Espańa,118892,2021-12-01
2021M12,1 y 2 estrellas,TOTAL,121267,2021-12-01
2021M12,1 y 2 estrellas,Residentes en Espańa,110929,2021-12-01
2021M12,1 y 2 estrellas,No residentes en Espańa,10338,2021-12-01
2021M12,Hostales y pensiones,TOTAL,398366,2021-12-01
2021M12,Hostales y pensiones,Residentes en Espańa,363467,2021-12-01
2021M12,Hostales y pensiones,No residentes en Espańa,34899,2021-12-01
2022M01,TOTAL,TOTAL,1885454,2022-01-01
2022M01,TOTAL,Residentes en Espańa,1658146,2022-01-01
2022M01,TOTAL,No residentes en Espańa,227309,2022-01-01
2022M01,4 y 5 estrellas,TOTAL,8220,2022-01-01
2022M01,4 y 5 estrellas,Residentes en Espańa,72563,2022-01-01
2022M01,4 y 5 estrellas,No residentes en Espańa,9637,2022-01-01
2022M01,3 estrellas,TOTAL,8084,2022-01-01
2022M01,3 estrellas,Residentes en Espańa,699277,2022-01-01
2022M01,3 estrellas,No residentes en Espańa,109123,2022-01-01
2022M01,1 y 2 estrellas,TOTAL,99014,2022-01-01
2022M01,1 y 2 estrellas,Residentes en Espańa,90714,2022-01-01
2022M01,1 y 2 estrellas,No residentes en Espańa,83,2022-01-01
2022M01,Hostales y pensiones,TOTAL,15604,2022-01-01
2022M01,Hostales y pensiones,Residentes en Espańa,142525,2022-01-01
2022M01,Hostales y pensiones,No residentes en Espańa,13516,2022-01-01
2022M02,TOTAL,TOTAL,2800064,2022-02-01
2022M02,TOTAL,Residentes en Espańa,2473636,2022-02-01
2022M02,TOTAL,No residentes en Espańa,326428,2022-02-01
2022M02,4 y 5 estrellas,TOTAL,10453,2022-02-01
2022M02,4 y 5 estrellas,Residentes en Espańa,921978,2022-02-01
2022M02,4 y 5 estrellas,No residentes en Espańa,123322,2022-02-01
2022M02,3 estrellas,TOTAL,12905,2022-02-01
2022M02,3 estrellas,Residentes en Espańa,1144956,2022-02-01
2022M02,3 estrellas,No residentes en Espańa,145544,2022-02-01
2022M02,1 y 2 estrellas,TOTAL,13245,2022-02-01
