Periodo,Categoría,Residencia viajero,DATA,Fecha
2015M12,Hostales y pensiones,TOTAL,483218,2015-12-01
2015M12,Hostales y pensiones,Residentes en Espańa,456868,2015-12-01
2015M12,Hostales y pensiones,No residentes en Espańa,2635,2015-12-01
2016M01,TOTAL,TOTAL,2881966,2016-01-01
2016M01,TOTAL,Residentes en Espańa,2598327,2016-01-01
2016M01,TOTAL,No residentes en Espańa,283638,2016-01-01
2016M01,4 y 5 estrellas,TOTAL,9430,2016-01-01
2016M01,4 y 5 estrellas,Residentes en Espańa,85845,2016-01-01
2016M01,4 y 5 estrellas,No residentes en Espańa,8455,2016-01-01
2016M01,3 estrellas,TOTAL,15866,2016-01-01
2016M01,3 estrellas,Residentes en Espańa,1399364,2016-01-01
2016M01,3 estrellas,No residentes en Espańa,187236,2016-01-01
2016M01,1 y 2 estrellas,TOTAL,125329,2016-01-01
2016M01,1 y 2 estrellas,Residentes en Espańa,121343,2016-01-01
2016M01,1 y 2 estrellas,No residentes en Espańa,3986,2016-01-01
2016M01,Hostales y pensiones,TOTAL,227037,2016-01-01
2016M01,Hostales y pensiones,Residentes en Espańa,219171,2016-01-01
2016M01,Hostales y pensiones,No residentes en Espańa,7866,2016-01-01
2016M02,TOTAL,TOTAL,3392067,2016-02-01
2016M02,TOTAL,Residentes en Espańa,3071699,2016-02-01
2016M02,TOTAL,No residentes en Espańa,320368,2016-02-01
2016M02,4 y 5 estrellas,TOTAL,10629,2016-02-01
2016M02,4 y 5 estrellas,Residentes en Espańa,965049,2016-02-01
2016M02,4 y 5 estrellas,No residentes en Espańa,97851,2016-02-01
2016M02,3 estrellas,TOTAL,1818879,2016-02-01
2016M02,3 estrellas,Residentes en Espańa,162142,2016-02-01
2016M02,3 estrellas,No residentes en Espańa,197459,2016-02-01
2016M02,1 y 2 estrellas,TOTAL,141271,2016-02-01
2016M02,1 y 2 estrellas,Residentes en Espańa,126357,2016-02-01
2016M02,1 y 2 estrellas,No residentes en Espańa,14914,2016-02-01
2016M02,Hostales y pensiones,TOTAL,369017,2016-02-01
2016M02,Hostales y pensiones,Residentes en Espańa,358873,2016-02-01
2016M02,Hostales y pensiones,No residentes en Espańa,10143,2016-02-01
2016M03,TOTAL,TOTAL,4440995,2016-03-01
2016M03,TOTAL,Residentes en Espańa,40108,2016-03-01
2016M03,TOTAL,No residentes en Espańa,430195,2016-03-01
2016M03,4 y 5 estrellas,TOTAL,12634,2016-03-01
2016M03,4 y 5 estrellas,Residentes en Espańa,1116516,2016-03-01
2016M03,4 y 5 estrellas,No residentes en Espańa,146884,2016-03-01
2016M03,3 estrellas,TOTAL,23391,2016-03-01
2016M03,3 estrellas,Residentes en Espańa,2093949,2016-03-01
2016M03,3 estrellas,No residentes en Espańa,245151,2016-03-01
2016M03,1 y 2 estrellas,TOTAL,256414,2016-03-01
2016M03,1 y 2 estrellas,Residentes en Espańa,240914,2016-03-01
2016M03,1 y 2 estrellas,No residentes en Espańa,155,2016-03-01
2016M03,Hostales y pensiones,TOTAL,582081,2016-03-01
2016M03,Hostales y pensiones,Residentes en Espańa,55942,2016-03-01
2016M03,Hostales y pensiones,No residentes en Espańa,22661,2016-03-01
2016M04,TOTAL,TOTAL,4448133,2016-04-01
2016M04,TOTAL,Residentes en Espańa,3512783,2016-04-01
2016M04,TOTAL,No residentes en Espańa,93535,2016-04-01
2016M04,4 y 5 estrellas,TOTAL,11801,2016-04-01
2016M04,4 y 5 estrellas,Residentes en Espańa,946439,2016-04-01
2016M04,4 y 5 estrellas,No residentes en Espańa,233661,2016-04-01
2016M04,3 estrellas,TOTAL,2426936,2016-04-01
2016M04,3 estrellas,Residentes en Espańa,1876681,2016-04-01
2016M04,3 estrellas,No residentes en Espańa,550254,2016-04-01
