Periodo,Categoría,Residencia viajero,DATA
2016M10,1 y 2 estrellas,Residentes en Espańa,2329.43
2016M10,1 y 2 estrellas,No residentes en Espańa,571.29
2016M10,Hostales y pensiones,TOTAL,10341.38
2016M10,Hostales y pensiones,Residentes en Espańa,8317.85
2016M10,Hostales y pensiones,No residentes en Espańa,2023.53
2016M11,TOTAL,TOTAL,40322.82
2016M11,TOTAL,Residentes en Espańa,35739.8
2016M11,TOTAL,No residentes en Espańa,4583.02
2016M11,4 y 5 estrellas,TOTAL,11704
2016M11,4 y 5 estrellas,Residentes en Espańa,10029.13
2016M11,4 y 5 estrellas,No residentes en Espańa,1674.87
2016M11,3 estrellas,TOTAL,21055
2016M11,3 estrellas,Residentes en Espańa,18512.24
2016M11,3 estrellas,No residentes en Espańa,2542.76
2016M11,1 y 2 estrellas,TOTAL,1812.86
2016M11,1 y 2 estrellas,Residentes en Espańa,1735.71
2016M11,1 y 2 estrellas,No residentes en Espańa,77.14
2016M11,Hostales y pensiones,TOTAL,5750.96
2016M11,Hostales y pensiones,Residentes en Espańa,5462.72
2016M11,Hostales y pensiones,No residentes en Espańa,288.24
2016M12,TOTAL,TOTAL,38049.51
2016M12,TOTAL,Residentes en Espańa,35085.48
2016M12,TOTAL,No residentes en Espańa,2964.03
2016M12,4 y 5 estrellas,TOTAL,11686
2016M12,4 y 5 estrellas,Residentes en Espańa,10704.31
2016M12,4 y 5 estrellas,No residentes en Espańa,981.69
2016M12,3 estrellas,TOTAL,18358
2016M12,3 estrellas,Residentes en Espańa,16704.13
2016M12,3 estrellas,No residentes en Espańa,1653.87
2016M12,1 y 2 estrellas,TOTAL,1019.72
2016M12,1 y 2 estrellas,Residentes en Espańa,994.65
2016M12,1 y 2 estrellas,No residentes en Espańa,25.07
2016M12,Hostales y pensiones,TOTAL,6985.79
2016M12,Hostales y pensiones,Residentes en Espańa,6682.39
2016M12,Hostales y pensiones,No residentes en Espańa,303.4
2017M01,TOTAL,TOTAL,27212.76
2017M01,TOTAL,Residentes en Espańa,24368.36
2017M01,TOTAL,No residentes en Espańa,2844.4
2017M01,4 y 5 estrellas,TOTAL,9169
2017M01,4 y 5 estrellas,Residentes en Espańa,8057.15
2017M01,4 y 5 estrellas,No residentes en Espańa,1111.85
2017M01,3 estrellas,TOTAL,14393
2017M01,3 estrellas,Residentes en Espańa,12886.6
2017M01,3 estrellas,No residentes en Espańa,1506.4
2017M01,1 y 2 estrellas,TOTAL,925.57
2017M01,1 y 2 estrellas,Residentes en Espańa,837
2017M01,1 y 2 estrellas,No residentes en Espańa,88.57
2017M01,Hostales y pensiones,TOTAL,2725.19
2017M01,Hostales y pensiones,Residentes en Espańa,2587.61
2017M01,Hostales y pensiones,No residentes en Espańa,137.58
2017M02,TOTAL,TOTAL,33388.54
2017M02,TOTAL,Residentes en Espańa,30480.99
2017M02,TOTAL,No residentes en Espańa,2907.55
2017M02,4 y 5 estrellas,TOTAL,9714
2017M02,4 y 5 estrellas,Residentes en Espańa,8901.55
2017M02,4 y 5 estrellas,No residentes en Espańa,812.45
2017M02,3 estrellas,TOTAL,17989
2017M02,3 estrellas,Residentes en Espańa,16269.29
2017M02,3 estrellas,No residentes en Espańa,1719.71
2017M02,1 y 2 estrellas,TOTAL,1336
2017M02,1 y 2 estrellas,Residentes en Espańa,1256
2017M02,1 y 2 estrellas,No residentes en Espańa,80
2017M02,Hostales y pensiones,TOTAL,4349.54
2017M02,Hostales y pensiones,Residentes en Espańa,4054.15
2017M02,Hostales y pensiones,No residentes en Espańa,295.39
2017M03,TOTAL,TOTAL,40407.73
2017M03,TOTAL,Residentes en Espańa,35555.79
2017M03,TOTAL,No residentes en Espańa,4851.95
2017M03,4 y 5 estrellas,TOTAL,11170
2017M03,4 y 5 estrellas,Residentes en Espańa,9805.74
2017M03,4 y 5 estrellas,No residentes en Espańa,1364.26
2017M03,3 estrellas,TOTAL,22291
2017M03,3 estrellas,Residentes en Espańa,19514.86
2017M03,3 estrellas,No residentes en Espańa,2776.14
2017M03,1 y 2 estrellas,TOTAL,1882.14
2017M03,1 y 2 estrellas,Residentes en Espańa,1718.29
2017M03,1 y 2 estrellas,No residentes en Espańa,163.86
2017M03,Hostales y pensiones,TOTAL,5064.59
2017M03,Hostales y pensiones,Residentes en Espańa,4516.9
2017M03,Hostales y pensiones,No residentes en Espańa,547.69
2017M04,TOTAL,TOTAL,55924.44
2017M04,TOTAL,Residentes en Espańa,45149.83
2017M04,TOTAL,No residentes en Espańa,10774.61
2017M04,4 y 5 estrellas,TOTAL,14763
2017M04,4 y 5 estrellas,Residentes en Espańa,12478.5
2017M04,4 y 5 estrellas,No residentes en Espańa,2284.5
2017M04,3 estrellas,TOTAL,29031
2017M04,3 estrellas,Residentes en Espańa,23636.7
2017M04,3 estrellas,No residentes en Espańa,5394.3
2017M04,1 y 2 estrellas,TOTAL,3120
2017M04,1 y 2 estrellas,Residentes en Espańa,2802.86
2017M04,1 y 2 estrellas,No residentes en Espańa,317.14
2017M04,Hostales y pensiones,TOTAL,9010.44
2017M04,Hostales y pensiones,Residentes en Espańa,6231.77
2017M04,Hostales y pensiones,No residentes en Espańa,2778.67
2017M05,TOTAL,TOTAL,53815.31
2017M05,TOTAL,Residentes en Espańa,37132.3
2017M05,TOTAL,No residentes en Espańa,16683.02
2017M05,4 y 5 estrellas,TOTAL,13712
2017M05,4 y 5 estrellas,Residentes en Espańa,9657.88
2017M05,4 y 5 estrellas,No residentes en Espańa,4054.12
2017M05,3 estrellas,TOTAL,28874
2017M05,3 estrellas,Residentes en Espańa,19821.7
2017M05,3 estrellas,No residentes en Espańa,9052.3
2017M05,1 y 2 estrellas,TOTAL,2471.14
2017M05,1 y 2 estrellas,Residentes en Espańa,2006.14
2017M05,1 y 2 estrellas,No residentes en Espańa,465
2017M05,Hostales y pensiones,TOTAL,8758.17
2017M05,Hostales y pensiones,Residentes en Espańa,5646.57
2017M05,Hostales y pensiones,No residentes en Espańa,3111.6
2017M06,TOTAL,TOTAL,51959.29
2017M06,TOTAL,Residentes en Espańa,38033.59
2017M06,TOTAL,No residentes en Espańa,13925.7
2017M06,4 y 5 estrellas,TOTAL,13678
2017M06,4 y 5 estrellas,Residentes en Espańa,9941.37
2017M06,4 y 5 estrellas,No residentes en Espańa,3736.63
2017M06,3 estrellas,TOTAL,27208
2017M06,3 estrellas,Residentes en Espańa,19822.51
2017M06,3 estrellas,No residentes en Espańa,7385.49
2017M06,1 y 2 estrellas,TOTAL,2288.57
2017M06,1 y 2 estrellas,Residentes en Espańa,1864.29
2017M06,1 y 2 estrellas,No residentes en Espańa,424.29
2017M06,Hostales y pensiones,TOTAL,8784.71
2017M06,Hostales y pensiones,Residentes en Espańa,6405.43
2017M06,Hostales y pensiones,No residentes en Espańa,2379.29
2017M07,TOTAL,TOTAL,56074.62
2017M07,TOTAL,Residentes en Espańa,44806.47
2017M07,TOTAL,No residentes en Espańa,11268.14
2017M07,4 y 5 estrellas,TOTAL,15311
2017M07,4 y 5 estrellas,Residentes en Espańa,12326.2
2017M07,4 y 5 estrellas,No residentes en Espańa,2984.8
2017M07,3 estrellas,TOTAL,29103.15
2017M07,3 estrellas,Residentes en Espańa,22615.67
2017M07,3 estrellas,No residentes en Espańa,6487.49
2017M07,1 y 2 estrellas,TOTAL,2989.29
2017M07,1 y 2 estrellas,Residentes en Espańa,2657.14
2017M07,1 y 2 estrellas,No residentes en Espańa,332.14
2017M07,Hostales y pensiones,TOTAL,8671.18
2017M07,Hostales y pensiones,Residentes en Espańa,7207.46
2017M07,Hostales y pensiones,No residentes en Espańa,1463.71
2017M08,TOTAL,TOTAL,70816.17
2017M08,TOTAL,Residentes en Espańa,59516.88
2017M08,TOTAL,No residentes en Espańa,11299.29
2017M08,4 y 5 estrellas,TOTAL,18711
2017M08,4 y 5 estrellas,Residentes en Espańa,15652.76
2017M08,4 y 5 estrellas,No residentes en Espańa,3058.24
2017M08,3 estrellas,TOTAL,38096
2017M08,3 estrellas,Residentes en Espańa,31757.27
2017M08,3 estrellas,No residentes en Espańa,6338.73
2017M08,1 y 2 estrellas,TOTAL,3662.43
2017M08,1 y 2 estrellas,Residentes en Espańa,3188.57
2017M08,1 y 2 estrellas,No residentes en Espańa,473.86
2017M08,Hostales y pensiones,TOTAL,10346.74
2017M08,Hostales y pensiones,Residentes en Espańa,8918.27
2017M08,Hostales y pensiones,No residentes en Espańa,1428.47
2017M09,TOTAL,TOTAL,63944.73
2017M09,TOTAL,Residentes en Espańa,45154.63
2017M09,TOTAL,No residentes en Espańa,18790.1
2017M09,4 y 5 estrellas,TOTAL,17276
2017M09,4 y 5 estrellas,Residentes en Espańa,12997.48
2017M09,4 y 5 estrellas,No residentes en Espańa,4278.52
2017M09,3 estrellas,TOTAL,32456.56
2017M09,3 estrellas,Residentes en Espańa,22265.38
2017M09,3 estrellas,No residentes en Espańa,10191.18
2017M09,1 y 2 estrellas,TOTAL,3317.14
2017M09,1 y 2 estrellas,Residentes en Espańa,2704.29
2017M09,1 y 2 estrellas,No residentes en Espańa,612.86
2017M09,Hostales y pensiones,TOTAL,10895.03
2017M09,Hostales y pensiones,Residentes en Espańa,7187.49
2017M09,Hostales y pensiones,No residentes en Espańa,3707.54
2017M10,TOTAL,TOTAL,53788.23
2017M10,TOTAL,Residentes en Espańa,43549.92
2017M10,TOTAL,No residentes en Espańa,10238.31
2017M10,4 y 5 estrellas,TOTAL,16083
2017M10,4 y 5 estrellas,Residentes en Espańa,12934.59
2017M10,4 y 5 estrellas,No residentes en Espańa,3148.41
2017M10,3 estrellas,TOTAL,27193
2017M10,3 estrellas,Residentes en Espańa,21481.47
2017M10,3 estrellas,No residentes en Espańa,5711.53
2017M10,1 y 2 estrellas,TOTAL,3090.21
2017M10,1 y 2 estrellas,Residentes en Espańa,2778.33
2017M10,1 y 2 estrellas,No residentes en Espańa,311.87
2017M10,Hostales y pensiones,TOTAL,7422.03
2017M10,Hostales y pensiones,Residentes en Espańa,6355.53
2017M10,Hostales y pensiones,No residentes en Espańa,1066.5
2017M11,TOTAL,TOTAL,42276.31
