Periodo,País de residencia,Medida,DATA,Fecha
2015M08,Resto de UE,Pernoctaciones,167979,2015-08-01
2015M08,Estados Unidos,Viajeros,770,2015-08-01
2015M08,Estados Unidos,Pernoctaciones,1064,2015-08-01
2015M08,Resto de America,Viajeros,32886,2015-08-01
2015M08,Resto de America,Pernoctaciones,41257,2015-08-01
2015M08,Resto de no residentes en Espańa,Viajeros,89586,2015-08-01
2015M08,Resto de no residentes en Espańa,Pernoctaciones,169775,2015-08-01
2015M08,Resto de Europa,Viajeros,56829,2015-08-01
2015M08,Resto de Europa,Pernoctaciones,119844,2015-08-01
2015M09,TOTAL,Viajeros,6614682,2015-09-01
2015M09,TOTAL,Pernoctaciones,11217203,2015-09-01
2015M09,RESIDENTES EN ESPAŃA,Viajeros,4653079,2015-09-01
2015M09,RESIDENTES EN ESPAŃA,Pernoctaciones,8232558,2015-09-01
2015M09,NO RESIDENTE EN ESPAŃA,Viajeros,1961604,2015-09-01
2015M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2984645,2015-09-01
2015M09,Alemania,Viajeros,2130,2015-09-01
2015M09,Alemania,Pernoctaciones,3551,2015-09-01
2015M09,Francia,Viajeros,3322,2015-09-01
2015M09,Francia,Pernoctaciones,5338,2015-09-01
2015M09,Italia,Viajeros,742,2015-09-01
2015M09,Italia,Pernoctaciones,1567,2015-09-01
2015M09,Paises Bajos,Viajeros,634,2015-09-01
2015M09,Paises Bajos,Pernoctaciones,985,2015-09-01
2015M09,Reino Unido,Viajeros,2870,2015-09-01
2015M09,Reino Unido,Pernoctaciones,4352,2015-09-01
2015M09,Paises Nordicos,Viajeros,12821,2015-09-01
2015M09,Paises Nordicos,Pernoctaciones,17666,2015-09-01
2015M09,Resto de UE,Viajeros,335801,2015-09-01
2015M09,Resto de UE,Pernoctaciones,489695,2015-09-01
2015M09,Estados Unidos,Viajeros,2354,2015-09-01
2015M09,Estados Unidos,Pernoctaciones,3257,2015-09-01
2015M09,Resto de America,Viajeros,120499,2015-09-01
2015M09,Resto de America,Pernoctaciones,165884,2015-09-01
2015M09,Resto de no residentes en Espańa,Viajeros,97077,2015-09-01
2015M09,Resto de no residentes en Espańa,Pernoctaciones,100634,2015-09-01
2015M09,Resto de Europa,Viajeros,74817,2015-09-01
2015M09,Resto de Europa,Pernoctaciones,146772,2015-09-01
2015M10,TOTAL,Viajeros,5665374,2015-10-01
2015M10,TOTAL,Pernoctaciones,10069047,2015-10-01
2015M10,RESIDENTES EN ESPAŃA,Viajeros,4523659,2015-10-01
2015M10,RESIDENTES EN ESPAŃA,Pernoctaciones,8149504,2015-10-01
2015M10,NO RESIDENTE EN ESPAŃA,Viajeros,1141715,2015-10-01
2015M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1919544,2015-10-01
2015M10,Alemania,Viajeros,842,2015-10-01
2015M10,Alemania,Pernoctaciones,1505,2015-10-01
2015M10,Francia,Viajeros,2058,2015-10-01
2015M10,Francia,Pernoctaciones,2854,2015-10-01
2015M10,Italia,Viajeros,289,2015-10-01
2015M10,Italia,Pernoctaciones,708,2015-10-01
2015M10,Paises Bajos,Viajeros,190,2015-10-01
2015M10,Paises Bajos,Pernoctaciones,313,2015-10-01
2015M10,Reino Unido,Viajeros,1594,2015-10-01
2015M10,Reino Unido,Pernoctaciones,2667,2015-10-01
2015M10,Paises Nordicos,Viajeros,129872,2015-10-01
2015M10,Paises Nordicos,Pernoctaciones,248299,2015-10-01
2015M10,Resto de UE,Viajeros,178301,2015-10-01
2015M10,Resto de UE,Pernoctaciones,295853,2015-10-01
2015M10,Estados Unidos,Viajeros,1148,2015-10-01
2015M10,Estados Unidos,Pernoctaciones,1985,2015-10-01
2015M10,Resto de America,Viajeros,118273,2015-10-01
2015M10,Resto de America,Pernoctaciones,212809,2015-10-01
2015M10,Resto de no residentes en Espańa,Viajeros,63566,2015-10-01
2015M10,Resto de no residentes en Espańa,Pernoctaciones,87461,2015-10-01
2015M10,Resto de Europa,Viajeros,39604,2015-10-01
2015M10,Resto de Europa,Pernoctaciones,71922,2015-10-01
2015M11,TOTAL,Viajeros,4314855,2015-11-01
2015M11,TOTAL,Pernoctaciones,7709706,2015-11-01
2015M11,RESIDENTES EN ESPAŃA,Viajeros,3845531,2015-11-01
2015M11,RESIDENTES EN ESPAŃA,Pernoctaciones,6896201,2015-11-01
2015M11,NO RESIDENTE EN ESPAŃA,Viajeros,469324,2015-11-01
2015M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,813505,2015-11-01
2015M11,Alemania,Viajeros,397,2015-11-01
2015M11,Alemania,Pernoctaciones,720,2015-11-01
2015M11,Francia,Viajeros,950,2015-11-01
2015M11,Francia,Pernoctaciones,1440,2015-11-01
2015M11,Italia,Viajeros,246,2015-11-01
2015M11,Italia,Pernoctaciones,520,2015-11-01
2015M11,Paises Bajos,Viajeros,82,2015-11-01
2015M11,Paises Bajos,Pernoctaciones,86,2015-11-01
2015M11,Reino Unido,Viajeros,490,2015-11-01
2015M11,Reino Unido,Pernoctaciones,739,2015-11-01
2015M11,Paises Nordicos,Viajeros,19201,2015-11-01
2015M11,Paises Nordicos,Pernoctaciones,21834,2015-11-01
2015M11,Resto de UE,Viajeros,99582,2015-11-01
2015M11,Resto de UE,Pernoctaciones,191679,2015-11-01
2015M11,Estados Unidos,Viajeros,292,2015-11-01
2015M11,Estados Unidos,Pernoctaciones,438,2015-11-01
2015M11,Resto de America,Viajeros,26373,2015-11-01
2015M11,Resto de America,Pernoctaciones,62188,2015-11-01
2015M11,Resto de no residentes en Espańa,Viajeros,49343,2015-11-01
2015M11,Resto de no residentes en Espańa,Pernoctaciones,105579,2015-11-01
2015M11,Resto de Europa,Viajeros,29124,2015-11-01
2015M11,Resto de Europa,Pernoctaciones,37925,2015-11-01
2015M12,TOTAL,Viajeros,3593301,2015-12-01
2015M12,TOTAL,Pernoctaciones,6191125,2015-12-01
2015M12,RESIDENTES EN ESPAŃA,Viajeros,3312719,2015-12-01
2015M12,RESIDENTES EN ESPAŃA,Pernoctaciones,571342,2015-12-01
2015M12,NO RESIDENTE EN ESPAŃA,Viajeros,280582,2015-12-01
2015M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,477705,2015-12-01
2015M12,Alemania,Viajeros,91,2015-12-01
2015M12,Alemania,Pernoctaciones,204,2015-12-01
2015M12,Francia,Viajeros,604,2015-12-01
2015M12,Francia,Pernoctaciones,856,2015-12-01
2015M12,Italia,Viajeros,169,2015-12-01
2015M12,Italia,Pernoctaciones,401,2015-12-01
2015M12,Paises Bajos,Viajeros,53,2015-12-01
2015M12,Paises Bajos,Pernoctaciones,62,2015-12-01
2015M12,Reino Unido,Viajeros,274,2015-12-01
2015M12,Reino Unido,Pernoctaciones,442,2015-12-01
2015M12,Paises Nordicos,Viajeros,3967,2015-12-01
2015M12,Paises Nordicos,Pernoctaciones,9454,2015-12-01
2015M12,Resto de UE,Viajeros,56911,2015-12-01
2015M12,Resto de UE,Pernoctaciones,87043,2015-12-01
2015M12,Estados Unidos,Viajeros,203,2015-12-01
2015M12,Estados Unidos,Pernoctaciones,450,2015-12-01
2015M12,Resto de America,Viajeros,29648,2015-12-01
2015M12,Resto de America,Pernoctaciones,49785,2015-12-01
2015M12,Resto de no residentes en Espańa,Viajeros,33715,2015-12-01
2015M12,Resto de no residentes en Espańa,Pernoctaciones,62126,2015-12-01
2015M12,Resto de Europa,Viajeros,16941,2015-12-01
2015M12,Resto de Europa,Pernoctaciones,27797,2015-12-01
2016M01,TOTAL,Viajeros,2881966,2016-01-01
2016M01,TOTAL,Pernoctaciones,5049091,2016-01-01
2016M01,RESIDENTES EN ESPAŃA,Viajeros,2598327,2016-01-01
2016M01,RESIDENTES EN ESPAŃA,Pernoctaciones,4433781,2016-01-01
2016M01,NO RESIDENTE EN ESPAŃA,Viajeros,283638,2016-01-01
2016M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,61531,2016-01-01
2016M01,Alemania,Viajeros,133,2016-01-01
2016M01,Alemania,Pernoctaciones,287,2016-01-01
2016M01,Francia,Viajeros,452,2016-01-01
2016M01,Francia,Pernoctaciones,786,2016-01-01
2016M01,Italia,Viajeros,238,2016-01-01
2016M01,Italia,Pernoctaciones,533,2016-01-01
2016M01,Paises Bajos,Viajeros,52,2016-01-01
2016M01,Paises Bajos,Pernoctaciones,91,2016-01-01
2016M01,Reino Unido,Viajeros,234,2016-01-01
2016M01,Reino Unido,Pernoctaciones,377,2016-01-01
2016M01,Paises Nordicos,Viajeros,4123,2016-01-01
2016M01,Paises Nordicos,Pernoctaciones,7506,2016-01-01
2016M01,Resto de UE,Viajeros,70229,2016-01-01
2016M01,Resto de UE,Pernoctaciones,239251,2016-01-01
2016M01,Estados Unidos,Viajeros,116,2016-01-01
2016M01,Estados Unidos,Pernoctaciones,205,2016-01-01
2016M01,Resto de America,Viajeros,23282,2016-01-01
2016M01,Resto de America,Pernoctaciones,44847,2016-01-01
2016M01,Resto de no residentes en Espańa,Viajeros,41004,2016-01-01
2016M01,Resto de no residentes en Espańa,Pernoctaciones,50701,2016-01-01
2016M01,Resto de Europa,Viajeros,22501,2016-01-01
2016M01,Resto de Europa,Pernoctaciones,45105,2016-01-01
2016M02,TOTAL,Viajeros,3392067,2016-02-01
2016M02,TOTAL,Pernoctaciones,5928873,2016-02-01
2016M02,RESIDENTES EN ESPAŃA,Viajeros,3071699,2016-02-01
2016M02,RESIDENTES EN ESPAŃA,Pernoctaciones,539388,2016-02-01
2016M02,NO RESIDENTE EN ESPAŃA,Viajeros,320368,2016-02-01
2016M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,534993,2016-02-01
2016M02,Alemania,Viajeros,249,2016-02-01
2016M02,Alemania,Pernoctaciones,576,2016-02-01
2016M02,Francia,Viajeros,683,2016-02-01
2016M02,Francia,Pernoctaciones,996,2016-02-01
2016M02,Italia,Viajeros,235,2016-02-01
2016M02,Italia,Pernoctaciones,452,2016-02-01
2016M02,Paises Bajos,Viajeros,106,2016-02-01
2016M02,Paises Bajos,Pernoctaciones,183,2016-02-01
2016M02,Reino Unido,Viajeros,274,2016-02-01
2016M02,Reino Unido,Pernoctaciones,466,2016-02-01
2016M02,Paises Nordicos,Viajeros,6626,2016-02-01
2016M02,Paises Nordicos,Pernoctaciones,921,2016-02-01
2016M02,Resto de UE,Viajeros,63681,2016-02-01
2016M02,Resto de UE,Pernoctaciones,99804,2016-02-01
2016M02,Estados Unidos,Viajeros,122,2016-02-01
2016M02,Estados Unidos,Pernoctaciones,263,2016-02-01
2016M02,Resto de America,Viajeros,30156,2016-02-01
2016M02,Resto de America,Pernoctaciones,52154,2016-02-01
2016M02,Resto de no residentes en Espańa,Viajeros,4122,2016-02-01
2016M02,Resto de no residentes en Espańa,Pernoctaciones,56053,2016-02-01
2016M02,Resto de Europa,Viajeros,11784,2016-02-01
2016M02,Resto de Europa,Pernoctaciones,24172,2016-02-01
2016M03,TOTAL,Viajeros,4440995,2016-03-01
2016M03,TOTAL,Pernoctaciones,829126,2016-03-01
2016M03,RESIDENTES EN ESPAŃA,Viajeros,40108,2016-03-01
2016M03,RESIDENTES EN ESPAŃA,Pernoctaciones,7568043,2016-03-01
2016M03,NO RESIDENTE EN ESPAŃA,Viajeros,430195,2016-03-01
2016M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,723217,2016-03-01
2016M03,Alemania,Viajeros,351,2016-03-01
2016M03,Alemania,Pernoctaciones,613,2016-03-01
2016M03,Francia,Viajeros,699,2016-03-01
2016M03,Francia,Pernoctaciones,1125,2016-03-01
2016M03,Italia,Viajeros,237,2016-03-01
2016M03,Italia,Pernoctaciones,608,2016-03-01
2016M03,Paises Bajos,Viajeros,65,2016-03-01
2016M03,Paises Bajos,Pernoctaciones,124,2016-03-01
2016M03,Reino Unido,Viajeros,471,2016-03-01
2016M03,Reino Unido,Pernoctaciones,727,2016-03-01
2016M03,Paises Nordicos,Viajeros,10857,2016-03-01
2016M03,Paises Nordicos,Pernoctaciones,14872,2016-03-01
2016M03,Resto de UE,Viajeros,70642,2016-03-01
2016M03,Resto de UE,Pernoctaciones,109606,2016-03-01
2016M03,Estados Unidos,Viajeros,382,2016-03-01
2016M03,Estados Unidos,Pernoctaciones,562,2016-03-01
2016M03,Resto de America,Viajeros,4433,2016-03-01
2016M03,Resto de America,Pernoctaciones,81216,2016-03-01
2016M03,Resto de no residentes en Espańa,Viajeros,65289,2016-03-01
2016M03,Resto de no residentes en Espańa,Pernoctaciones,93285,2016-03-01
2016M03,Resto de Europa,Viajeros,18577,2016-03-01
2016M03,Resto de Europa,Pernoctaciones,48338,2016-03-01
2016M04,TOTAL,Viajeros,4448133,2016-04-01
2016M04,TOTAL,Pernoctaciones,7373867,2016-04-01
2016M04,RESIDENTES EN ESPAŃA,Viajeros,3512783,2016-04-01
2016M04,RESIDENTES EN ESPAŃA,Pernoctaciones,5875625,2016-04-01
2016M04,NO RESIDENTE EN ESPAŃA,Viajeros,93535,2016-04-01
2016M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1498242,2016-04-01
2016M04,Alemania,Viajeros,798,2016-04-01
2016M04,Alemania,Pernoctaciones,1427,2016-04-01
2016M04,Francia,Viajeros,1675,2016-04-01
2016M04,Francia,Pernoctaciones,2912,2016-04-01
2016M04,Italia,Viajeros,473,2016-04-01
2016M04,Italia,Pernoctaciones,925,2016-04-01
2016M04,Paises Bajos,Viajeros,326,2016-04-01
2016M04,Paises Bajos,Pernoctaciones,489,2016-04-01
2016M04,Reino Unido,Viajeros,1035,2016-04-01
2016M04,Reino Unido,Pernoctaciones,1693,2016-04-01
2016M04,Paises Nordicos,Viajeros,34692,2016-04-01
2016M04,Paises Nordicos,Pernoctaciones,61775,2016-04-01
2016M04,Resto de UE,Viajeros,13186,2016-04-01
2016M04,Resto de UE,Pernoctaciones,188044,2016-04-01
2016M04,Estados Unidos,Viajeros,1112,2016-04-01
2016M04,Estados Unidos,Pernoctaciones,1551,2016-04-01
2016M04,Resto de America,Viajeros,73584,2016-04-01
2016M04,Resto de America,Pernoctaciones,13015,2016-04-01
2016M04,Resto de no residentes en Espańa,Viajeros,111433,2016-04-01
2016M04,Resto de no residentes en Espańa,Pernoctaciones,1380,2016-04-01
2016M04,Resto de Europa,Viajeros,41881,2016-04-01
2016M04,Resto de Europa,Pernoctaciones,80573,2016-04-01
2016M05,TOTAL,Viajeros,5763401,2016-05-01
2016M05,TOTAL,Pernoctaciones,9244751,2016-05-01
2016M05,RESIDENTES EN ESPAŃA,Viajeros,4060046,2016-05-01
