Periodo,Categoría,Residencia viajero,DATA
2016M04,TOTAL,Residentes en Espańa,58756.25
2016M04,TOTAL,No residentes en Espańa,14982.42
2016M04,4 y 5 estrellas,TOTAL,21920
2016M04,4 y 5 estrellas,Residentes en Espańa,18205.7
2016M04,4 y 5 estrellas,No residentes en Espańa,3714.3
2016M04,3 estrellas,TOTAL,37703.13
2016M04,3 estrellas,Residentes en Espańa,28411.57
2016M04,3 estrellas,No residentes en Espańa,9291.57
2016M04,1 y 2 estrellas,TOTAL,3432.86
2016M04,1 y 2 estrellas,Residentes en Espańa,2978.57
2016M04,1 y 2 estrellas,No residentes en Espańa,454.29
2016M04,Hostales y pensiones,TOTAL,10682.68
2016M04,Hostales y pensiones,Residentes en Espańa,9160.4
2016M04,Hostales y pensiones,No residentes en Espańa,1522.27
2016M05,TOTAL,TOTAL,92447.51
2016M05,TOTAL,Residentes en Espańa,68642.41
2016M05,TOTAL,No residentes en Espańa,23805.1
2016M05,4 y 5 estrellas,TOTAL,26690
2016M05,4 y 5 estrellas,Residentes en Espańa,20537.24
2016M05,4 y 5 estrellas,No residentes en Espańa,6152.76
2016M05,3 estrellas,TOTAL,44793
2016M05,3 estrellas,Residentes en Espańa,32929.84
2016M05,3 estrellas,No residentes en Espańa,11863.16
2016M05,1 y 2 estrellas,TOTAL,4158.43
2016M05,1 y 2 estrellas,Residentes en Espańa,3534
2016M05,1 y 2 estrellas,No residentes en Espańa,624.43
2016M05,Hostales y pensiones,TOTAL,16806.08
2016M05,Hostales y pensiones,Residentes en Espańa,11641.33
2016M05,Hostales y pensiones,No residentes en Espańa,5164.75
2016M06,TOTAL,TOTAL,82141.65
2016M06,TOTAL,Residentes en Espańa,60128.38
2016M06,TOTAL,No residentes en Espańa,22013.28
2016M06,4 y 5 estrellas,TOTAL,26904
2016M06,4 y 5 estrellas,Residentes en Espańa,19828.75
2016M06,4 y 5 estrellas,No residentes en Espańa,7075.25
2016M06,3 estrellas,TOTAL,41195
2016M06,3 estrellas,Residentes en Espańa,29271.14
2016M06,3 estrellas,No residentes en Espańa,11923.86
2016M06,1 y 2 estrellas,TOTAL,4015.55
2016M06,1 y 2 estrellas,Residentes en Espańa,3482.23
2016M06,1 y 2 estrellas,No residentes en Espańa,533.32
2016M06,Hostales y pensiones,TOTAL,10027.11
2016M06,Hostales y pensiones,Residentes en Espańa,7546.26
2016M06,Hostales y pensiones,No residentes en Espańa,2480.85
2016M07,TOTAL,TOTAL,101679.17
2016M07,TOTAL,Residentes en Espańa,79375.59
2016M07,TOTAL,No residentes en Espańa,22303.58
2016M07,4 y 5 estrellas,TOTAL,29802
2016M07,4 y 5 estrellas,Residentes en Espańa,23848.65
2016M07,4 y 5 estrellas,No residentes en Espańa,5953.35
2016M07,3 estrellas,TOTAL,50806.59
2016M07,3 estrellas,Residentes en Espańa,37694.14
2016M07,3 estrellas,No residentes en Espańa,13112.44
2016M07,1 y 2 estrellas,TOTAL,5748.29
2016M07,1 y 2 estrellas,Residentes en Espańa,5004.29
2016M07,1 y 2 estrellas,No residentes en Espańa,744
2016M07,Hostales y pensiones,TOTAL,15322.3
2016M07,Hostales y pensiones,Residentes en Espańa,12828.51
2016M07,Hostales y pensiones,No residentes en Espańa,2493.79
2016M08,TOTAL,TOTAL,128262.41
2016M08,TOTAL,Residentes en Espańa,109618.2
2016M08,TOTAL,No residentes en Espańa,18644.21
2016M08,4 y 5 estrellas,TOTAL,37120
2016M08,4 y 5 estrellas,Residentes en Espańa,31883.87
2016M08,4 y 5 estrellas,No residentes en Espańa,5236.13
2016M08,3 estrellas,TOTAL,63667
2016M08,3 estrellas,Residentes en Espańa,53780.17
2016M08,3 estrellas,No residentes en Espańa,9886.83
2016M08,1 y 2 estrellas,TOTAL,7426.71
2016M08,1 y 2 estrellas,Residentes en Espańa,6753.57
2016M08,1 y 2 estrellas,No residentes en Espańa,673.14
2016M08,Hostales y pensiones,TOTAL,20048.7
2016M08,Hostales y pensiones,Residentes en Espańa,17200.58
2016M08,Hostales y pensiones,No residentes en Espańa,2848.11
2016M09,TOTAL,TOTAL,108055.69
