Periodo,Ubicación establecimiento,DATA
2023M07,TOTAL,93926.58
2023M07,Logrońo y Alrededores,47698.5
2023M07,Resto,46228.08
2023M08,TOTAL,117833.5
2023M08,Logrońo y Alrededores,58011
2023M08,Resto,59822.5
2023M09,TOTAL,104707.72
2023M09,Logrońo y Alrededores,52791.44
2023M09,Resto,51916.28
2023M10,TOTAL,96798.48
2023M10,Logrońo y Alrededores,50978.76
2023M10,Resto,45819.72
2023M11,TOTAL,69472.22
2023M11,Logrońo y Alrededores,40831.89
2023M11,Resto,28640.33
2023M12,TOTAL,62757.41
2023M12,Logrońo y Alrededores,35429.54
2023M12,Resto,27327.87
2024M01,TOTAL,43247.51
2024M01,Logrońo y Alrededores,29359.61
2024M01,Resto,13887.9
2024M02,TOTAL,57159.96
2024M02,Logrońo y Alrededores,34541.63
2024M02,Resto,22618.32
2024M03,TOTAL,80438.97
2024M03,Logrońo y Alrededores,44588.44
2024M03,Resto,35850.53
