Periodo,Tipo de establecimiento,CCAA,DATA
2002M04,Hoteles,Espańa,325.0
2002M04,Camping,La Rioja,233.0
2002M04,Camping,Espańa,372.0
2002M04,Turismo Rural,La Rioja,204.0
2002M04,Turismo Rural,Espańa,246.0
2002M04,Apartamentos,La Rioja,16.0
2002M04,Apartamentos,Espańa,832.0
2002M05,Hoteles,La Rioja,174.0
2002M05,Hoteles,Espańa,36.0
2002M05,Camping,La Rioja,183.0
2002M05,Camping,Espańa,364.0
2002M05,Turismo Rural,La Rioja,254.0
2002M05,Turismo Rural,Espańa,246.0
2002M05,Apartamentos,La Rioja,249.0
2002M05,Apartamentos,Espańa,881.0
2002M06,Hoteles,La Rioja,184.0
2002M06,Hoteles,Espańa,398.0
2002M06,Camping,La Rioja,198.0
2002M06,Camping,Espańa,373.0
2002M06,Turismo Rural,La Rioja,197.0
2002M06,Turismo Rural,Espańa,249.0
2002M06,Apartamentos,La Rioja,179.0
2002M06,Apartamentos,Espańa,891.0
2002M07,Hoteles,La Rioja,18.0
2002M07,Hoteles,Espańa,432.0
2002M07,Camping,La Rioja,424.0
2002M07,Camping,Espańa,531.0
2002M07,Turismo Rural,La Rioja,234.0
2002M07,Turismo Rural,Espańa,361.0
2002M07,Apartamentos,La Rioja,481.0
2002M07,Apartamentos,Espańa,1046.0
2002M08,Hoteles,La Rioja,193.0
2002M08,Hoteles,Espańa,435.0
2002M08,Camping,La Rioja,679.0
2002M08,Camping,Espańa,621.0
2002M08,Turismo Rural,La Rioja,372.0
2002M08,Turismo Rural,Espańa,477.0
2002M08,Apartamentos,La Rioja,646.0
2002M08,Apartamentos,Espańa,1025.0
2002M09,Hoteles,La Rioja,178.0
2002M09,Hoteles,Espańa,409.0
2002M09,Camping,La Rioja,25.0
2002M09,Camping,Espańa,488.0
2002M09,Turismo Rural,La Rioja,231.0
2002M09,Turismo Rural,Espańa,3.0
2002M09,Apartamentos,La Rioja,299.0
2002M09,Apartamentos,Espańa,965.0
2002M10,Hoteles,La Rioja,18.0
2002M10,Hoteles,Espańa,362.0
2002M10,Camping,La Rioja,204.0
2002M10,Camping,Espańa,415.0
2002M10,Turismo Rural,La Rioja,197.0
2002M10,Turismo Rural,Espańa,225.0
2002M10,Apartamentos,La Rioja,191.0
2002M10,Apartamentos,Espańa,889.0
2002M11,Hoteles,La Rioja,186.0
2002M11,Hoteles,Espańa,311.0
2002M11,Camping,La Rioja,207.0
2002M11,Camping,Espańa,555.0
2002M11,Turismo Rural,La Rioja,216.0
2002M11,Turismo Rural,Espańa,226.0
2002M11,Apartamentos,La Rioja,212.0
2002M11,Apartamentos,Espańa,851.0
2002M12,Hoteles,La Rioja,193.0
2002M12,Hoteles,Espańa,303.0
2002M12,Camping,La Rioja,211.0
2002M12,Camping,Espańa,672.0
2002M12,Turismo Rural,La Rioja,216.0
2002M12,Turismo Rural,Espańa,226.0
2002M12,Apartamentos,La Rioja,293.0
2002M12,Apartamentos,Espańa,827.0
2003M01,Hoteles,La Rioja,174.0
2003M01,Hoteles,Espańa,34.0
2003M01,Camping,La Rioja,205.0
2003M01,Camping,Espańa,709.0
2003M01,Turismo Rural,La Rioja,25.0
2003M01,Turismo Rural,Espańa,262.0
2003M01,Apartamentos,La Rioja,278.0
2003M01,Apartamentos,Espańa,916.0
2003M02,Hoteles,La Rioja,19.0
2003M02,Hoteles,Espańa,321.0
2003M02,Camping,La Rioja,215.0
2003M02,Camping,Espańa,648.0
2003M02,Turismo Rural,La Rioja,161.0
2003M02,Turismo Rural,Espańa,198.0
2003M02,Apartamentos,La Rioja,171.0
2003M02,Apartamentos,Espańa,836.0
2003M03,Hoteles,La Rioja,176.0
2003M03,Hoteles,Espańa,326.0
2003M03,Camping,La Rioja,205.0
2003M03,Camping,Espańa,517.0
2003M03,Turismo Rural,La Rioja,153.0
2003M03,Turismo Rural,Espańa,229.0
2003M03,Apartamentos,La Rioja,167.0
2003M03,Apartamentos,Espańa,856.0
2003M04,Hoteles,La Rioja,184.0
2003M04,Hoteles,Espańa,323.0
2003M04,Camping,La Rioja,302.0
2003M04,Camping,Espańa,348.0
2003M04,Turismo Rural,La Rioja,239.0
2003M04,Turismo Rural,Espańa,299.0
2003M04,Apartamentos,La Rioja,274.0
2003M04,Apartamentos,Espańa,773.0
2003M05,Hoteles,La Rioja,184.0
2003M05,Hoteles,Espańa,351.0
2003M05,Camping,La Rioja,238.0
2003M05,Camping,Espańa,334.0
2003M05,Turismo Rural,La Rioja,302.0
2003M05,Turismo Rural,Espańa,281.0
2003M05,Apartamentos,La Rioja,17.0
2003M05,Apartamentos,Espańa,793.0
2003M06,Hoteles,La Rioja,176.0
2003M06,Hoteles,Espańa,383.0
2003M06,Camping,La Rioja,226.0
2003M06,Camping,Espańa,352.0
2003M06,Turismo Rural,La Rioja,188.0
2003M06,Turismo Rural,Espańa,255.0
2003M06,Apartamentos,La Rioja,241.0
