Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA
1999M02,Camping,Pernoctaciones,Espańa,Residentes en Espańa,124247.0
1999M02,Camping,Pernoctaciones,Espańa,No residentes en Espańa,315507.0
1999M03,TOTAL,Viajeros,La Rioja,TOTAL,33864.0
1999M03,TOTAL,Viajeros,La Rioja,Residentes en Espańa,30986.0
1999M03,TOTAL,Viajeros,La Rioja,No residentes en Espańa,2878.0
1999M03,TOTAL,Viajeros,Espańa,TOTAL,4301705.0
1999M03,TOTAL,Viajeros,Espańa,Residentes en Espańa,2584020.0
1999M03,TOTAL,Viajeros,Espańa,No residentes en Espańa,1717685.0
1999M03,TOTAL,Pernoctaciones,La Rioja,TOTAL,55220.0
1999M03,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,50941.0
1999M03,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,4279.0
1999M03,TOTAL,Pernoctaciones,Espańa,TOTAL,14891032.0
1999M03,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,6180120.0
1999M03,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,8710912.0
1999M03,HOTELES,Viajeros,La Rioja,TOTAL,30932.0
1999M03,HOTELES,Viajeros,La Rioja,Residentes en Espańa,28293.0
1999M03,HOTELES,Viajeros,La Rioja,No residentes en Espańa,2639.0
1999M03,HOTELES,Viajeros,Espańa,TOTAL,4143342.0
1999M03,HOTELES,Viajeros,Espańa,Residentes en Espańa,2462481.0
1999M03,HOTELES,Viajeros,Espańa,No residentes en Espańa,1680861.0
1999M03,HOTELES,Pernoctaciones,La Rioja,TOTAL,50561.0
1999M03,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,46654.0
1999M03,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,3907.0
1999M03,HOTELES,Pernoctaciones,Espańa,TOTAL,14212113.0
1999M03,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,5847897.0
1999M03,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,8364216.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,2932.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,2693.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,239.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,158363.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,121539.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,36824.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,4659.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,4287.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,372.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,678919.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,332223.0
1999M03,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,346696.0
1999M03,Camping,Viajeros,La Rioja,TOTAL,2932.0
1999M03,Camping,Viajeros,La Rioja,Residentes en Espańa,2693.0
1999M03,Camping,Viajeros,La Rioja,No residentes en Espańa,239.0
1999M03,Camping,Viajeros,Espańa,TOTAL,158363.0
1999M03,Camping,Viajeros,Espańa,Residentes en Espańa,121539.0
1999M03,Camping,Viajeros,Espańa,No residentes en Espańa,36824.0
1999M03,Camping,Pernoctaciones,La Rioja,TOTAL,4659.0
1999M03,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,4287.0
1999M03,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,372.0
1999M03,Camping,Pernoctaciones,Espańa,TOTAL,678919.0
1999M03,Camping,Pernoctaciones,Espańa,Residentes en Espańa,332223.0
1999M03,Camping,Pernoctaciones,Espańa,No residentes en Espańa,346696.0
1999M04,TOTAL,Viajeros,La Rioja,TOTAL,36507.0
1999M04,TOTAL,Viajeros,La Rioja,Residentes en Espańa,30740.0
1999M04,TOTAL,Viajeros,La Rioja,No residentes en Espańa,5767.0
1999M04,TOTAL,Viajeros,Espańa,TOTAL,5272784.0
1999M04,TOTAL,Viajeros,Espańa,Residentes en Espańa,3011636.0
1999M04,TOTAL,Viajeros,Espańa,No residentes en Espańa,2261148.0
1999M04,TOTAL,Pernoctaciones,La Rioja,TOTAL,71752.0
1999M04,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,63145.0
1999M04,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,8607.0
1999M04,TOTAL,Pernoctaciones,Espańa,TOTAL,18779586.0
1999M04,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,8050058.0
1999M04,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,10729528.0
1999M04,HOTELES,Viajeros,La Rioja,TOTAL,31578.0
1999M04,HOTELES,Viajeros,La Rioja,Residentes en Espańa,26137.0
1999M04,HOTELES,Viajeros,La Rioja,No residentes en Espańa,5441.0
1999M04,HOTELES,Viajeros,Espańa,TOTAL,4931385.0
1999M04,HOTELES,Viajeros,Espańa,Residentes en Espańa,2738154.0
1999M04,HOTELES,Viajeros,Espańa,No residentes en Espańa,2193231.0
1999M04,HOTELES,Pernoctaciones,La Rioja,TOTAL,57425.0
1999M04,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,49508.0
1999M04,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,7917.0
1999M04,HOTELES,Pernoctaciones,Espańa,TOTAL,17472798.0
1999M04,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,7121973.0
1999M04,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,10350825.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,4929.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,4603.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,326.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,341399.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,273482.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,67917.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,14327.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,13637.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,690.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,1306788.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,928085.0
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,378703.0
1999M04,Camping,Viajeros,La Rioja,TOTAL,4929.0
1999M04,Camping,Viajeros,La Rioja,Residentes en Espańa,4603.0
1999M04,Camping,Viajeros,La Rioja,No residentes en Espańa,326.0
1999M04,Camping,Viajeros,Espańa,TOTAL,341399.0
1999M04,Camping,Viajeros,Espańa,Residentes en Espańa,273482.0
1999M04,Camping,Viajeros,Espańa,No residentes en Espańa,67917.0
1999M04,Camping,Pernoctaciones,La Rioja,TOTAL,14327.0
1999M04,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,13637.0
1999M04,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,690.0
1999M04,Camping,Pernoctaciones,Espańa,TOTAL,1306788.0
1999M04,Camping,Pernoctaciones,Espańa,Residentes en Espańa,928085.0
1999M04,Camping,Pernoctaciones,Espańa,No residentes en Espańa,378703.0
1999M05,TOTAL,Viajeros,La Rioja,TOTAL,41261.0
1999M05,TOTAL,Viajeros,La Rioja,Residentes en Espańa,31637.0
1999M05,TOTAL,Viajeros,La Rioja,No residentes en Espańa,9624.0
1999M05,TOTAL,Viajeros,Espańa,TOTAL,6045124.0
1999M05,TOTAL,Viajeros,Espańa,Residentes en Espańa,2922654.0
1999M05,TOTAL,Viajeros,Espańa,No residentes en Espańa,3122470.0
1999M05,TOTAL,Pernoctaciones,La Rioja,TOTAL,69177.0
1999M05,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,55879.0
1999M05,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,13298.0
1999M05,TOTAL,Pernoctaciones,Espańa,TOTAL,23071583.0
1999M05,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,6870745.0
1999M05,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,16200838.0
1999M05,HOTELES,Viajeros,La Rioja,TOTAL,37023.0
1999M05,HOTELES,Viajeros,La Rioja,Residentes en Espańa,28112.0
1999M05,HOTELES,Viajeros,La Rioja,No residentes en Espańa,8911.0
1999M05,HOTELES,Viajeros,Espańa,TOTAL,5724555.0
1999M05,HOTELES,Viajeros,Espańa,Residentes en Espańa,2708247.0
1999M05,HOTELES,Viajeros,Espańa,No residentes en Espańa,3016308.0
1999M05,HOTELES,Pernoctaciones,La Rioja,TOTAL,60998.0
1999M05,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,49046.0
1999M05,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,11952.0
1999M05,HOTELES,Pernoctaciones,Espańa,TOTAL,21966528.0
1999M05,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,6283940.0
1999M05,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,15682588.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,4238.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,3525.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,713.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,320569.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,214407.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,106162.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,8179.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,6833.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,1346.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,1105055.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,586805.0
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,518250.0
1999M05,Camping,Viajeros,La Rioja,TOTAL,4238.0
1999M05,Camping,Viajeros,La Rioja,Residentes en Espańa,3525.0
1999M05,Camping,Viajeros,La Rioja,No residentes en Espańa,713.0
1999M05,Camping,Viajeros,Espańa,TOTAL,320569.0
1999M05,Camping,Viajeros,Espańa,Residentes en Espańa,214407.0
1999M05,Camping,Viajeros,Espańa,No residentes en Espańa,106162.0
1999M05,Camping,Pernoctaciones,La Rioja,TOTAL,8179.0
1999M05,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,6833.0
1999M05,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,1346.0
1999M05,Camping,Pernoctaciones,Espańa,TOTAL,1105055.0
1999M05,Camping,Pernoctaciones,Espańa,Residentes en Espańa,586805.0
1999M05,Camping,Pernoctaciones,Espańa,No residentes en Espańa,518250.0
1999M06,TOTAL,Viajeros,La Rioja,TOTAL,41924.0
1999M06,TOTAL,Viajeros,La Rioja,Residentes en Espańa,33098.0
1999M06,TOTAL,Viajeros,La Rioja,No residentes en Espańa,8826.0
1999M06,TOTAL,Viajeros,Espańa,TOTAL,6351192.0
1999M06,TOTAL,Viajeros,Espańa,Residentes en Espańa,3176329.0
1999M06,TOTAL,Viajeros,Espańa,No residentes en Espańa,3174863.0
1999M06,TOTAL,Pernoctaciones,La Rioja,TOTAL,72126.0
1999M06,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,59625.0
1999M06,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,12501.0
1999M06,TOTAL,Pernoctaciones,Espańa,TOTAL,26422577.0
1999M06,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,8087492.0
1999M06,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,18335085.0
1999M06,HOTELES,Viajeros,La Rioja,TOTAL,34866.0
1999M06,HOTELES,Viajeros,La Rioja,Residentes en Espańa,27394.0
1999M06,HOTELES,Viajeros,La Rioja,No residentes en Espańa,7472.0
1999M06,HOTELES,Viajeros,Espańa,TOTAL,5834331.0
1999M06,HOTELES,Viajeros,Espańa,Residentes en Espańa,2829189.0
1999M06,HOTELES,Viajeros,Espańa,No residentes en Espańa,3005142.0
1999M06,HOTELES,Pernoctaciones,La Rioja,TOTAL,59659.0
1999M06,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,49421.0
1999M06,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,10238.0
