Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA,Fecha
1999M03,Camping,Pernoctaciones,Espańa,Residentes en Espańa,332223,1999-03-01
1999M03,Camping,Pernoctaciones,Espańa,No residentes en Espańa,346696,1999-03-01
1999M04,TOTAL,Viajeros,La Rioja,TOTAL,36507,1999-04-01
1999M04,TOTAL,Viajeros,La Rioja,Residentes en Espańa,30740,1999-04-01
1999M04,TOTAL,Viajeros,La Rioja,No residentes en Espańa,5767,1999-04-01
1999M04,TOTAL,Viajeros,Espańa,TOTAL,5272784,1999-04-01
1999M04,TOTAL,Viajeros,Espańa,Residentes en Espańa,3011636,1999-04-01
1999M04,TOTAL,Viajeros,Espańa,No residentes en Espańa,2261148,1999-04-01
1999M04,TOTAL,Pernoctaciones,La Rioja,TOTAL,71752,1999-04-01
1999M04,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,63145,1999-04-01
1999M04,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,8607,1999-04-01
1999M04,TOTAL,Pernoctaciones,Espańa,TOTAL,18779586,1999-04-01
1999M04,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,8050058,1999-04-01
1999M04,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,10729528,1999-04-01
1999M04,HOTELES,Viajeros,La Rioja,TOTAL,31578,1999-04-01
1999M04,HOTELES,Viajeros,La Rioja,Residentes en Espańa,26137,1999-04-01
1999M04,HOTELES,Viajeros,La Rioja,No residentes en Espańa,5441,1999-04-01
1999M04,HOTELES,Viajeros,Espańa,TOTAL,4931385,1999-04-01
1999M04,HOTELES,Viajeros,Espańa,Residentes en Espańa,2738154,1999-04-01
1999M04,HOTELES,Viajeros,Espańa,No residentes en Espańa,2193231,1999-04-01
1999M04,HOTELES,Pernoctaciones,La Rioja,TOTAL,57425,1999-04-01
1999M04,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,49508,1999-04-01
1999M04,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,7917,1999-04-01
1999M04,HOTELES,Pernoctaciones,Espańa,TOTAL,17472798,1999-04-01
1999M04,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,7121973,1999-04-01
1999M04,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,10350825,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,4929,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,4603,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,326,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,341399,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,273482,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,67917,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,14327,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,13637,1999-04-01
