Periodo,Tipo de establecimiento,CCAA,DATA,Fecha
2002M04,Turismo Rural,Espańa,24.60,2002-04-01
2002M04,Apartamentos,La Rioja,1.60,2002-04-01
2002M04,Apartamentos,Espańa,83.20,2002-04-01
2002M05,Hoteles,La Rioja,17.40,2002-05-01
2002M05,Hoteles,Espańa,3.60,2002-05-01
2002M05,Camping,La Rioja,18.30,2002-05-01
2002M05,Camping,Espańa,36.40,2002-05-01
2002M05,Turismo Rural,La Rioja,25.40,2002-05-01
2002M05,Turismo Rural,Espańa,24.60,2002-05-01
2002M05,Apartamentos,La Rioja,24.90,2002-05-01
2002M05,Apartamentos,Espańa,88.10,2002-05-01
2002M06,Hoteles,La Rioja,18.40,2002-06-01
2002M06,Hoteles,Espańa,39.80,2002-06-01
2002M06,Camping,La Rioja,19.80,2002-06-01
2002M06,Camping,Espańa,37.30,2002-06-01
2002M06,Turismo Rural,La Rioja,19.70,2002-06-01
2002M06,Turismo Rural,Espańa,24.90,2002-06-01
2002M06,Apartamentos,La Rioja,17.90,2002-06-01
2002M06,Apartamentos,Espańa,89.10,2002-06-01
2002M07,Hoteles,La Rioja,1.80,2002-07-01
2002M07,Hoteles,Espańa,43.20,2002-07-01
2002M07,Camping,La Rioja,42.40,2002-07-01
2002M07,Camping,Espańa,53.10,2002-07-01
2002M07,Turismo Rural,La Rioja,23.40,2002-07-01
2002M07,Turismo Rural,Espańa,36.10,2002-07-01
2002M07,Apartamentos,La Rioja,48.10,2002-07-01
2002M07,Apartamentos,Espańa,104.60,2002-07-01
2002M08,Hoteles,La Rioja,19.30,2002-08-01
2002M08,Hoteles,Espańa,43.50,2002-08-01
2002M08,Camping,La Rioja,67.90,2002-08-01
2002M08,Camping,Espańa,62.10,2002-08-01
2002M08,Turismo Rural,La Rioja,37.20,2002-08-01
2002M08,Turismo Rural,Espańa,47.70,2002-08-01
2002M08,Apartamentos,La Rioja,64.60,2002-08-01
2002M08,Apartamentos,Espańa,102.50,2002-08-01
2002M09,Hoteles,La Rioja,17.80,2002-09-01
2002M09,Hoteles,Espańa,40.90,2002-09-01
2002M09,Camping,La Rioja,2.50,2002-09-01
2002M09,Camping,Espańa,48.80,2002-09-01
2002M09,Turismo Rural,La Rioja,23.10,2002-09-01
2002M09,Turismo Rural,Espańa,0.30,2002-09-01
2002M09,Apartamentos,La Rioja,29.90,2002-09-01
2002M09,Apartamentos,Espańa,96.50,2002-09-01
2002M10,Hoteles,La Rioja,1.80,2002-10-01
2002M10,Hoteles,Espańa,36.20,2002-10-01
2002M10,Camping,La Rioja,20.40,2002-10-01
2002M10,Camping,Espańa,41.50,2002-10-01
2002M10,Turismo Rural,La Rioja,19.70,2002-10-01
2002M10,Turismo Rural,Espańa,22.50,2002-10-01
2002M10,Apartamentos,La Rioja,19.10,2002-10-01
2002M10,Apartamentos,Espańa,88.90,2002-10-01
2002M11,Hoteles,La Rioja,18.60,2002-11-01
2002M11,Hoteles,Espańa,31.10,2002-11-01
2002M11,Camping,La Rioja,20.70,2002-11-01
2002M11,Camping,Espańa,55.50,2002-11-01
2002M11,Turismo Rural,La Rioja,21.60,2002-11-01
2002M11,Turismo Rural,Espańa,22.60,2002-11-01
2002M11,Apartamentos,La Rioja,21.20,2002-11-01
2002M11,Apartamentos,Espańa,85.10,2002-11-01
2002M12,Hoteles,La Rioja,19.30,2002-12-01
2002M12,Hoteles,Espańa,30.30,2002-12-01
2002M12,Camping,La Rioja,21.10,2002-12-01
2002M12,Camping,Espańa,67.20,2002-12-01
2002M12,Turismo Rural,La Rioja,21.60,2002-12-01
2002M12,Turismo Rural,Espańa,22.60,2002-12-01
2002M12,Apartamentos,La Rioja,29.30,2002-12-01
2002M12,Apartamentos,Espańa,82.70,2002-12-01
2003M01,Hoteles,La Rioja,17.40,2003-01-01
2003M01,Hoteles,Espańa,3.40,2003-01-01
2003M01,Camping,La Rioja,20.50,2003-01-01
2003M01,Camping,Espańa,70.90,2003-01-01
2003M01,Turismo Rural,La Rioja,2.50,2003-01-01
2003M01,Turismo Rural,Espańa,26.20,2003-01-01
2003M01,Apartamentos,La Rioja,27.80,2003-01-01
2003M01,Apartamentos,Espańa,91.60,2003-01-01
2003M02,Hoteles,La Rioja,1.90,2003-02-01
2003M02,Hoteles,Espańa,32.10,2003-02-01
2003M02,Camping,La Rioja,21.50,2003-02-01
2003M02,Camping,Espańa,64.80,2003-02-01
2003M02,Turismo Rural,La Rioja,16.10,2003-02-01
2003M02,Turismo Rural,Espańa,19.80,2003-02-01
2003M02,Apartamentos,La Rioja,17.10,2003-02-01
2003M02,Apartamentos,Espańa,83.60,2003-02-01
2003M03,Hoteles,La Rioja,17.60,2003-03-01
2003M03,Hoteles,Espańa,32.60,2003-03-01
2003M03,Camping,La Rioja,20.50,2003-03-01
2003M03,Camping,Espańa,51.70,2003-03-01
2003M03,Turismo Rural,La Rioja,15.30,2003-03-01
2003M03,Turismo Rural,Espańa,22.90,2003-03-01
2003M03,Apartamentos,La Rioja,16.70,2003-03-01
2003M03,Apartamentos,Espańa,85.60,2003-03-01
2003M04,Hoteles,La Rioja,18.40,2003-04-01
2003M04,Hoteles,Espańa,32.30,2003-04-01
2003M04,Camping,La Rioja,30.20,2003-04-01
2003M04,Camping,Espańa,34.80,2003-04-01
2003M04,Turismo Rural,La Rioja,23.90,2003-04-01
2003M04,Turismo Rural,Espańa,29.90,2003-04-01
2003M04,Apartamentos,La Rioja,27.40,2003-04-01
2003M04,Apartamentos,Espańa,77.30,2003-04-01
2003M05,Hoteles,La Rioja,18.40,2003-05-01
2003M05,Hoteles,Espańa,35.10,2003-05-01
2003M05,Camping,La Rioja,23.80,2003-05-01
2003M05,Camping,Espańa,33.40,2003-05-01
2003M05,Turismo Rural,La Rioja,30.20,2003-05-01
2003M05,Turismo Rural,Espańa,28.10,2003-05-01
2003M05,Apartamentos,La Rioja,1.70,2003-05-01
2003M05,Apartamentos,Espańa,79.30,2003-05-01
2003M06,Hoteles,La Rioja,17.60,2003-06-01
2003M06,Hoteles,Espańa,38.30,2003-06-01
2003M06,Camping,La Rioja,22.60,2003-06-01
2003M06,Camping,Espańa,35.20,2003-06-01
2003M06,Turismo Rural,La Rioja,18.80,2003-06-01
2003M06,Turismo Rural,Espańa,25.50,2003-06-01
2003M06,Apartamentos,La Rioja,24.10,2003-06-01
2003M06,Apartamentos,Espańa,86.50,2003-06-01
2003M07,Hoteles,La Rioja,19.60,2003-07-01
2003M07,Hoteles,Espańa,4.20,2003-07-01
2003M07,Camping,La Rioja,32.90,2003-07-01
2003M07,Camping,Espańa,45.60,2003-07-01
2003M07,Turismo Rural,La Rioja,22.80,2003-07-01
2003M07,Turismo Rural,Espańa,35.50,2003-07-01
2003M07,Apartamentos,La Rioja,28.90,2003-07-01
2003M07,Apartamentos,Espańa,99.50,2003-07-01
2003M08,Hoteles,La Rioja,19.20,2003-08-01
2003M08,Hoteles,Espańa,4.40,2003-08-01
2003M08,Camping,La Rioja,42.90,2003-08-01
2003M08,Camping,Espańa,47.80,2003-08-01
2003M08,Turismo Rural,La Rioja,42.60,2003-08-01
2003M08,Turismo Rural,Espańa,50.30,2003-08-01
2003M08,Apartamentos,La Rioja,48.30,2003-08-01
2003M08,Apartamentos,Espańa,99.30,2003-08-01
2003M09,Hoteles,La Rioja,18.50,2003-09-01
2003M09,Hoteles,Espańa,39.80,2003-09-01
2003M09,Camping,La Rioja,27.20,2003-09-01
2003M09,Camping,Espańa,40.10,2003-09-01
2003M09,Turismo Rural,La Rioja,21.60,2003-09-01
2003M09,Turismo Rural,Espańa,30.40,2003-09-01
2003M09,Apartamentos,La Rioja,26.20,2003-09-01
2003M09,Apartamentos,Espańa,91.30,2003-09-01
2003M10,Hoteles,La Rioja,1.80,2003-10-01
2003M10,Hoteles,Espańa,35.50,2003-10-01
2003M10,Camping,La Rioja,24.70,2003-10-01
2003M10,Camping,Espańa,43.40,2003-10-01
2003M10,Turismo Rural,La Rioja,21.20,2003-10-01
2003M10,Turismo Rural,Espańa,2.40,2003-10-01
2003M10,Apartamentos,La Rioja,25.10,2003-10-01
2003M10,Apartamentos,Espańa,85.70,2003-10-01
2003M11,Hoteles,La Rioja,18.70,2003-11-01
2003M11,Hoteles,Espańa,0.30,2003-11-01
2003M11,Camping,La Rioja,28.80,2003-11-01
2003M11,Camping,Espańa,55.90,2003-11-01
2003M11,Turismo Rural,La Rioja,17.60,2003-11-01
2003M11,Turismo Rural,Espańa,22.70,2003-11-01
2003M11,Apartamentos,La Rioja,20.50,2003-11-01
2003M11,Apartamentos,Espańa,84.70,2003-11-01
2003M12,Hoteles,La Rioja,18.30,2003-12-01
2003M12,Hoteles,Espańa,29.10,2003-12-01
2003M12,Camping,La Rioja,2.90,2003-12-01
2003M12,Camping,Espańa,65.30,2003-12-01
2003M12,Turismo Rural,La Rioja,23.60,2003-12-01
2003M12,Turismo Rural,Espańa,26.50,2003-12-01
2003M12,Apartamentos,La Rioja,25.60,2003-12-01
2003M12,Apartamentos,Espańa,8.60,2003-12-01
2004M01,Hoteles,La Rioja,18.20,2004-01-01
2004M01,Hoteles,Espańa,3.30,2004-01-01
2004M01,Camping,La Rioja,25.70,2004-01-01
2004M01,Camping,Espańa,69.60,2004-01-01
2004M01,Turismo Rural,La Rioja,22.50,2004-01-01
2004M01,Turismo Rural,Espańa,29.30,2004-01-01
2004M01,Apartamentos,La Rioja,26.50,2004-01-01
2004M01,Apartamentos,Espańa,0.90,2004-01-01
2004M02,Hoteles,La Rioja,19.20,2004-02-01
2004M02,Hoteles,Espańa,30.90,2004-02-01
2004M02,Camping,La Rioja,25.60,2004-02-01
2004M02,Camping,Espańa,68.80,2004-02-01
2004M02,Turismo Rural,La Rioja,20.10,2004-02-01
2004M02,Turismo Rural,Espańa,22.60,2004-02-01
2004M02,Apartamentos,La Rioja,21.10,2004-02-01
2004M02,Apartamentos,Espańa,83.70,2004-02-01
2004M03,Hoteles,La Rioja,18.10,2004-03-01
2004M03,Hoteles,Espańa,31.10,2004-03-01
2004M03,Camping,La Rioja,2.70,2004-03-01
2004M03,Camping,Espańa,5.30,2004-03-01
2004M03,Turismo Rural,La Rioja,20.50,2004-03-01
2004M03,Turismo Rural,Espańa,24.40,2004-03-01
2004M03,Apartamentos,La Rioja,23.20,2004-03-01
2004M03,Apartamentos,Espańa,85.90,2004-03-01
2004M04,Hoteles,La Rioja,19.90,2004-04-01
2004M04,Hoteles,Espańa,31.40,2004-04-01
2004M04,Camping,La Rioja,32.40,2004-04-01
2004M04,Camping,Espańa,35.60,2004-04-01
2004M04,Turismo Rural,La Rioja,29.80,2004-04-01
2004M04,Turismo Rural,Espańa,2.90,2004-04-01
2004M04,Apartamentos,La Rioja,24.90,2004-04-01
2004M04,Apartamentos,Espańa,7.50,2004-04-01
2004M05,Hoteles,La Rioja,17.20,2004-05-01
2004M05,Hoteles,Espańa,33.20,2004-05-01
2004M05,Camping,La Rioja,24.50,2004-05-01
2004M05,Camping,Espańa,34.60,2004-05-01
2004M05,Turismo Rural,La Rioja,22.50,2004-05-01
2004M05,Turismo Rural,Espańa,24.10,2004-05-01
2004M05,Apartamentos,La Rioja,16.10,2004-05-01
2004M05,Apartamentos,Espańa,76.90,2004-05-01
2004M06,Hoteles,La Rioja,17.60,2004-06-01
2004M06,Hoteles,Espańa,36.40,2004-06-01
2004M06,Camping,La Rioja,2.50,2004-06-01
2004M06,Camping,Espańa,36.40,2004-06-01
2004M06,Turismo Rural,La Rioja,23.60,2004-06-01
2004M06,Turismo Rural,Espańa,26.40,2004-06-01
2004M06,Apartamentos,La Rioja,21.10,2004-06-01
2004M06,Apartamentos,Espańa,85.40,2004-06-01
2004M07,Hoteles,La Rioja,18.90,2004-07-01
2004M07,Hoteles,Espańa,40.30,2004-07-01
2004M07,Camping,La Rioja,30.50,2004-07-01
2004M07,Camping,Espańa,46.70,2004-07-01
2004M07,Turismo Rural,La Rioja,22.10,2004-07-01
2004M07,Turismo Rural,Espańa,38.20,2004-07-01
2004M07,Apartamentos,La Rioja,31.70,2004-07-01
2004M07,Apartamentos,Espańa,92.30,2004-07-01
2004M08,Hoteles,La Rioja,19.80,2004-08-01
2004M08,Hoteles,Espańa,42.20,2004-08-01
2004M08,Camping,La Rioja,0.40,2004-08-01
2004M08,Camping,Espańa,49.50,2004-08-01
2004M08,Turismo Rural,La Rioja,39.10,2004-08-01
2004M08,Turismo Rural,Espańa,5.10,2004-08-01
2004M08,Apartamentos,La Rioja,4.30,2004-08-01
2004M08,Apartamentos,Espańa,98.80,2004-08-01
2004M09,Hoteles,La Rioja,18.60,2004-09-01
2004M09,Hoteles,Espańa,38.40,2004-09-01
2004M09,Camping,La Rioja,28.30,2004-09-01
2004M09,Camping,Espańa,40.60,2004-09-01
2004M09,Turismo Rural,La Rioja,21.60,2004-09-01
2004M09,Turismo Rural,Espańa,30.30,2004-09-01
2004M09,Apartamentos,La Rioja,22.50,2004-09-01
2004M09,Apartamentos,Espańa,89.60,2004-09-01
2004M10,Hoteles,La Rioja,18.50,2004-10-01
2004M10,Hoteles,Espańa,3.40,2004-10-01
2004M10,Camping,La Rioja,32.30,2004-10-01
2004M10,Camping,Espańa,41.10,2004-10-01
2004M10,Turismo Rural,La Rioja,2.50,2004-10-01
2004M10,Turismo Rural,Espańa,26.50,2004-10-01
2004M10,Apartamentos,La Rioja,21.90,2004-10-01
2004M10,Apartamentos,Espańa,81.10,2004-10-01
2004M11,Hoteles,La Rioja,1.80,2004-11-01
2004M11,Hoteles,Espańa,29.70,2004-11-01
2004M11,Camping,La Rioja,26.20,2004-11-01
2004M11,Camping,Espańa,55.60,2004-11-01
2004M11,Turismo Rural,La Rioja,20.40,2004-11-01
2004M11,Turismo Rural,Espańa,22.80,2004-11-01
2004M11,Apartamentos,La Rioja,17.40,2004-11-01
2004M11,Apartamentos,Espańa,88.90,2004-11-01
2004M12,Hoteles,La Rioja,18.40,2004-12-01
2004M12,Hoteles,Espańa,29.40,2004-12-01
2004M12,Camping,La Rioja,32.80,2004-12-01
2004M12,Camping,Espańa,68.20,2004-12-01
2004M12,Turismo Rural,La Rioja,30.90,2004-12-01
2004M12,Turismo Rural,Espańa,30.90,2004-12-01
2004M12,Apartamentos,La Rioja,28.50,2004-12-01
2004M12,Apartamentos,Espańa,82.30,2004-12-01
2005M01,Hoteles,La Rioja,19.50,2005-01-01
2005M01,Hoteles,Espańa,3.30,2005-01-01
2005M01,Camping,La Rioja,27.30,2005-01-01
2005M01,Camping,Espańa,78.80,2005-01-01
2005M01,Turismo Rural,La Rioja,19.50,2005-01-01
2005M01,Turismo Rural,Espańa,27.80,2005-01-01
2005M01,Apartamentos,La Rioja,2.10,2005-01-01
2005M01,Apartamentos,Espańa,92.50,2005-01-01
2005M02,Hoteles,La Rioja,17.10,2005-02-01
2005M02,Hoteles,Espańa,30.70,2005-02-01
2005M02,Camping,La Rioja,23.60,2005-02-01
2005M02,Camping,Espańa,7.30,2005-02-01
2005M02,Turismo Rural,La Rioja,20.20,2005-02-01
2005M02,Turismo Rural,Espańa,2.50,2005-02-01
