Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,Cuatro estrellas,Habitaciones,2022,1205
LA RIOJA,Cuatro estrellas,Habitaciones,2023,1049
LA RIOJA,Cuatro estrellas,Habitaciones,2024,1069
LA RIOJA,Cuatro estrellas,Establecimientos,2009,12
LA RIOJA,Cuatro estrellas,Establecimientos,2010,10
LA RIOJA,Cuatro estrellas,Establecimientos,2011,10
LA RIOJA,Cuatro estrellas,Establecimientos,2012,12
LA RIOJA,Cuatro estrellas,Establecimientos,2013,13
LA RIOJA,Cuatro estrellas,Establecimientos,2014,12
LA RIOJA,Cuatro estrellas,Establecimientos,2015,14
LA RIOJA,Cuatro estrellas,Establecimientos,2016,14
LA RIOJA,Cuatro estrellas,Establecimientos,2017,14
LA RIOJA,Cuatro estrellas,Establecimientos,2018,16
LA RIOJA,Cuatro estrellas,Establecimientos,2019,18
LA RIOJA,Cuatro estrellas,Establecimientos,2020,18
LA RIOJA,Cuatro estrellas,Establecimientos,2021,19
LA RIOJA,Cuatro estrellas,Establecimientos,2022,21
LA RIOJA,Cuatro estrellas,Establecimientos,2023,19
LA RIOJA,Cuatro estrellas,Establecimientos,2024,20
LA RIOJA,Cinco estrellas,Plazas,2009,20
LA RIOJA,Cinco estrellas,Plazas,2010,
LA RIOJA,Cinco estrellas,Plazas,2011,
LA RIOJA,Cinco estrellas,Plazas,2012,
LA RIOJA,Cinco estrellas,Plazas,2013,
LA RIOJA,Cinco estrellas,Plazas,2014,
LA RIOJA,Cinco estrellas,Plazas,2015,
LA RIOJA,Cinco estrellas,Plazas,2016,
LA RIOJA,Cinco estrellas,Plazas,2017,
LA RIOJA,Cinco estrellas,Plazas,2018,
LA RIOJA,Cinco estrellas,Plazas,2019,
LA RIOJA,Cinco estrellas,Plazas,2020,
LA RIOJA,Cinco estrellas,Plazas,2021,
LA RIOJA,Cinco estrellas,Plazas,2022,82
LA RIOJA,Cinco estrellas,Plazas,2023,82
LA RIOJA,Cinco estrellas,Plazas,2024,82
LA RIOJA,Cinco estrellas,Habitaciones,2009,10
LA RIOJA,Cinco estrellas,Habitaciones,2010,
LA RIOJA,Cinco estrellas,Habitaciones,2011,
LA RIOJA,Cinco estrellas,Habitaciones,2012,
LA RIOJA,Cinco estrellas,Habitaciones,2013,
LA RIOJA,Cinco estrellas,Habitaciones,2014,
LA RIOJA,Cinco estrellas,Habitaciones,2015,
LA RIOJA,Cinco estrellas,Habitaciones,2016,
LA RIOJA,Cinco estrellas,Habitaciones,2017,
LA RIOJA,Cinco estrellas,Habitaciones,2018,
LA RIOJA,Cinco estrellas,Habitaciones,2019,
LA RIOJA,Cinco estrellas,Habitaciones,2020,
LA RIOJA,Cinco estrellas,Habitaciones,2021,
LA RIOJA,Cinco estrellas,Habitaciones,2022,41
LA RIOJA,Cinco estrellas,Habitaciones,2023,41
LA RIOJA,Cinco estrellas,Habitaciones,2024,41
LA RIOJA,Cinco estrellas,Establecimientos,2009,1
LA RIOJA,Cinco estrellas,Establecimientos,2010,
LA RIOJA,Cinco estrellas,Establecimientos,2011,
LA RIOJA,Cinco estrellas,Establecimientos,2012,
LA RIOJA,Cinco estrellas,Establecimientos,2013,
LA RIOJA,Cinco estrellas,Establecimientos,2014,
LA RIOJA,Cinco estrellas,Establecimientos,2015,
LA RIOJA,Cinco estrellas,Establecimientos,2016,
LA RIOJA,Cinco estrellas,Establecimientos,2017,
LA RIOJA,Cinco estrellas,Establecimientos,2018,
LA RIOJA,Cinco estrellas,Establecimientos,2019,
LA RIOJA,Cinco estrellas,Establecimientos,2020,
LA RIOJA,Cinco estrellas,Establecimientos,2021,
LA RIOJA,Cinco estrellas,Establecimientos,2022,1
LA RIOJA,Cinco estrellas,Establecimientos,2023,1
LA RIOJA,Cinco estrellas,Establecimientos,2024,1
Ábalos,TOTAL,Plazas,2009,35
Ábalos,TOTAL,Plazas,2010,35
Ábalos,TOTAL,Plazas,2011,35
Ábalos,TOTAL,Plazas,2012,35
Ábalos,TOTAL,Plazas,2013,35
Ábalos,TOTAL,Plazas,2014,35
Ábalos,TOTAL,Plazas,2015,35
Ábalos,TOTAL,Plazas,2016,35
Ábalos,TOTAL,Plazas,2017,35
Ábalos,TOTAL,Plazas,2018,35
Ábalos,TOTAL,Plazas,2019,35
Ábalos,TOTAL,Plazas,2020,35
Ábalos,TOTAL,Plazas,2021,35
Ábalos,TOTAL,Plazas,2022,35
Ábalos,TOTAL,Plazas,2023,35
Ábalos,TOTAL,Plazas,2024,35
Ábalos,TOTAL,Habitaciones,2009,18
Ábalos,TOTAL,Habitaciones,2010,18
Ábalos,TOTAL,Habitaciones,2011,18
Ábalos,TOTAL,Habitaciones,2012,18
Ábalos,TOTAL,Habitaciones,2013,18
Ábalos,TOTAL,Habitaciones,2014,18
Ábalos,TOTAL,Habitaciones,2015,18
Ábalos,TOTAL,Habitaciones,2016,18
Ábalos,TOTAL,Habitaciones,2017,18
Ábalos,TOTAL,Habitaciones,2018,18
Ábalos,TOTAL,Habitaciones,2019,18
Ábalos,TOTAL,Habitaciones,2020,18
Ábalos,TOTAL,Habitaciones,2021,18
Ábalos,TOTAL,Habitaciones,2022,18
Ábalos,TOTAL,Habitaciones,2023,18
Ábalos,TOTAL,Habitaciones,2024,18
Ábalos,TOTAL,Establecimientos,2009,2
Ábalos,TOTAL,Establecimientos,2010,2
Ábalos,TOTAL,Establecimientos,2011,2
Ábalos,TOTAL,Establecimientos,2012,2
Ábalos,TOTAL,Establecimientos,2013,2
Ábalos,TOTAL,Establecimientos,2014,2
Ábalos,TOTAL,Establecimientos,2015,2
Ábalos,TOTAL,Establecimientos,2016,2
Ábalos,TOTAL,Establecimientos,2017,2
Ábalos,TOTAL,Establecimientos,2018,2
Ábalos,TOTAL,Establecimientos,2019,2
Ábalos,TOTAL,Establecimientos,2020,2
Ábalos,TOTAL,Establecimientos,2021,2
Ábalos,TOTAL,Establecimientos,2022,2
Ábalos,TOTAL,Establecimientos,2023,2
Ábalos,TOTAL,Establecimientos,2024,2
Ábalos,Una estrella,Plazas,2009,
Ábalos,Una estrella,Plazas,2010,
Ábalos,Una estrella,Plazas,2011,
Ábalos,Una estrella,Plazas,2012,
Ábalos,Una estrella,Plazas,2013,
Ábalos,Una estrella,Plazas,2014,
Ábalos,Una estrella,Plazas,2015,
Ábalos,Una estrella,Plazas,2016,
Ábalos,Una estrella,Plazas,2017,
Ábalos,Una estrella,Plazas,2018,
Ábalos,Una estrella,Plazas,2019,
Ábalos,Una estrella,Plazas,2020,
Ábalos,Una estrella,Plazas,2021,
Ábalos,Una estrella,Plazas,2022,
Ábalos,Una estrella,Plazas,2023,
Ábalos,Una estrella,Plazas,2024,
Ábalos,Una estrella,Habitaciones,2009,
Ábalos,Una estrella,Habitaciones,2010,
Ábalos,Una estrella,Habitaciones,2011,
Ábalos,Una estrella,Habitaciones,2012,
Ábalos,Una estrella,Habitaciones,2013,
Ábalos,Una estrella,Habitaciones,2014,
Ábalos,Una estrella,Habitaciones,2015,
Ábalos,Una estrella,Habitaciones,2016,
Ábalos,Una estrella,Habitaciones,2017,
Ábalos,Una estrella,Habitaciones,2018,
Ábalos,Una estrella,Habitaciones,2019,
Ábalos,Una estrella,Habitaciones,2020,
Ábalos,Una estrella,Habitaciones,2021,
Ábalos,Una estrella,Habitaciones,2022,
Ábalos,Una estrella,Habitaciones,2023,
Ábalos,Una estrella,Habitaciones,2024,
Ábalos,Una estrella,Establecimientos,2009,
Ábalos,Una estrella,Establecimientos,2010,
Ábalos,Una estrella,Establecimientos,2011,
Ábalos,Una estrella,Establecimientos,2012,
Ábalos,Una estrella,Establecimientos,2013,
Ábalos,Una estrella,Establecimientos,2014,
Ábalos,Una estrella,Establecimientos,2015,
Ábalos,Una estrella,Establecimientos,2016,
Ábalos,Una estrella,Establecimientos,2017,
Ábalos,Una estrella,Establecimientos,2018,
Ábalos,Una estrella,Establecimientos,2019,
Ábalos,Una estrella,Establecimientos,2020,
Ábalos,Una estrella,Establecimientos,2021,
Ábalos,Una estrella,Establecimientos,2022,
Ábalos,Una estrella,Establecimientos,2023,
Ábalos,Una estrella,Establecimientos,2024,
Ábalos,Dos estrellas,Plazas,2009,
Ábalos,Dos estrellas,Plazas,2010,
Ábalos,Dos estrellas,Plazas,2011,
Ábalos,Dos estrellas,Plazas,2012,
Ábalos,Dos estrellas,Plazas,2013,
Ábalos,Dos estrellas,Plazas,2014,
Ábalos,Dos estrellas,Plazas,2015,
Ábalos,Dos estrellas,Plazas,2016,
Ábalos,Dos estrellas,Plazas,2017,
Ábalos,Dos estrellas,Plazas,2018,
Ábalos,Dos estrellas,Plazas,2019,
Ábalos,Dos estrellas,Plazas,2020,
Ábalos,Dos estrellas,Plazas,2021,
Ábalos,Dos estrellas,Plazas,2022,
Ábalos,Dos estrellas,Plazas,2023,
Ábalos,Dos estrellas,Plazas,2024,
Ábalos,Dos estrellas,Habitaciones,2009,
Ábalos,Dos estrellas,Habitaciones,2010,
Ábalos,Dos estrellas,Habitaciones,2011,
Ábalos,Dos estrellas,Habitaciones,2012,
Ábalos,Dos estrellas,Habitaciones,2013,
Ábalos,Dos estrellas,Habitaciones,2014,
Ábalos,Dos estrellas,Habitaciones,2015,
Ábalos,Dos estrellas,Habitaciones,2016,
Ábalos,Dos estrellas,Habitaciones,2017,
Ábalos,Dos estrellas,Habitaciones,2018,
Ábalos,Dos estrellas,Habitaciones,2019,
Ábalos,Dos estrellas,Habitaciones,2020,
Ábalos,Dos estrellas,Habitaciones,2021,
Ábalos,Dos estrellas,Habitaciones,2022,
Ábalos,Dos estrellas,Habitaciones,2023,
Ábalos,Dos estrellas,Habitaciones,2024,
Ábalos,Dos estrellas,Establecimientos,2009,
Ábalos,Dos estrellas,Establecimientos,2010,
Ábalos,Dos estrellas,Establecimientos,2011,
Ábalos,Dos estrellas,Establecimientos,2012,
Ábalos,Dos estrellas,Establecimientos,2013,
Ábalos,Dos estrellas,Establecimientos,2014,
Ábalos,Dos estrellas,Establecimientos,2015,
Ábalos,Dos estrellas,Establecimientos,2016,
Ábalos,Dos estrellas,Establecimientos,2017,
Ábalos,Dos estrellas,Establecimientos,2018,
Ábalos,Dos estrellas,Establecimientos,2019,
Ábalos,Dos estrellas,Establecimientos,2020,
Ábalos,Dos estrellas,Establecimientos,2021,
Ábalos,Dos estrellas,Establecimientos,2022,
Ábalos,Dos estrellas,Establecimientos,2023,
Ábalos,Dos estrellas,Establecimientos,2024,
Ábalos,Tres estrellas,Plazas,2009,35
Ábalos,Tres estrellas,Plazas,2010,35
Ábalos,Tres estrellas,Plazas,2011,35
Ábalos,Tres estrellas,Plazas,2012,35
Ábalos,Tres estrellas,Plazas,2013,35
Ábalos,Tres estrellas,Plazas,2014,35
Ábalos,Tres estrellas,Plazas,2015,35
Ábalos,Tres estrellas,Plazas,2016,35
Ábalos,Tres estrellas,Plazas,2017,35
Ábalos,Tres estrellas,Plazas,2018,35
