Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,Segunda categoría,Plazas,2016,1694
LA RIOJA,Segunda categoría,Plazas,2017,1694
LA RIOJA,Segunda categoría,Plazas,2018,758
LA RIOJA,Segunda categoría,Plazas,2019,752
LA RIOJA,Segunda categoría,Plazas,2020,752
LA RIOJA,Segunda categoría,Plazas,2021,752
LA RIOJA,Segunda categoría,Plazas,2022,752
LA RIOJA,Segunda categoría,Plazas,2023,752
LA RIOJA,Segunda categoría,Establecimientos,2009,2
LA RIOJA,Segunda categoría,Establecimientos,2010,2
LA RIOJA,Segunda categoría,Establecimientos,2011,2
LA RIOJA,Segunda categoría,Establecimientos,2012,2
LA RIOJA,Segunda categoría,Establecimientos,2013,2
LA RIOJA,Segunda categoría,Establecimientos,2014,2
LA RIOJA,Segunda categoría,Establecimientos,2015,3
LA RIOJA,Segunda categoría,Establecimientos,2016,3
LA RIOJA,Segunda categoría,Establecimientos,2017,3
LA RIOJA,Segunda categoría,Establecimientos,2018,2
LA RIOJA,Segunda categoría,Establecimientos,2019,2
LA RIOJA,Segunda categoría,Establecimientos,2020,2
LA RIOJA,Segunda categoría,Establecimientos,2021,2
LA RIOJA,Segunda categoría,Establecimientos,2022,2
LA RIOJA,Segunda categoría,Establecimientos,2023,2
LA RIOJA,Tercera categoría,Plazas,2009,154
LA RIOJA,Tercera categoría,Plazas,2010,154
LA RIOJA,Tercera categoría,Plazas,2011,154
LA RIOJA,Tercera categoría,Plazas,2012,154
LA RIOJA,Tercera categoría,Plazas,2013,154
LA RIOJA,Tercera categoría,Plazas,2014,154
LA RIOJA,Tercera categoría,Plazas,2015,154
LA RIOJA,Tercera categoría,Plazas,2016,154
LA RIOJA,Tercera categoría,Plazas,2017,154
LA RIOJA,Tercera categoría,Plazas,2018,154
LA RIOJA,Tercera categoría,Plazas,2019,92
LA RIOJA,Tercera categoría,Plazas,2020,
LA RIOJA,Tercera categoría,Plazas,2021,
LA RIOJA,Tercera categoría,Plazas,2022,
LA RIOJA,Tercera categoría,Plazas,2023,
LA RIOJA,Tercera categoría,Establecimientos,2009,1
LA RIOJA,Tercera categoría,Establecimientos,2010,1
LA RIOJA,Tercera categoría,Establecimientos,2011,1
LA RIOJA,Tercera categoría,Establecimientos,2012,1
LA RIOJA,Tercera categoría,Establecimientos,2013,1
LA RIOJA,Tercera categoría,Establecimientos,2014,1
LA RIOJA,Tercera categoría,Establecimientos,2015,1
LA RIOJA,Tercera categoría,Establecimientos,2016,1
LA RIOJA,Tercera categoría,Establecimientos,2017,1
LA RIOJA,Tercera categoría,Establecimientos,2018,1
LA RIOJA,Tercera categoría,Establecimientos,2019,1
LA RIOJA,Tercera categoría,Establecimientos,2020,
LA RIOJA,Tercera categoría,Establecimientos,2021,
LA RIOJA,Tercera categoría,Establecimientos,2022,
LA RIOJA,Tercera categoría,Establecimientos,2023,
LA RIOJA,De lujo,Plazas,2009,
LA RIOJA,De lujo,Plazas,2010,
LA RIOJA,De lujo,Plazas,2011,
LA RIOJA,De lujo,Plazas,2012,
LA RIOJA,De lujo,Plazas,2013,
LA RIOJA,De lujo,Plazas,2014,
LA RIOJA,De lujo,Plazas,2015,
LA RIOJA,De lujo,Plazas,2016,
LA RIOJA,De lujo,Plazas,2017,
LA RIOJA,De lujo,Plazas,2018,
LA RIOJA,De lujo,Plazas,2019,
LA RIOJA,De lujo,Plazas,2020,
LA RIOJA,De lujo,Plazas,2021,
LA RIOJA,De lujo,Plazas,2022,
LA RIOJA,De lujo,Plazas,2023,
LA RIOJA,De lujo,Establecimientos,2009,
LA RIOJA,De lujo,Establecimientos,2010,
LA RIOJA,De lujo,Establecimientos,2011,
LA RIOJA,De lujo,Establecimientos,2012,
LA RIOJA,De lujo,Establecimientos,2013,
LA RIOJA,De lujo,Establecimientos,2014,
LA RIOJA,De lujo,Establecimientos,2015,
LA RIOJA,De lujo,Establecimientos,2016,
LA RIOJA,De lujo,Establecimientos,2017,
LA RIOJA,De lujo,Establecimientos,2018,
