Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,Alquiler completo,Plazas,2024,375
LA RIOJA,Alquiler completo,Habitaciones,2009,75
LA RIOJA,Alquiler completo,Habitaciones,2010,83
LA RIOJA,Alquiler completo,Habitaciones,2011,83
LA RIOJA,Alquiler completo,Habitaciones,2012,123
LA RIOJA,Alquiler completo,Habitaciones,2013,142
LA RIOJA,Alquiler completo,Habitaciones,2014,159
LA RIOJA,Alquiler completo,Habitaciones,2015,164
LA RIOJA,Alquiler completo,Habitaciones,2016,178
LA RIOJA,Alquiler completo,Habitaciones,2017,205
LA RIOJA,Alquiler completo,Habitaciones,2018,207
LA RIOJA,Alquiler completo,Habitaciones,2019,212
LA RIOJA,Alquiler completo,Habitaciones,2020,203
LA RIOJA,Alquiler completo,Habitaciones,2021,196
LA RIOJA,Alquiler completo,Habitaciones,2022,227
LA RIOJA,Alquiler completo,Habitaciones,2023,222
LA RIOJA,Alquiler completo,Habitaciones,2024,226
LA RIOJA,Alquiler por habitaciones,Establecimientos,2009,64
LA RIOJA,Alquiler por habitaciones,Establecimientos,2010,62
LA RIOJA,Alquiler por habitaciones,Establecimientos,2011,62
LA RIOJA,Alquiler por habitaciones,Establecimientos,2012,61
LA RIOJA,Alquiler por habitaciones,Establecimientos,2013,57
LA RIOJA,Alquiler por habitaciones,Establecimientos,2014,53
LA RIOJA,Alquiler por habitaciones,Establecimientos,2015,51
LA RIOJA,Alquiler por habitaciones,Establecimientos,2016,48
LA RIOJA,Alquiler por habitaciones,Establecimientos,2017,48
LA RIOJA,Alquiler por habitaciones,Establecimientos,2018,46
LA RIOJA,Alquiler por habitaciones,Establecimientos,2019,44
LA RIOJA,Alquiler por habitaciones,Establecimientos,2020,34
LA RIOJA,Alquiler por habitaciones,Establecimientos,2021,33
LA RIOJA,Alquiler por habitaciones,Establecimientos,2022,32
LA RIOJA,Alquiler por habitaciones,Establecimientos,2023,32
LA RIOJA,Alquiler por habitaciones,Establecimientos,2024,32
LA RIOJA,Alquiler por habitaciones,Plazas,2009,593
LA RIOJA,Alquiler por habitaciones,Plazas,2010,580
LA RIOJA,Alquiler por habitaciones,Plazas,2011,580
LA RIOJA,Alquiler por habitaciones,Plazas,2012,577
LA RIOJA,Alquiler por habitaciones,Plazas,2013,527
LA RIOJA,Alquiler por habitaciones,Plazas,2014,494
