Periodo,Ubicación establecimiento,Grado de ocupación,DATA
2018M04,Resto,Grado de ocupacion por plazas fin de semana,43.07
2018M05,TOTAL,Grado de ocupación por plazas,17.03
2018M05,TOTAL,Grado de ocupacion por plazas fin de semana,48.3
2018M05,Logrońo y Alrededores,Grado de ocupación por plazas,22.28
2018M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,69.97
2018M05,Resto,Grado de ocupación por plazas,16.23
2018M05,Resto,Grado de ocupacion por plazas fin de semana,45.1
2018M06,TOTAL,Grado de ocupación por plazas,20.18
2018M06,TOTAL,Grado de ocupacion por plazas fin de semana,45.02
2018M06,Logrońo y Alrededores,Grado de ocupación por plazas,22.1
2018M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,48.43
2018M06,Resto,Grado de ocupación por plazas,19.79
2018M06,Resto,Grado de ocupacion por plazas fin de semana,44.27
2018M07,TOTAL,Grado de ocupación por plazas,27.82
2018M07,TOTAL,Grado de ocupacion por plazas fin de semana,50.93
2018M07,Logrońo y Alrededores,Grado de ocupación por plazas,24.49
2018M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,46.85
2018M07,Resto,Grado de ocupación por plazas,28.47
2018M07,Resto,Grado de ocupacion por plazas fin de semana,51.78
2018M08,TOTAL,Grado de ocupación por plazas,43.24
2018M08,TOTAL,Grado de ocupacion por plazas fin de semana,54.15
2018M08,Logrońo y Alrededores,Grado de ocupación por plazas,31.92
2018M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,33.06
2018M08,Resto,Grado de ocupación por plazas,45.14
2018M08,Resto,Grado de ocupacion por plazas fin de semana,57.59
2018M09,TOTAL,Grado de ocupación por plazas,21.8
2018M09,TOTAL,Grado de ocupacion por plazas fin de semana,52.19
2018M09,Logrońo y Alrededores,Grado de ocupación por plazas,23.09
2018M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,60.25
2018M09,Resto,Grado de ocupación por plazas,21.59
2018M09,Resto,Grado de ocupacion por plazas fin de semana,50.97
