Grupo actividad sector turístico,Indicador,Periodo,DATA
RESTO DE SECTOR SERVICIOS,Personal ocupado,2012,33281.094
RESTO DE SECTOR SERVICIOS,Personal ocupado,2013,33598.295
RESTO DE SECTOR SERVICIOS,Personal ocupado,2014,35006.935
RESTO DE SECTOR SERVICIOS,Personal remunerado,2008,28525.943
RESTO DE SECTOR SERVICIOS,Personal remunerado,2009,24995.44
RESTO DE SECTOR SERVICIOS,Personal remunerado,2010,25392.962
RESTO DE SECTOR SERVICIOS,Personal remunerado,2011,25717.622
RESTO DE SECTOR SERVICIOS,Personal remunerado,2012,24458.419
RESTO DE SECTOR SERVICIOS,Personal remunerado,2013,24355.891
RESTO DE SECTOR SERVICIOS,Personal remunerado,2014,25942.298
