Grupo actividad sector turístico,Indicador,Periodo,DATA
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2010,7163.51
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2011,10531.335
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2012,6126.046
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2013,5403.968
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2014,4526.381
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2008,55736.178
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2009,47976.278
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2010,38720.621
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2011,23234.181
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2012,14104.865
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2013,18345.702
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2014,16045.049
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2008,20788.603
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2009,18830.177
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2010,23398.923
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2011,32360.496
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2012,22950.525
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2013,26266.133
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2014,24143.145
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gastos de personal,2008,11670.927
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gastos de personal,2009,8641.432
