Grupo actividad sector turístico,Indicador,Periodo,DATA
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de gastos de personal,2020,56.434
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2015,20482.08
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2016,20327.507
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2017,19997.805
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2018,22447.975
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2019,23209.009
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2020,22015.558
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de remunerados,2015,79.705
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de remunerados,2016,77.869
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de remunerados,2017,82.765
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de remunerados,2018,83.443
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de remunerados,2019,85.624
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de remunerados,2020,82.126
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2015,22392.617
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2016,22653.924
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2017,24429.138
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2018,21453.298
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2019,25012.069
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Salario medio,2020,19643.385
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gasto de personal,2015,29038.327
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gasto de personal,2016,28974.056
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gasto de personal,2017,31420.924
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gasto de personal,2018,27590.214
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gasto de personal,2019,32074.953
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gasto de personal,2020,26310.421
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de valor ańadido,2015,55.554
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de valor ańadido,2016,55.819
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de valor ańadido,2017,67.959
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de valor ańadido,2018,57.947
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de valor ańadido,2019,56.752
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de valor ańadido,2020,47.359
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa bruta de explotación,2015,10.197
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa bruta de explotación,2016,9.971
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa bruta de explotación,2017,15.413
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa bruta de explotación,2018,13.543
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa bruta de explotación,2019,18.434
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa bruta de explotación,2020,17.11
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de inversión,2015,9.517
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de inversión,2016,23.896
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de inversión,2017,34.651
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de inversión,2018,54.596
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de inversión,2019,18.555
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de inversión,2020,28.762
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2015,33965.478
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2016,34732.876
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2017,38242.733
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2018,33763.835
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2019,49813.413
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Productividad por persona,2020,31271.435
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de gastos de personal,2015,59.161
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de gastos de personal,2016,60.119
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de gastos de personal,2017,48.433
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de gastos de personal,2018,50.612
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de gastos de personal,2019,45.106
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de gastos de personal,2020,57.25
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2015,4703.211
