Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2014T4,16197.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T1,16243.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T2,16403.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T3,16281.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2015T4,16360.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T1,16312.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T2,16436.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T3,16300.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2016T4,16390.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T1,16286.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T2,16328.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T3,16215.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2017T4,16159.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T1,16251.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T2,16322.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T3,16207.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2018T4,16239.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T1,16193.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T2,16251.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T3,16085.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2019T4,16122.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T1,15861.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T2,15872.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T3,15871.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2020T4,15913.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T1,15953.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T2,15957.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T3,15896.0
TOTAL SECTOR SERVICIOS,REGIMEN ESPECIAL,2021T4,15958.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2011T2,15396.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2011T3,15438.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2011T4,15567.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T1,15532.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T2,15618.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T3,15718.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2012T4,15751.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T1,15692.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T2,20654.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T3,15818.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2013T4,16016.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T1,16061.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T2,16220.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T3,16151.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2014T4,16197.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T1,16243.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T2,16403.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T3,16281.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2015T4,16360.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2016T1,16312.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2016T2,16436.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2016T3,16300.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2016T4,16390.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2017T1,16286.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2017T2,16328.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2017T3,16215.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2017T4,16159.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2018T1,16251.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2018T2,16322.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2018T3,16207.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2018T4,16239.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2019T1,16193.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2019T2,16251.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2019T3,16085.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2019T4,16122.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2020T1,15861.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2020T2,15872.0
