Periodo,Municipio,Indicador,Categoría,DATA
2016-02-01,Haro,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-02-01,Haro,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-02-01,Haro,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-02-01,Haro,Ingreso por habitación disponible (RevPAR),TOTAL,31.43
2016-02-01,Haro,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-02-01,Haro,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-02-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-02-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-02-01,Haro,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),TOTAL,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),TOTAL,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-02-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
