Grupo actividad sector turístico,Indicador,Periodo,DATA
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2014,263.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2015,273.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2016,281.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2017,279.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2018,270.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2019,274.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2020,282.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2021,284.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2008,530.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2009,535.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2010,534.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2011,551.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2012,569.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2013,574.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2014,608.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2015,618.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2016,667.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2017,679.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2018,739.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2019,775.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2020,825.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2021,804.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2008,1901.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2009,1901.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2010,653.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2011,672.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2012,673.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2013,683.0
