Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,Dos llaves,Plazas,2010,94.0
LA RIOJA,Dos llaves,Plazas,2011,94.0
LA RIOJA,Dos llaves,Plazas,2012,121.0
LA RIOJA,Dos llaves,Plazas,2013,121.0
LA RIOJA,Dos llaves,Plazas,2014,139.0
LA RIOJA,Dos llaves,Plazas,2015,137.0
LA RIOJA,Dos llaves,Plazas,2016,137.0
LA RIOJA,Dos llaves,Plazas,2017,138.0
LA RIOJA,Dos llaves,Plazas,2018,82.0
LA RIOJA,Dos llaves,Plazas,2019,153.0
LA RIOJA,Dos llaves,Plazas,2020,153.0
LA RIOJA,Dos llaves,Plazas,2021,219.0
LA RIOJA,Dos llaves,Plazas,2022,219.0
LA RIOJA,Dos llaves,Plazas,2023,435.0
LA RIOJA,Dos llaves,Plazas,2024,435.0
LA RIOJA,Tres llaves,Establecimientos,2009,2.0
LA RIOJA,Tres llaves,Establecimientos,2010,3.0
LA RIOJA,Tres llaves,Establecimientos,2011,3.0
LA RIOJA,Tres llaves,Establecimientos,2012,3.0
LA RIOJA,Tres llaves,Establecimientos,2013,2.0
LA RIOJA,Tres llaves,Establecimientos,2014,1.0
LA RIOJA,Tres llaves,Establecimientos,2015,5.0
LA RIOJA,Tres llaves,Establecimientos,2016,6.0
LA RIOJA,Tres llaves,Establecimientos,2017,7.0
LA RIOJA,Tres llaves,Establecimientos,2018,2.0
LA RIOJA,Tres llaves,Establecimientos,2019,4.0
LA RIOJA,Tres llaves,Establecimientos,2020,6.0
LA RIOJA,Tres llaves,Establecimientos,2021,6.0
LA RIOJA,Tres llaves,Establecimientos,2022,6.0
LA RIOJA,Tres llaves,Establecimientos,2023,7.0
LA RIOJA,Tres llaves,Establecimientos,2024,7.0
LA RIOJA,Tres llaves,Apartamentos,2009,6.0
LA RIOJA,Tres llaves,Apartamentos,2010,12.0
LA RIOJA,Tres llaves,Apartamentos,2011,12.0
LA RIOJA,Tres llaves,Apartamentos,2012,12.0
LA RIOJA,Tres llaves,Apartamentos,2013,6.0
LA RIOJA,Tres llaves,Apartamentos,2014,4.0
LA RIOJA,Tres llaves,Apartamentos,2015,21.0
LA RIOJA,Tres llaves,Apartamentos,2016,22.0
LA RIOJA,Tres llaves,Apartamentos,2017,23.0
LA RIOJA,Tres llaves,Apartamentos,2018,15.0
LA RIOJA,Tres llaves,Apartamentos,2019,4.0
LA RIOJA,Tres llaves,Apartamentos,2020,54.0
LA RIOJA,Tres llaves,Apartamentos,2021,58.0
LA RIOJA,Tres llaves,Apartamentos,2022,58.0
LA RIOJA,Tres llaves,Apartamentos,2023,70.0
LA RIOJA,Tres llaves,Apartamentos,2024,70.0
LA RIOJA,Tres llaves,Plazas,2009,27.0
LA RIOJA,Tres llaves,Plazas,2010,63.0
LA RIOJA,Tres llaves,Plazas,2011,63.0
LA RIOJA,Tres llaves,Plazas,2012,63.0
LA RIOJA,Tres llaves,Plazas,2013,27.0
LA RIOJA,Tres llaves,Plazas,2014,15.0
LA RIOJA,Tres llaves,Plazas,2015,124.0
LA RIOJA,Tres llaves,Plazas,2016,130.0
LA RIOJA,Tres llaves,Plazas,2017,144.0
LA RIOJA,Tres llaves,Plazas,2018,90.0
LA RIOJA,Tres llaves,Plazas,2019,4.0
LA RIOJA,Tres llaves,Plazas,2020,261.0
LA RIOJA,Tres llaves,Plazas,2021,284.0
LA RIOJA,Tres llaves,Plazas,2022,284.0
LA RIOJA,Tres llaves,Plazas,2023,287.0
LA RIOJA,Tres llaves,Plazas,2024,287.0
Ábalos,TOTAL,Establecimientos,2009,4.0
Ábalos,TOTAL,Establecimientos,2010,4.0
Ábalos,TOTAL,Establecimientos,2011,4.0
Ábalos,TOTAL,Establecimientos,2012,4.0
Ábalos,TOTAL,Establecimientos,2013,4.0
Ábalos,TOTAL,Establecimientos,2014,4.0
Ábalos,TOTAL,Establecimientos,2015,4.0
Ábalos,TOTAL,Establecimientos,2016,4.0
Ábalos,TOTAL,Establecimientos,2017,4.0
Ábalos,TOTAL,Establecimientos,2018,4.0
