Grupo actividad sector turístico,Indicador,Periodo,DATA
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Cifra de negocio,2014,102104.654
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2008,120998.481
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2009,150710.267
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2010,144030.549
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2011,167599.267
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2012,124854.243
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2013,145389.824
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2014,100391.116
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB a precios básicos,2008,56996.25
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB a precios básicos,2009,70407.654
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB a precios básicos,2010,68179.725
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB a precios básicos,2011,71023.168
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB a precios básicos,2012,74972.384
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB a precios básicos,2013,69459.251
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB a precios básicos,2014,59851.855
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2008,59296.403
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2009,73476.754
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2010,71435.135
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2011,78557.896
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2012,81677.749
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2013,77124.674
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2014,68284.26
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Excedente bruto de explotación (miles de euros),2008,19786.648
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Excedente bruto de explotación (miles de euros),2009,11877.842
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Excedente bruto de explotación (miles de euros),2010,11254.774
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Excedente bruto de explotación (miles de euros),2011,133.942
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Excedente bruto de explotación (miles de euros),2012,450.631
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Excedente bruto de explotación (miles de euros),2013,1776.869
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Excedente bruto de explotación (miles de euros),2014,3042.139
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Cifra de negocio,2008,108866.093
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Cifra de negocio,2009,85951.26
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Cifra de negocio,2010,75367.688
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Cifra de negocio,2011,68920.591
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Cifra de negocio,2012,58243.273
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Cifra de negocio,2013,45860.632
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Cifra de negocio,2014,36025.951
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Producción a precios básicos,2008,81087.617
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Producción a precios básicos,2009,40421.352
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Producción a precios básicos,2010,38970.444
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Producción a precios básicos,2011,30753.13
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Producción a precios básicos,2012,26971.813
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Producción a precios básicos,2013,21853.151
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Producción a precios básicos,2014,24737.712
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB a precios básicos,2008,31632.622
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB a precios básicos,2009,20747.917
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB a precios básicos,2010,15596.666
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB a precios básicos,2011,9720.74
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB a precios básicos,2012,5109.727
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB a precios básicos,2013,5271.032
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB a precios básicos,2014,4064.612
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB cifra de negocio,2008,31457.579
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB cifra de negocio,2009,20519.274
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB cifra de negocio,2010,20466.262
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB cifra de negocio,2011,13812.031
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB cifra de negocio,2012,8491.332
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB cifra de negocio,2013,8922.924
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",VAB cifra de negocio,2014,8993.006
RESTO DE SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2008,613328.065
RESTO DE SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2009,480519.934
RESTO DE SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2010,514869.108
RESTO DE SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2011,465208.063
RESTO DE SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2012,391061.819
RESTO DE SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2013,392861.533
RESTO DE SECTOR SERVICIOS,Excedente bruto de explotación (miles de euros),2014,443049.652
RESTO DE SECTOR SERVICIOS,Cifra de negocio,2008,5248577.13
RESTO DE SECTOR SERVICIOS,Cifra de negocio,2009,4459591.032
RESTO DE SECTOR SERVICIOS,Cifra de negocio,2010,4529040.489
RESTO DE SECTOR SERVICIOS,Cifra de negocio,2011,4321701.424
RESTO DE SECTOR SERVICIOS,Cifra de negocio,2012,4007177.564
RESTO DE SECTOR SERVICIOS,Cifra de negocio,2013,4053850.806
RESTO DE SECTOR SERVICIOS,Cifra de negocio,2014,4227485.272
RESTO DE SECTOR SERVICIOS,Producción a precios básicos,2008,2293288.171
RESTO DE SECTOR SERVICIOS,Producción a precios básicos,2009,1959705.217
RESTO DE SECTOR SERVICIOS,Producción a precios básicos,2010,2039371.271
RESTO DE SECTOR SERVICIOS,Producción a precios básicos,2011,1982863.274
RESTO DE SECTOR SERVICIOS,Producción a precios básicos,2012,1836209.184
RESTO DE SECTOR SERVICIOS,Producción a precios básicos,2013,1834164.658
RESTO DE SECTOR SERVICIOS,Producción a precios básicos,2014,1917035.603
RESTO DE SECTOR SERVICIOS,VAB a precios básicos,2008,1308171.697
RESTO DE SECTOR SERVICIOS,VAB a precios básicos,2009,1111612.637
RESTO DE SECTOR SERVICIOS,VAB a precios básicos,2010,1164474.832
RESTO DE SECTOR SERVICIOS,VAB a precios básicos,2011,1133925.478
RESTO DE SECTOR SERVICIOS,VAB a precios básicos,2012,1033406.99
RESTO DE SECTOR SERVICIOS,VAB a precios básicos,2013,1007021.914
RESTO DE SECTOR SERVICIOS,VAB a precios básicos,2014,1065721.381
RESTO DE SECTOR SERVICIOS,VAB cifra de negocio,2008,1324727.252
RESTO DE SECTOR SERVICIOS,VAB cifra de negocio,2009,1134123.903
RESTO DE SECTOR SERVICIOS,VAB cifra de negocio,2010,1167728.689
RESTO DE SECTOR SERVICIOS,VAB cifra de negocio,2011,1136335.933
RESTO DE SECTOR SERVICIOS,VAB cifra de negocio,2012,1035207.781
RESTO DE SECTOR SERVICIOS,VAB cifra de negocio,2013,1023487.133
RESTO DE SECTOR SERVICIOS,VAB cifra de negocio,2014,1092330.707
