Grupo actividad sector turístico,Indicador,Periodo,DATA
56 Servicios de comidas y bebidas,VAB a precios básicos,2015,102423.807
56 Servicios de comidas y bebidas,VAB a precios básicos,2016,119681.588
56 Servicios de comidas y bebidas,VAB a precios básicos,2017,122507.991
56 Servicios de comidas y bebidas,VAB a precios básicos,2018,126366.574
56 Servicios de comidas y bebidas,VAB a precios básicos,2019,145212.086
56 Servicios de comidas y bebidas,VAB a precios básicos,2020,68155.09
56 Servicios de comidas y bebidas,Excedente bruto de explotación,2015,28773.103
56 Servicios de comidas y bebidas,Excedente bruto de explotación,2016,30050.316
56 Servicios de comidas y bebidas,Excedente bruto de explotación,2017,28400.061
56 Servicios de comidas y bebidas,Excedente bruto de explotación,2018,28369.702
56 Servicios de comidas y bebidas,Excedente bruto de explotación,2019,33192.439
56 Servicios de comidas y bebidas,Excedente bruto de explotación,2020,1874.906
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Consumos Intermedios,2015,34374.245
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Consumos Intermedios,2016,39472.198
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Consumos Intermedios,2017,31653.784
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Consumos Intermedios,2018,35138.906
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Consumos Intermedios,2019,40453.736
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Consumos Intermedios,2020,22546.548
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Volumen de negocio,2015,99099.111
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Volumen de negocio,2016,106786.869
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Volumen de negocio,2017,107869.045
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Volumen de negocio,2018,113669.273
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Volumen de negocio,2019,122821.339
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Volumen de negocio,2020,96662.755
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2015,94884.118
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2016,100299.507
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2017,92849.315
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2018,105480.999
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2019,111028.134
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Producción a precios básicos,2020,66401.401
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2015,68476.009
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2016,69383.749
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2017,63481.913
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2018,78827.559
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2019,77582.483
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",VAB cifra de negocio,2020,51230.441
