Periodo,Categoría,DATA
2018-12-01,1 estrella de plata,91.21
2018-12-01,2 estrellas de oro,164.79
2019-01-01,TOTAL,92.19
2019-01-01,4 estrellas de oro,87.6
2019-01-01,3 estrellas de oro,95.78
2019-01-01,1 estrella de oro,84.5
2019-01-01,2 y 3 estrellas de plata,87.0
2019-01-01,1 estrella de plata,102.39
2019-01-01,2 estrellas de oro,90.44
2019-02-01,TOTAL,89.89
2019-02-01,4 estrellas de oro,98.77
2019-02-01,3 estrellas de oro,83.94
2019-02-01,1 estrella de oro,110.72
2019-02-01,2 y 3 estrellas de plata,78.27
2019-02-01,1 estrella de plata,93.14
2019-02-01,2 estrellas de oro,86.13
2019-03-01,TOTAL,84.38
2019-03-01,4 estrellas de oro,82.92
2019-03-01,3 estrellas de oro,86.16
2019-03-01,1 estrella de oro,115.8
2019-03-01,2 y 3 estrellas de plata,79.22
2019-03-01,1 estrella de plata,95.5
2019-03-01,2 estrellas de oro,119.1
2019-04-01,TOTAL,90.99
2019-04-01,4 estrellas de oro,85.53
2019-04-01,3 estrellas de oro,95.98
2019-04-01,1 estrella de oro,88.05
2019-04-01,2 y 3 estrellas de plata,97.95
2019-04-01,1 estrella de plata,103.51
2019-04-01,2 estrellas de oro,87.06
2019-05-01,TOTAL,91.85
2019-05-01,4 estrellas de oro,87.6
2019-05-01,3 estrellas de oro,95.29
2019-05-01,1 estrella de oro,84.5
2019-05-01,2 y 3 estrellas de plata,86.44
2019-05-01,1 estrella de plata,98.03
2019-05-01,2 estrellas de oro,94.07
2019-06-01,TOTAL,86.45
2019-06-01,4 estrellas de oro,88.22
2019-06-01,3 estrellas de oro,86.04
2019-06-01,1 estrella de oro,83.64
2019-06-01,2 y 3 estrellas de plata,80.33
2019-06-01,1 estrella de plata,90.72
2019-06-01,2 estrellas de oro,95.84
2019-07-01,TOTAL,88.71
2019-07-01,4 estrellas de oro,87.37
2019-07-01,3 estrellas de oro,90.22
2019-07-01,1 estrella de oro,95.65
2019-07-01,2 y 3 estrellas de plata,83.74
2019-07-01,1 estrella de plata,91.42
2019-07-01,2 estrellas de oro,92.19
2019-08-01,TOTAL,94.77
2019-08-01,4 estrellas de oro,92.66
2019-08-01,3 estrellas de oro,98.7
2019-08-01,1 estrella de oro,78.33
2019-08-01,2 y 3 estrellas de plata,88.81
2019-08-01,1 estrella de plata,92.37
2019-08-01,2 estrellas de oro,93.29
2019-09-01,TOTAL,96.64
2019-09-01,4 estrellas de oro,98.65
2019-09-01,3 estrellas de oro,99.01
2019-09-01,1 estrella de oro,91.33
2019-09-01,2 y 3 estrellas de plata,80.8
2019-09-01,1 estrella de plata,93.52
2019-09-01,2 estrellas de oro,99.27
2019-10-01,TOTAL,96.91
2019-10-01,4 estrellas de oro,76.0
2019-10-01,3 estrellas de oro,102.21
2019-10-01,1 estrella de oro,84.01
2019-10-01,2 y 3 estrellas de plata,94.78
2019-10-01,1 estrella de plata,102.62
2019-10-01,2 estrellas de oro,106.28
2019-11-01,TOTAL,93.47
2019-11-01,4 estrellas de oro,94.7
2019-11-01,3 estrellas de oro,95.81
2019-11-01,1 estrella de oro,91.63
2019-11-01,2 y 3 estrellas de plata,89.83
2019-11-01,1 estrella de plata,90.13
2019-11-01,2 estrellas de oro,101.96
2019-12-01,TOTAL,92.18
2019-12-01,4 estrellas de oro,98.2
2019-12-01,3 estrellas de oro,91.12
2019-12-01,1 estrella de oro,82.39
2019-12-01,2 y 3 estrellas de plata,73.49
2019-12-01,1 estrella de plata,101.6
2019-12-01,2 estrellas de oro,92.19
2020-01-01,TOTAL,92.79
2020-01-01,4 estrellas de oro,104.45
2020-01-01,3 estrellas de oro,82.58
2020-01-01,1 estrella de oro,90.34
2020-01-01,2 y 3 estrellas de plata,78.23
2020-01-01,1 estrella de plata,118.45
2020-01-01,2 estrellas de oro,130.05
2020-02-01,TOTAL,92.85
2020-02-01,4 estrellas de oro,98.6
2020-02-01,3 estrellas de oro,89.51
2020-02-01,1 estrella de oro,106.75
2020-02-01,2 y 3 estrellas de plata,79.01
2020-02-01,1 estrella de plata,105.82
2020-02-01,2 estrellas de oro,92.19
2020-03-01,TOTAL,83.11
2020-03-01,4 estrellas de oro,80.57
2020-03-01,3 estrellas de oro,84.76
2020-03-01,1 estrella de oro,100.46
2020-03-01,2 y 3 estrellas de plata,90.49
2020-03-01,1 estrella de plata,101.8
2020-03-01,2 estrellas de oro,141.33
2020-07-01,TOTAL,86.27
2020-07-01,4 estrellas de oro,85.18
2020-07-01,3 estrellas de oro,85.25
2020-07-01,1 estrella de oro,97.64
2020-07-01,2 y 3 estrellas de plata,88.82
2020-07-01,1 estrella de plata,107.94
2020-07-01,2 estrellas de oro,97.6
2020-08-01,TOTAL,93.34
2020-08-01,4 estrellas de oro,94.06
2020-08-01,3 estrellas de oro,92.58
2020-08-01,1 estrella de oro,81.62
2020-08-01,2 y 3 estrellas de plata,83.18
2020-08-01,1 estrella de plata,103.74
2020-08-01,2 estrellas de oro,101.61
2020-09-01,TOTAL,85.16
2020-09-01,4 estrellas de oro,83.96
2020-09-01,3 estrellas de oro,87.59
2020-09-01,1 estrella de oro,103.16
2020-09-01,2 y 3 estrellas de plata,80.48
2020-09-01,1 estrella de plata,85.29
2020-09-01,2 estrellas de oro,96.91
2020-10-01,TOTAL,87.61
2020-10-01,4 estrellas de oro,92.04
2020-10-01,3 estrellas de oro,86.1
2020-10-01,1 estrella de oro,71.12
2020-10-01,2 y 3 estrellas de plata,80.42
2020-10-01,1 estrella de plata,88.06
2020-10-01,2 estrellas de oro,96.6
2020-11-01,TOTAL,74.86
2020-11-01,4 estrellas de oro,76.84
2020-11-01,3 estrellas de oro,75.77
2020-11-01,1 estrella de oro,73.3
2020-11-01,2 y 3 estrellas de plata,87.14
2020-11-01,1 estrella de plata,58.05
2020-11-01,2 estrellas de oro,75.28
2020-12-01,TOTAL,75.63
2020-12-01,4 estrellas de oro,79.96
2020-12-01,3 estrellas de oro,76.49
2020-12-01,1 estrella de oro,80.11
2020-12-01,2 y 3 estrellas de plata,56.14
2020-12-01,1 estrella de plata,64.38
2020-12-01,2 estrellas de oro,92.19
2021-01-01,TOTAL,82.51
2021-01-01,4 estrellas de oro,92.39
2021-01-01,3 estrellas de oro,77.64
2021-01-01,1 estrella de oro,79.68
2021-01-01,2 y 3 estrellas de plata,65.53
2021-01-01,1 estrella de plata,65.62
2021-01-01,2 estrellas de oro,92.19
2021-02-01,TOTAL,71.7
2021-02-01,4 estrellas de oro,71.11
2021-02-01,3 estrellas de oro,72.72
2021-02-01,1 estrella de oro,88.94
2021-02-01,2 y 3 estrellas de plata,82.74
2021-02-01,1 estrella de plata,63.96
2021-02-01,2 estrellas de oro,88.12
2021-03-01,TOTAL,76.24
2021-03-01,4 estrellas de oro,92.19
2021-03-01,3 estrellas de oro,78.0
2021-03-01,1 estrella de oro,92.19
2021-03-01,2 y 3 estrellas de plata,92.19
2021-03-01,1 estrella de plata,85.45
2021-03-01,2 estrellas de oro,92.19
2021-04-01,TOTAL,90.53
2021-04-01,4 estrellas de oro,97.85
2021-04-01,3 estrellas de oro,84.32
2021-04-01,1 estrella de oro,90.43
2021-04-01,2 y 3 estrellas de plata,86.41
2021-04-01,1 estrella de plata,96.61
2021-04-01,2 estrellas de oro,67.44
2021-05-01,TOTAL,99.87
2021-05-01,4 estrellas de oro,92.19
2021-05-01,3 estrellas de oro,93.4
2021-05-01,1 estrella de oro,92.19
2021-05-01,2 y 3 estrellas de plata,92.19
2021-05-01,1 estrella de plata,92.19
2021-05-01,2 estrellas de oro,92.19
2021-06-01,TOTAL,78.31
2021-06-01,4 estrellas de oro,92.19
2021-06-01,3 estrellas de oro,77.71
2021-06-01,1 estrella de oro,92.19
2021-06-01,2 y 3 estrellas de plata,73.99
2021-06-01,1 estrella de plata,94.73
2021-06-01,2 estrellas de oro,92.19
2021-07-01,TOTAL,91.15
2021-07-01,4 estrellas de oro,89.04
2021-07-01,3 estrellas de oro,91.54
2021-07-01,1 estrella de oro,102.51
2021-07-01,2 y 3 estrellas de plata,84.91
2021-07-01,1 estrella de plata,119.6
2021-07-01,2 estrellas de oro,99.68
2021-08-01,TOTAL,106.88
2021-08-01,4 estrellas de oro,109.95
2021-08-01,3 estrellas de oro,106.36
2021-08-01,1 estrella de oro,84.15
2021-08-01,2 y 3 estrellas de plata,91.16
2021-08-01,1 estrella de plata,111.19
2021-08-01,2 estrellas de oro,105.49
2021-09-01,TOTAL,97.01
2021-09-01,4 estrellas de oro,98.93
2021-09-01,3 estrellas de oro,98.5
2021-09-01,1 estrella de oro,99.32
2021-09-01,2 y 3 estrellas de plata,83.36
2021-09-01,1 estrella de plata,98.33
2021-09-01,2 estrellas de oro,105.34
2021-10-01,TOTAL,106.96
2021-10-01,4 estrellas de oro,114.11
2021-10-01,3 estrellas de oro,104.26
2021-10-01,1 estrella de oro,81.64
2021-10-01,2 y 3 estrellas de plata,85.22
2021-10-01,1 estrella de plata,114.44
2021-10-01,2 estrellas de oro,111.96
2021-11-01,TOTAL,95.85
2021-11-01,4 estrellas de oro,95.68
2021-11-01,3 estrellas de oro,97.74
2021-11-01,1 estrella de oro,92.19
2021-11-01,2 y 3 estrellas de plata,92.19
2021-11-01,1 estrella de plata,92.19
2021-11-01,2 estrellas de oro,97.89
2021-12-01,TOTAL,98.42
2021-12-01,4 estrellas de oro,111.48
2021-12-01,3 estrellas de oro,96.34
2021-12-01,1 estrella de oro,92.19
2021-12-01,2 y 3 estrellas de plata,76.14
2021-12-01,1 estrella de plata,92.19
2021-12-01,2 estrellas de oro,108.83
2022-01-01,TOTAL,97.0
2022-01-01,4 estrellas de oro,108.24
2022-01-01,3 estrellas de oro,90.04
2022-01-01,1 estrella de oro,92.19
2022-01-01,2 y 3 estrellas de plata,92.19
2022-01-01,1 estrella de plata,83.23
2022-01-01,2 estrellas de oro,92.19
2022-02-01,TOTAL,90.88
2022-02-01,4 estrellas de oro,92.19
2022-02-01,3 estrellas de oro,93.62
2022-02-01,1 estrella de oro,92.19
2022-02-01,2 y 3 estrellas de plata,92.19
2022-02-01,1 estrella de plata,92.19
2022-02-01,2 estrellas de oro,103.14
2022-03-01,TOTAL,90.9
2022-03-01,4 estrellas de oro,116.62
2022-03-01,3 estrellas de oro,93.24
2022-03-01,1 estrella de oro,116.23
2022-03-01,2 y 3 estrellas de plata,123.94
2022-03-01,1 estrella de plata,92.19
2022-03-01,2 estrellas de oro,92.19
2022-04-01,TOTAL,113.64
2022-04-01,4 estrellas de oro,117.64
2022-04-01,3 estrellas de oro,108.11
2022-04-01,1 estrella de oro,119.53
2022-04-01,2 y 3 estrellas de plata,98.71
2022-04-01,1 estrella de plata,92.19
2022-04-01,2 estrellas de oro,92.19
2022-05-01,TOTAL,114.65
2022-05-01,4 estrellas de oro,104.44
2022-05-01,3 estrellas de oro,112.28
2022-05-01,1 estrella de oro,130.9
2022-05-01,2 y 3 estrellas de plata,115.23
2022-05-01,1 estrella de plata,92.19
2022-05-01,2 estrellas de oro,109.22
2022-06-01,TOTAL,91.51
2022-06-01,4 estrellas de oro,118.11
2022-06-01,3 estrellas de oro,89.73
2022-06-01,1 estrella de oro,127.3
2022-06-01,2 y 3 estrellas de plata,76.37
2022-06-01,1 estrella de plata,110.42
2022-06-01,2 estrellas de oro,92.19
2022-07-01,TOTAL,102.44
2022-07-01,4 estrellas de oro,102.8
2022-07-01,3 estrellas de oro,102.84
2022-07-01,1 estrella de oro,113.4
2022-07-01,2 y 3 estrellas de plata,83.96
2022-07-01,1 estrella de plata,117.11
2022-07-01,2 estrellas de oro,98.14
2022-08-01,TOTAL,111.29
2022-08-01,4 estrellas de oro,116.86
2022-08-01,3 estrellas de oro,108.57
2022-08-01,1 estrella de oro,94.83
2022-08-01,2 y 3 estrellas de plata,87.38
2022-08-01,1 estrella de plata,115.84
2022-08-01,2 estrellas de oro,115.34
2022-09-01,TOTAL,106.88
2022-09-01,4 estrellas de oro,110.05
2022-09-01,3 estrellas de oro,108.37
2022-09-01,1 estrella de oro,106.9
2022-09-01,2 y 3 estrellas de plata,89.25
2022-09-01,1 estrella de plata,105.51
2022-09-01,2 estrellas de oro,110.11
2022-10-01,TOTAL,112.0
2022-10-01,4 estrellas de oro,120.67
2022-10-01,3 estrellas de oro,109.44
2022-10-01,1 estrella de oro,83.54
2022-10-01,2 y 3 estrellas de plata,82.59
2022-10-01,1 estrella de plata,108.18
2022-10-01,2 estrellas de oro,114.79
2022-11-01,TOTAL,100.35
2022-11-01,4 estrellas de oro,100.5
2022-11-01,3 estrellas de oro,102.89
2022-11-01,1 estrella de oro,104.79
2022-11-01,2 y 3 estrellas de plata,95.2
2022-11-01,1 estrella de plata,94.76
2022-11-01,2 estrellas de oro,97.6
2022-12-01,TOTAL,95.98
2022-12-01,4 estrellas de oro,103.9
2022-12-01,3 estrellas de oro,96.67
2022-12-01,1 estrella de oro,95.04
2022-12-01,2 y 3 estrellas de plata,81.06
2022-12-01,1 estrella de plata,116.9
2022-12-01,2 estrellas de oro,112.26
2023-01-01,TOTAL,97.5
2023-01-01,4 estrellas de oro,99.99
2023-01-01,3 estrellas de oro,95.69
2023-01-01,1 estrella de oro,116.39
2023-01-01,2 y 3 estrellas de plata,117.41
2023-01-01,1 estrella de plata,92.19
2023-01-01,2 estrellas de oro,111.65
2023-02-01,TOTAL,93.79
2023-02-01,4 estrellas de oro,99.66
2023-02-01,3 estrellas de oro,99.8
2023-02-01,1 estrella de oro,124.38
2023-02-01,2 y 3 estrellas de plata,114.19
2023-02-01,1 estrella de plata,80.02
2023-02-01,2 estrellas de oro,107.19
2023-03-01,TOTAL,93.39
2023-03-01,4 estrellas de oro,112.65
2023-03-01,3 estrellas de oro,101.95
2023-03-01,1 estrella de oro,158.23
2023-03-01,2 y 3 estrellas de plata,132.92
2023-03-01,1 estrella de plata,83.88
2023-03-01,2 estrellas de oro,108.17
2023-04-01,TOTAL,118.32
2023-04-01,4 estrellas de oro,118.39
2023-04-01,3 estrellas de oro,114.85
2023-04-01,1 estrella de oro,129.21
2023-04-01,2 y 3 estrellas de plata,109.84
2023-04-01,1 estrella de plata,104.69
2023-04-01,2 estrellas de oro,114.51
2023-05-01,TOTAL,122.41
2023-05-01,4 estrellas de oro,108.35
2023-05-01,3 estrellas de oro,121.94
2023-05-01,1 estrella de oro,141.74
2023-05-01,2 y 3 estrellas de plata,135.13
2023-05-01,1 estrella de plata,97.7
2023-05-01,2 estrellas de oro,126.6
2023-06-01,TOTAL,92.97
2023-06-01,4 estrellas de oro,112.13
2023-06-01,3 estrellas de oro,96.44
2023-06-01,1 estrella de oro,164.77
2023-06-01,2 y 3 estrellas de plata,84.02
2023-06-01,1 estrella de plata,96.49
2023-06-01,2 estrellas de oro,118.17
2023-07-01,TOTAL,106.91
2023-07-01,4 estrellas de oro,104.02
2023-07-01,3 estrellas de oro,109.19
2023-07-01,1 estrella de oro,127.06
2023-07-01,2 y 3 estrellas de plata,98.28
2023-07-01,1 estrella de plata,112.66
2023-07-01,2 estrellas de oro,107.76
2023-08-01,TOTAL,111.84
2023-08-01,4 estrellas de oro,108.0
2023-08-01,3 estrellas de oro,113.85
2023-08-01,1 estrella de oro,103.46
2023-08-01,2 y 3 estrellas de plata,110.69
2023-08-01,1 estrella de plata,115.92
2023-08-01,2 estrellas de oro,129.22
2023-09-01,TOTAL,113.25
2023-09-01,4 estrellas de oro,116.38
2023-09-01,3 estrellas de oro,113.16
2023-09-01,1 estrella de oro,129.53
2023-09-01,2 y 3 estrellas de plata,103.7
2023-09-01,1 estrella de plata,104.28
2023-09-01,2 estrellas de oro,123.8
2023-10-01,TOTAL,115.48
2023-10-01,4 estrellas de oro,123.67
2023-10-01,3 estrellas de oro,111.99
2023-10-01,1 estrella de oro,104.29
2023-10-01,2 y 3 estrellas de plata,100.98
2023-10-01,1 estrella de plata,107.35
2023-10-01,2 estrellas de oro,118.57
2023-11-01,TOTAL,107.79
2023-11-01,4 estrellas de oro,109.41
2023-11-01,3 estrellas de oro,108.09
2023-11-01,1 estrella de oro,111.47
2023-11-01,2 y 3 estrellas de plata,110.84
2023-11-01,1 estrella de plata,98.01
2023-11-01,2 estrellas de oro,107.7
2023-12-01,TOTAL,102.84
2023-12-01,4 estrellas de oro,107.26
2023-12-01,3 estrellas de oro,106.91
2023-12-01,1 estrella de oro,118.17
2023-12-01,2 y 3 estrellas de plata,85.51
2023-12-01,1 estrella de plata,110.95
2023-12-01,2 estrellas de oro,141.78
2024-01-01,TOTAL,102.82
2024-01-01,4 estrellas de oro,106.13
2024-01-01,3 estrellas de oro,100.53
2024-01-01,1 estrella de oro,121.57
2024-01-01,2 y 3 estrellas de plata,119.86
2024-01-01,1 estrella de plata,92.19
2024-01-01,2 estrellas de oro,92.19
2024-02-01,TOTAL,101.37
2024-02-01,4 estrellas de oro,112.89
2024-02-01,3 estrellas de oro,103.89
2024-02-01,1 estrella de oro,129.01
2024-02-01,2 y 3 estrellas de plata,117.71
2024-02-01,1 estrella de plata,82.69
2024-02-01,2 estrellas de oro,92.19
