Municipio,Categoría turística,Indicador,Periodo,DATA
LA RIOJA,Alquiler completo,Habitaciones,2009,75.0
LA RIOJA,Alquiler completo,Habitaciones,2010,83.0
LA RIOJA,Alquiler completo,Habitaciones,2011,83.0
LA RIOJA,Alquiler completo,Habitaciones,2012,123.0
LA RIOJA,Alquiler completo,Habitaciones,2013,142.0
LA RIOJA,Alquiler completo,Habitaciones,2014,159.0
LA RIOJA,Alquiler completo,Habitaciones,2015,164.0
LA RIOJA,Alquiler completo,Habitaciones,2016,178.0
LA RIOJA,Alquiler completo,Habitaciones,2017,205.0
LA RIOJA,Alquiler completo,Habitaciones,2018,207.0
LA RIOJA,Alquiler completo,Habitaciones,2019,212.0
LA RIOJA,Alquiler completo,Habitaciones,2020,203.0
LA RIOJA,Alquiler completo,Habitaciones,2021,196.0
LA RIOJA,Alquiler completo,Habitaciones,2022,227.0
LA RIOJA,Alquiler completo,Habitaciones,2023,222.0
LA RIOJA,Alquiler completo,Habitaciones,2024,226.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2009,64.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2010,62.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2011,62.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2012,61.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2013,57.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2014,53.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2015,51.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2016,48.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2017,48.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2018,46.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2019,44.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2020,34.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2021,33.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2022,32.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2023,32.0
LA RIOJA,Alquiler por habitaciones,Establecimientos,2024,32.0
LA RIOJA,Alquiler por habitaciones,Plazas,2009,593.0
LA RIOJA,Alquiler por habitaciones,Plazas,2010,580.0
LA RIOJA,Alquiler por habitaciones,Plazas,2011,580.0
LA RIOJA,Alquiler por habitaciones,Plazas,2012,577.0
LA RIOJA,Alquiler por habitaciones,Plazas,2013,527.0
LA RIOJA,Alquiler por habitaciones,Plazas,2014,494.0
LA RIOJA,Alquiler por habitaciones,Plazas,2015,472.0
LA RIOJA,Alquiler por habitaciones,Plazas,2016,458.0
