Periodo,Tarifa,Variable,DATA
2019-10-01,TOTAL,Índice,126.91
2019-10-01,TOTAL,Var (%) anual,1.86
2019-10-01,Normal,Índice,132.26
2019-10-01,Normal,Var (%) anual,3.65
2019-10-01,Fin de semana,Índice,118.38
2019-10-01,Fin de semana,Var (%) anual,0.24
2019-11-01,TOTAL,Índice,117.45
2019-11-01,TOTAL,Var (%) anual,1.75
2019-11-01,Normal,Índice,117.43
2019-11-01,Normal,Var (%) anual,2.92
2019-11-01,Fin de semana,Índice,129.58
2019-11-01,Fin de semana,Var (%) anual,0.31
2019-12-01,TOTAL,Índice,125.83
2019-12-01,TOTAL,Var (%) anual,2.75
2019-12-01,Normal,Índice,125.17
2019-12-01,Normal,Var (%) anual,2.18
2019-12-01,Fin de semana,Índice,93.78
2019-12-01,Fin de semana,Var (%) anual,3.32
2020-01-01,TOTAL,Índice,150.3
2020-01-01,TOTAL,Var (%) anual,1.72
2020-01-01,Normal,Índice,121.75
2020-01-01,Normal,Var (%) anual,1.92
2020-01-01,Fin de semana,Índice,129.45
2020-01-01,Fin de semana,Var (%) anual,1.16
2020-02-01,TOTAL,Índice,123.57
2020-02-01,TOTAL,Var (%) anual,4.28
2020-02-01,Normal,Índice,152.39
2020-02-01,Normal,Var (%) anual,8.48
2020-02-01,Fin de semana,Índice,123.57
2020-02-01,Fin de semana,Var (%) anual,4.28
2020-03-01,TOTAL,Índice,152.94
2020-03-01,TOTAL,Var (%) anual,5.45
2020-03-01,Normal,Índice,143.61
2020-03-01,Normal,Var (%) anual,2.43
2020-03-01,Fin de semana,Índice,116.87
2020-03-01,Fin de semana,Var (%) anual,7.82
2020-04-01,TOTAL,Índice,127.57
2020-04-01,TOTAL,Var (%) anual,0.0
2020-04-01,Normal,Índice,68.315
2020-04-01,Normal,Var (%) anual,68.315
2020-04-01,Fin de semana,Índice,68.315
2020-04-01,Fin de semana,Var (%) anual,68.315
2020-07-01,TOTAL,Índice,126.63
2020-07-01,TOTAL,Var (%) anual,1.18
2020-07-01,Normal,Índice,125.91
2020-07-01,Normal,Var (%) anual,-0.39
2020-07-01,Fin de semana,Índice,117.16
2020-07-01,Fin de semana,Var (%) anual,2.42
2020-08-01,TOTAL,Índice,115.78
2020-08-01,TOTAL,Var (%) anual,-4.08
2020-08-01,Normal,Índice,113.29
2020-08-01,Normal,Var (%) anual,-5.33
2020-08-01,Fin de semana,Índice,112.13
2020-08-01,Fin de semana,Var (%) anual,-1.93
2020-09-01,TOTAL,Índice,135.47
2020-09-01,TOTAL,Var (%) anual,-8.43
2020-09-01,Normal,Índice,131.39
2020-09-01,Normal,Var (%) anual,-12.87
2020-09-01,Fin de semana,Índice,91.0
2020-09-01,Fin de semana,Var (%) anual,-4.19
2020-10-01,TOTAL,Índice,118.25
2020-10-01,TOTAL,Var (%) anual,-6.83
2020-10-01,Normal,Índice,119.49
2020-10-01,Normal,Var (%) anual,-9.65
2020-10-01,Fin de semana,Índice,112.37
2020-10-01,Fin de semana,Var (%) anual,-5.07
2020-11-01,TOTAL,Índice,119.27
2020-11-01,TOTAL,Var (%) anual,1.55
2020-11-01,Normal,Índice,121.34
2020-11-01,Normal,Var (%) anual,3.33
2020-11-01,Fin de semana,Índice,131.17
2020-11-01,Fin de semana,Var (%) anual,1.23
2020-12-01,TOTAL,Índice,122.72
2020-12-01,TOTAL,Var (%) anual,-2.47
2020-12-01,Normal,Índice,121.87
2020-12-01,Normal,Var (%) anual,-2.64
2020-12-01,Fin de semana,Índice,91.6
2020-12-01,Fin de semana,Var (%) anual,-2.33
2021-01-01,TOTAL,Índice,137.64
2021-01-01,TOTAL,Var (%) anual,-8.42
2021-01-01,Normal,Índice,113.29
2021-01-01,Normal,Var (%) anual,-6.95
2021-01-01,Fin de semana,Índice,117.13
2021-01-01,Fin de semana,Var (%) anual,-9.52
2021-02-01,TOTAL,Índice,145.23
2021-02-01,TOTAL,Var (%) anual,-8.06
2021-02-01,Normal,Índice,136.14
2021-02-01,Normal,Var (%) anual,-10.66
2021-02-01,Fin de semana,Índice,115.22
2021-02-01,Fin de semana,Var (%) anual,-6.76
2021-03-01,TOTAL,Índice,144.31
2021-03-01,TOTAL,Var (%) anual,-5.65
2021-03-01,Normal,Índice,138.63
2021-03-01,Normal,Var (%) anual,-3.47
2021-03-01,Fin de semana,Índice,106.96
2021-03-01,Fin de semana,Var (%) anual,-8.48
2021-04-01,TOTAL,Índice,122.99
2021-04-01,TOTAL,Var (%) anual,-3.59
2021-04-01,Normal,Índice,128.22
2021-04-01,Normal,Var (%) anual,-2.52
2021-04-01,Fin de semana,Índice,102.01
2021-04-01,Fin de semana,Var (%) anual,-4.83
2021-05-01,TOTAL,Índice,137.23
2021-05-01,TOTAL,Var (%) anual,0.0
2021-05-01,Normal,Índice,136.84
2021-05-01,Normal,Var (%) anual,0.0
2021-05-01,Fin de semana,Índice,107.34
2021-05-01,Fin de semana,Var (%) anual,0.0
2021-06-01,TOTAL,Índice,111.49
2021-06-01,TOTAL,Var (%) anual,0.0
2021-06-01,Normal,Índice,117.36
2021-06-01,Normal,Var (%) anual,0.0
2021-06-01,Fin de semana,Índice,90.42
2021-06-01,Fin de semana,Var (%) anual,0.0
2021-07-01,TOTAL,Índice,124.21
2021-07-01,TOTAL,Var (%) anual,-1.91
2021-07-01,Normal,Índice,124.51
2021-07-01,Normal,Var (%) anual,-1.11
2021-07-01,Fin de semana,Índice,113.57
2021-07-01,Fin de semana,Var (%) anual,-3.06
2021-08-01,TOTAL,Índice,123.57
2021-08-01,TOTAL,Var (%) anual,6.73
2021-08-01,Normal,Índice,121.2
2021-08-01,Normal,Var (%) anual,6.98
2021-08-01,Fin de semana,Índice,118.89
2021-08-01,Fin de semana,Var (%) anual,6.03
2021-09-01,TOTAL,Índice,139.46
2021-09-01,TOTAL,Var (%) anual,2.95
2021-09-01,Normal,Índice,134.0
2021-09-01,Normal,Var (%) anual,1.99
2021-09-01,Fin de semana,Índice,95.83
2021-09-01,Fin de semana,Var (%) anual,5.3
2021-10-01,TOTAL,Índice,122.63
2021-10-01,TOTAL,Var (%) anual,3.71
2021-10-01,Normal,Índice,122.34
2021-10-01,Normal,Var (%) anual,2.38
2021-10-01,Fin de semana,Índice,118.27
2021-10-01,Fin de semana,Var (%) anual,5.25
2021-11-01,TOTAL,Índice,123.2
2021-11-01,TOTAL,Var (%) anual,3.29
2021-11-01,Normal,Índice,124.94
2021-11-01,Normal,Var (%) anual,2.97
2021-11-01,Fin de semana,Índice,142.17
2021-11-01,Fin de semana,Var (%) anual,8.39
2021-12-01,TOTAL,Índice,123.55
2021-12-01,TOTAL,Var (%) anual,0.67
2021-12-01,Normal,Índice,121.4
2021-12-01,Normal,Var (%) anual,-0.38
2021-12-01,Fin de semana,Índice,94.03
2021-12-01,Fin de semana,Var (%) anual,2.66
2022-01-01,TOTAL,Índice,124.59
2022-01-01,TOTAL,Var (%) anual,-9.48
2022-01-01,Normal,Índice,101.71
2022-01-01,Normal,Var (%) anual,-10.22
2022-01-01,Fin de semana,Índice,107.17
2022-01-01,Fin de semana,Var (%) anual,-8.5
2022-02-01,TOTAL,Índice,143.3
2022-02-01,TOTAL,Var (%) anual,-1.33
2022-02-01,Normal,Índice,131.44
2022-02-01,Normal,Var (%) anual,-3.45
2022-02-01,Fin de semana,Índice,115.77
2022-02-01,Fin de semana,Var (%) anual,0.48
2022-03-01,TOTAL,Índice,142.9
2022-03-01,TOTAL,Var (%) anual,-0.97
2022-03-01,Normal,Índice,137.53
2022-03-01,Normal,Var (%) anual,-0.79
2022-03-01,Fin de semana,Índice,105.72
2022-03-01,Fin de semana,Var (%) anual,-1.16
2022-04-01,TOTAL,Índice,126.69
2022-04-01,TOTAL,Var (%) anual,3.01
2022-04-01,Normal,Índice,133.88
2022-04-01,Normal,Var (%) anual,4.41
2022-04-01,Fin de semana,Índice,103.82
2022-04-01,Fin de semana,Var (%) anual,1.77
2022-05-01,TOTAL,Índice,141.75
2022-05-01,TOTAL,Var (%) anual,3.29
2022-05-01,Normal,Índice,143.82
2022-05-01,Normal,Var (%) anual,5.1
2022-05-01,Fin de semana,Índice,106.23
2022-05-01,Fin de semana,Var (%) anual,-1.03
2022-06-01,TOTAL,Índice,109.73
2022-06-01,TOTAL,Var (%) anual,-1.57
2022-06-01,Normal,Índice,113.94
2022-06-01,Normal,Var (%) anual,-2.91
2022-06-01,Fin de semana,Índice,90.24
2022-06-01,Fin de semana,Var (%) anual,-0.2
2022-07-01,TOTAL,Índice,121.67
2022-07-01,TOTAL,Var (%) anual,-2.05
2022-07-01,Normal,Índice,120.6
2022-07-01,Normal,Var (%) anual,-3.14
2022-07-01,Fin de semana,Índice,113.19
2022-07-01,Fin de semana,Var (%) anual,-0.34
2022-08-01,TOTAL,Índice,116.84
2022-08-01,TOTAL,Var (%) anual,-5.44
2022-08-01,Normal,Índice,113.47
2022-08-01,Normal,Var (%) anual,-6.38
2022-08-01,Fin de semana,Índice,115.56
2022-08-01,Fin de semana,Var (%) anual,-2.8
2022-09-01,TOTAL,Índice,140.05
2022-09-01,TOTAL,Var (%) anual,0.42
2022-09-01,Normal,Índice,132.68
2022-09-01,Normal,Var (%) anual,-0.98
2022-09-01,Fin de semana,Índice,97.56
2022-09-01,Fin de semana,Var (%) anual,1.8
2022-10-01,TOTAL,Índice,122.14
2022-10-01,TOTAL,Var (%) anual,-0.4
2022-10-01,Normal,Índice,120.16
2022-10-01,Normal,Var (%) anual,-1.78
2022-10-01,Fin de semana,Índice,118.96
2022-10-01,Fin de semana,Var (%) anual,0.58
2022-11-01,TOTAL,Índice,122.27
2022-11-01,TOTAL,Var (%) anual,-0.76
2022-11-01,Normal,Índice,123.55
2022-11-01,Normal,Var (%) anual,-1.11
2022-11-01,Fin de semana,Índice,141.76
2022-11-01,Fin de semana,Var (%) anual,-0.29
2022-12-01,TOTAL,Índice,116.21
2022-12-01,TOTAL,Var (%) anual,-5.57
2022-12-01,Normal,Índice,112.46
2022-12-01,Normal,Var (%) anual,-7.2
2022-12-01,Fin de semana,Índice,90.39
2022-12-01,Fin de semana,Var (%) anual,-2.96
2023-01-01,TOTAL,Índice,122.93
2023-01-01,TOTAL,Var (%) anual,-1.33
2023-01-01,Normal,Índice,97.72
2023-01-01,Normal,Var (%) anual,-3.92
2023-01-01,Fin de semana,Índice,109.07
2023-01-01,Fin de semana,Var (%) anual,1.77
2023-02-01,TOTAL,Índice,149.9
2023-02-01,TOTAL,Var (%) anual,4.61
2023-02-01,Normal,Índice,136.65
2023-02-01,Normal,Var (%) anual,3.96
2023-02-01,Fin de semana,Índice,121.63
2023-02-01,Fin de semana,Var (%) anual,5.06
2023-03-01,TOTAL,Índice,152.71
2023-03-01,TOTAL,Var (%) anual,6.86
2023-03-01,Normal,Índice,145.54
2023-03-01,Normal,Var (%) anual,5.83
2023-03-01,Fin de semana,Índice,114.15
2023-03-01,Fin de semana,Var (%) anual,7.98
2023-04-01,TOTAL,Índice,135.3
