Municipio,Tipo de establecimiento,Periodo,DATA
Alcanadre,Viviendas de uso turístico,2020,3.0
Alcanadre,Viviendas de uso turístico,2021,3.0
Alcanadre,Viviendas de uso turístico,2022,3.0
Alcanadre,Viviendas de uso turístico,2023,4.0
Alcanadre,Viviendas de uso turístico,2024,4.0
Aldeanueva de Ebro,Viviendas de uso turístico,2018,1.0
Aldeanueva de Ebro,Viviendas de uso turístico,2019,1.0
Aldeanueva de Ebro,Viviendas de uso turístico,2020,2.0
Aldeanueva de Ebro,Viviendas de uso turístico,2021,2.0
Aldeanueva de Ebro,Viviendas de uso turístico,2022,2.0
Aldeanueva de Ebro,Viviendas de uso turístico,2023,2.0
Aldeanueva de Ebro,Viviendas de uso turístico,2024,2.0
Alesanco,Viviendas de uso turístico,2018,2.0
Alesanco,Viviendas de uso turístico,2019,4.0
Alesanco,Viviendas de uso turístico,2020,3.0
Alesanco,Viviendas de uso turístico,2021,3.0
Alesanco,Viviendas de uso turístico,2022,3.0
Alesanco,Viviendas de uso turístico,2023,3.0
Alesanco,Viviendas de uso turístico,2024,3.0
Alesón,Viviendas de uso turístico,2018,1.0
Alesón,Viviendas de uso turístico,2019,1.0
Alesón,Viviendas de uso turístico,2020,1.0
Alesón,Viviendas de uso turístico,2021,1.0
Alesón,Viviendas de uso turístico,2022,1.0
Alesón,Viviendas de uso turístico,2023,1.0
Alesón,Viviendas de uso turístico,2024,1.0
Alfaro,Viviendas de uso turístico,2018,1.0
Alfaro,Viviendas de uso turístico,2019,3.0
Alfaro,Viviendas de uso turístico,2020,2.0
Alfaro,Viviendas de uso turístico,2021,2.0
Alfaro,Viviendas de uso turístico,2022,2.0
Alfaro,Viviendas de uso turístico,2023,4.0
Alfaro,Viviendas de uso turístico,2024,4.0
Almarza de Cameros,Viviendas de uso turístico,2018,2.0
Almarza de Cameros,Viviendas de uso turístico,2019,2.0
Almarza de Cameros,Viviendas de uso turístico,2020,2.0
Almarza de Cameros,Viviendas de uso turístico,2021,2.0
Almarza de Cameros,Viviendas de uso turístico,2022,2.0
Almarza de Cameros,Viviendas de uso turístico,2023,2.0
Almarza de Cameros,Viviendas de uso turístico,2024,2.0
Anguciana,Viviendas de uso turístico,2018,2.0
Anguciana,Viviendas de uso turístico,2019,2.0
Anguciana,Viviendas de uso turístico,2020,3.0
Anguciana,Viviendas de uso turístico,2021,3.0
Anguciana,Viviendas de uso turístico,2022,3.0
Anguciana,Viviendas de uso turístico,2023,4.0
Anguciana,Viviendas de uso turístico,2024,4.0
Anguiano,Viviendas de uso turístico,2018,1.0
Anguiano,Viviendas de uso turístico,2019,2.0
Anguiano,Viviendas de uso turístico,2020,1.0
Anguiano,Viviendas de uso turístico,2021,2.0
Anguiano,Viviendas de uso turístico,2022,2.0
Anguiano,Viviendas de uso turístico,2023,2.0
Anguiano,Viviendas de uso turístico,2024,2.0
Arenzana de Abajo,Viviendas de uso turístico,2018,2.0
Arenzana de Abajo,Viviendas de uso turístico,2019,2.0
Arenzana de Abajo,Viviendas de uso turístico,2020,1.0
Arenzana de Abajo,Viviendas de uso turístico,2021,1.0
Arenzana de Abajo,Viviendas de uso turístico,2022,1.0
Arenzana de Abajo,Viviendas de uso turístico,2023,1.0
Arenzana de Abajo,Viviendas de uso turístico,2024,1.0
Arenzana de Arriba,Viviendas de uso turístico,2018,2.0
Arenzana de Arriba,Viviendas de uso turístico,2019,2.0
Arenzana de Arriba,Viviendas de uso turístico,2020,2.0
Arenzana de Arriba,Viviendas de uso turístico,2021,2.0
Arenzana de Arriba,Viviendas de uso turístico,2022,2.0
Arenzana de Arriba,Viviendas de uso turístico,2023,2.0
Arenzana de Arriba,Viviendas de uso turístico,2024,2.0
Arnedillo,Viviendas de uso turístico,2018,8.0
Arnedillo,Viviendas de uso turístico,2019,13.0
Arnedillo,Viviendas de uso turístico,2020,12.0
Arnedillo,Viviendas de uso turístico,2021,12.0
Arnedillo,Viviendas de uso turístico,2022,12.0
