Municipio,Indicador,Periodo,DATA
Ajamil de Cameros,Plazas / 1000 habitantes,2023,
Ajamil de Cameros,Plazas / 1000 habitantes,2024,
Albelda de Iregua,Plazas Totales,2009,364
Albelda de Iregua,Plazas Totales,2010,364
Albelda de Iregua,Plazas Totales,2011,364
Albelda de Iregua,Plazas Totales,2012,364
Albelda de Iregua,Plazas Totales,2013,364
Albelda de Iregua,Plazas Totales,2014,364
Albelda de Iregua,Plazas Totales,2015,364
Albelda de Iregua,Plazas Totales,2016,364
Albelda de Iregua,Plazas Totales,2017,364
Albelda de Iregua,Plazas Totales,2018,364
Albelda de Iregua,Plazas Totales,2019,364
Albelda de Iregua,Plazas Totales,2020,364
Albelda de Iregua,Plazas Totales,2021,312
Albelda de Iregua,Plazas Totales,2022,312
Albelda de Iregua,Plazas Totales,2023,312
Albelda de Iregua,Plazas Totales,2024,312
Albelda de Iregua,Plazas / 1000 habitantes,2009,118.37
Albelda de Iregua,Plazas / 1000 habitantes,2010,110.6
Albelda de Iregua,Plazas / 1000 habitantes,2011,109.01
Albelda de Iregua,Plazas / 1000 habitantes,2012,107.25
Albelda de Iregua,Plazas / 1000 habitantes,2013,109.11
Albelda de Iregua,Plazas / 1000 habitantes,2014,111.35
Albelda de Iregua,Plazas / 1000 habitantes,2015,110.84
Albelda de Iregua,Plazas / 1000 habitantes,2016,109.67
Albelda de Iregua,Plazas / 1000 habitantes,2017,106.81
Albelda de Iregua,Plazas / 1000 habitantes,2018,105.14
Albelda de Iregua,Plazas / 1000 habitantes,2019,105.63
Albelda de Iregua,Plazas / 1000 habitantes,2020,104.57
Albelda de Iregua,Plazas / 1000 habitantes,2021,89.55
Albelda de Iregua,Plazas / 1000 habitantes,2022,86.88
Albelda de Iregua,Plazas / 1000 habitantes,2023,83.44
Albelda de Iregua,Plazas / 1000 habitantes,2024,
Alberite,Plazas Totales,2009,150
Alberite,Plazas Totales,2010,150
Alberite,Plazas Totales,2011,150
Alberite,Plazas Totales,2012,150
Alberite,Plazas Totales,2013,150
Alberite,Plazas Totales,2014,150
Alberite,Plazas Totales,2015,150
Alberite,Plazas Totales,2016,150
Alberite,Plazas Totales,2017,150
Alberite,Plazas Totales,2018,150
Alberite,Plazas Totales,2019,150
Alberite,Plazas Totales,2020,150
Alberite,Plazas Totales,2021,150
Alberite,Plazas Totales,2022,150
Alberite,Plazas Totales,2023,150
Alberite,Plazas Totales,2024,150
Alberite,Plazas / 1000 habitantes,2009,56.22
Alberite,Plazas / 1000 habitantes,2010,56.05
Alberite,Plazas / 1000 habitantes,2011,55.72
Alberite,Plazas / 1000 habitantes,2012,55.76
Alberite,Plazas / 1000 habitantes,2013,57.74
Alberite,Plazas / 1000 habitantes,2014,58.55
Alberite,Plazas / 1000 habitantes,2015,61.07
Alberite,Plazas / 1000 habitantes,2016,61.83
Alberite,Plazas / 1000 habitantes,2017,62.19
Alberite,Plazas / 1000 habitantes,2018,61.65
Alberite,Plazas / 1000 habitantes,2019,61.93
Alberite,Plazas / 1000 habitantes,2020,61.05
Alberite,Plazas / 1000 habitantes,2021,59.57
Alberite,Plazas / 1000 habitantes,2022,58.09
Alberite,Plazas / 1000 habitantes,2023,57.1
Alberite,Plazas / 1000 habitantes,2024,
Alcanadre,Plazas Totales,2009,
Alcanadre,Plazas Totales,2010,80
Alcanadre,Plazas Totales,2011,80
Alcanadre,Plazas Totales,2012,80
Alcanadre,Plazas Totales,2013,80
Alcanadre,Plazas Totales,2014,80
Alcanadre,Plazas Totales,2015,80
Alcanadre,Plazas Totales,2016,80
Alcanadre,Plazas Totales,2017,80
Alcanadre,Plazas Totales,2018,80
Alcanadre,Plazas Totales,2019,80
Alcanadre,Plazas Totales,2020,80
Alcanadre,Plazas Totales,2021,80
Alcanadre,Plazas Totales,2022,80
Alcanadre,Plazas Totales,2023,80
Alcanadre,Plazas Totales,2024,80
Alcanadre,Plazas / 1000 habitantes,2009,
Alcanadre,Plazas / 1000 habitantes,2010,104.71
Alcanadre,Plazas / 1000 habitantes,2011,107.38
Alcanadre,Plazas / 1000 habitantes,2012,106.95
Alcanadre,Plazas / 1000 habitantes,2013,110.04
Alcanadre,Plazas / 1000 habitantes,2014,114.12
Alcanadre,Plazas / 1000 habitantes,2015,112.68
Alcanadre,Plazas / 1000 habitantes,2016,115.11
Alcanadre,Plazas / 1000 habitantes,2017,120.66
Alcanadre,Plazas / 1000 habitantes,2018,124.22
Alcanadre,Plazas / 1000 habitantes,2019,124.42
Alcanadre,Plazas / 1000 habitantes,2020,125.39
Alcanadre,Plazas / 1000 habitantes,2021,123.65
Alcanadre,Plazas / 1000 habitantes,2022,123.65
Alcanadre,Plazas / 1000 habitantes,2023,119.76
Alcanadre,Plazas / 1000 habitantes,2024,
Aldeanueva de Ebro,Plazas Totales,2009,165
Aldeanueva de Ebro,Plazas Totales,2010,165
Aldeanueva de Ebro,Plazas Totales,2011,165
Aldeanueva de Ebro,Plazas Totales,2012,165
Aldeanueva de Ebro,Plazas Totales,2013,165
Aldeanueva de Ebro,Plazas Totales,2014,165
Aldeanueva de Ebro,Plazas Totales,2015,165
Aldeanueva de Ebro,Plazas Totales,2016,165
Aldeanueva de Ebro,Plazas Totales,2017,165
Aldeanueva de Ebro,Plazas Totales,2018,165
Aldeanueva de Ebro,Plazas Totales,2019,165
Aldeanueva de Ebro,Plazas Totales,2020,165
Aldeanueva de Ebro,Plazas Totales,2021,165
Aldeanueva de Ebro,Plazas Totales,2022,165
Aldeanueva de Ebro,Plazas Totales,2023,165
Aldeanueva de Ebro,Plazas Totales,2024,165
Aldeanueva de Ebro,Plazas / 1000 habitantes,2009,58.68
Aldeanueva de Ebro,Plazas / 1000 habitantes,2010,58.53
Aldeanueva de Ebro,Plazas / 1000 habitantes,2011,58.59
Aldeanueva de Ebro,Plazas / 1000 habitantes,2012,58.61
Aldeanueva de Ebro,Plazas / 1000 habitantes,2013,58.57
Aldeanueva de Ebro,Plazas / 1000 habitantes,2014,58.87
Aldeanueva de Ebro,Plazas / 1000 habitantes,2015,59.37
Aldeanueva de Ebro,Plazas / 1000 habitantes,2016,60.13
Aldeanueva de Ebro,Plazas / 1000 habitantes,2017,60.44
Aldeanueva de Ebro,Plazas / 1000 habitantes,2018,60.4
Aldeanueva de Ebro,Plazas / 1000 habitantes,2019,59.76
Aldeanueva de Ebro,Plazas / 1000 habitantes,2020,59.78
Aldeanueva de Ebro,Plazas / 1000 habitantes,2021,59.06
Aldeanueva de Ebro,Plazas / 1000 habitantes,2022,59.22
Aldeanueva de Ebro,Plazas / 1000 habitantes,2023,60.13
Aldeanueva de Ebro,Plazas / 1000 habitantes,2024,
Alesanco,Plazas Totales,2009,65
Alesanco,Plazas Totales,2010,65
Alesanco,Plazas Totales,2011,65
Alesanco,Plazas Totales,2012,65
Alesanco,Plazas Totales,2013,65
Alesanco,Plazas Totales,2014,65
Alesanco,Plazas Totales,2015,65
Alesanco,Plazas Totales,2016,65
Alesanco,Plazas Totales,2017,65
Alesanco,Plazas Totales,2018,65
Alesanco,Plazas Totales,2019,65
Alesanco,Plazas Totales,2020,65
Alesanco,Plazas Totales,2021,
Alesanco,Plazas Totales,2022,
Alesanco,Plazas Totales,2023,
Alesanco,Plazas Totales,2024,
Alesanco,Plazas / 1000 habitantes,2009,134.85
Alesanco,Plazas / 1000 habitantes,2010,127.7
Alesanco,Plazas / 1000 habitantes,2011,115.66
Alesanco,Plazas / 1000 habitantes,2012,120.15
Alesanco,Plazas / 1000 habitantes,2013,121.04
Alesanco,Plazas / 1000 habitantes,2014,123.11
Alesanco,Plazas / 1000 habitantes,2015,128.71
Alesanco,Plazas / 1000 habitantes,2016,128.21
Alesanco,Plazas / 1000 habitantes,2017,127.95
Alesanco,Plazas / 1000 habitantes,2018,129.48
Alesanco,Plazas / 1000 habitantes,2019,128.71
Alesanco,Plazas / 1000 habitantes,2020,128.97
Alesanco,Plazas / 1000 habitantes,2021,
Alesanco,Plazas / 1000 habitantes,2022,
Alesanco,Plazas / 1000 habitantes,2023,
Alesanco,Plazas / 1000 habitantes,2024,
Alesón,Plazas Totales,2009,127
Alesón,Plazas Totales,2010,127
Alesón,Plazas Totales,2011,127
Alesón,Plazas Totales,2012,127
Alesón,Plazas Totales,2013,127
Alesón,Plazas Totales,2014,127
Alesón,Plazas Totales,2015,127
Alesón,Plazas Totales,2016,127
Alesón,Plazas Totales,2017,127
Alesón,Plazas Totales,2018,127
Alesón,Plazas Totales,2019,127
Alesón,Plazas Totales,2020,127
Alesón,Plazas Totales,2021,127
Alesón,Plazas Totales,2022,127
Alesón,Plazas Totales,2023,91
Alesón,Plazas Totales,2024,91
Alesón,Plazas / 1000 habitantes,2009,962.12
Alesón,Plazas / 1000 habitantes,2010,1094.83
Alesón,Plazas / 1000 habitantes,2011,1085.47
Alesón,Plazas / 1000 habitantes,2012,1165.14
Alesón,Plazas / 1000 habitantes,2013,1104.35
Alesón,Plazas / 1000 habitantes,2014,1085.47
Alesón,Plazas / 1000 habitantes,2015,1024.19
Alesón,Plazas / 1000 habitantes,2016,1104.35
Alesón,Plazas / 1000 habitantes,2017,1186.92
Alesón,Plazas / 1000 habitantes,2018,1245.1
Alesón,Plazas / 1000 habitantes,2019,1282.83
Alesón,Plazas / 1000 habitantes,2020,1351.06
Alesón,Plazas / 1000 habitantes,2021,1380.43
Alesón,Plazas / 1000 habitantes,2022,1411.11
Alesón,Plazas / 1000 habitantes,2023,928.57
Alesón,Plazas / 1000 habitantes,2024,
Alfaro,Plazas Totales,2009,373
Alfaro,Plazas Totales,2010,373
Alfaro,Plazas Totales,2011,373
Alfaro,Plazas Totales,2012,453
Alfaro,Plazas Totales,2013,513
Alfaro,Plazas Totales,2014,578
Alfaro,Plazas Totales,2015,807
Alfaro,Plazas Totales,2016,807
Alfaro,Plazas Totales,2017,807
Alfaro,Plazas Totales,2018,807
Alfaro,Plazas Totales,2019,807
Alfaro,Plazas Totales,2020,857
Alfaro,Plazas Totales,2021,793
Alfaro,Plazas Totales,2022,793
Alfaro,Plazas Totales,2023,793
Alfaro,Plazas Totales,2024,793
Alfaro,Plazas / 1000 habitantes,2009,37.74
Alfaro,Plazas / 1000 habitantes,2010,38.01
Alfaro,Plazas / 1000 habitantes,2011,37.96
Alfaro,Plazas / 1000 habitantes,2012,45.99
Alfaro,Plazas / 1000 habitantes,2013,52.29
Alfaro,Plazas / 1000 habitantes,2014,59.66
Alfaro,Plazas / 1000 habitantes,2015,84.34
Alfaro,Plazas / 1000 habitantes,2016,84.48
Alfaro,Plazas / 1000 habitantes,2017,84.92
Alfaro,Plazas / 1000 habitantes,2018,85.31
Alfaro,Plazas / 1000 habitantes,2019,85.16
Alfaro,Plazas / 1000 habitantes,2020,89.17
Alfaro,Plazas / 1000 habitantes,2021,82.93
Alfaro,Plazas / 1000 habitantes,2022,81.53
Alfaro,Plazas / 1000 habitantes,2023,80.75
Alfaro,Plazas / 1000 habitantes,2024,
Almarza de Cameros,Plazas Totales,2009,
Almarza de Cameros,Plazas Totales,2010,
Almarza de Cameros,Plazas Totales,2011,
Almarza de Cameros,Plazas Totales,2012,
Almarza de Cameros,Plazas Totales,2013,
Almarza de Cameros,Plazas Totales,2014,
Almarza de Cameros,Plazas Totales,2015,
Almarza de Cameros,Plazas Totales,2016,
Almarza de Cameros,Plazas Totales,2017,
Almarza de Cameros,Plazas Totales,2018,
Almarza de Cameros,Plazas Totales,2019,
Almarza de Cameros,Plazas Totales,2020,
Almarza de Cameros,Plazas Totales,2021,
Almarza de Cameros,Plazas Totales,2022,
Almarza de Cameros,Plazas Totales,2023,
Almarza de Cameros,Plazas Totales,2024,
Almarza de Cameros,Plazas / 1000 habitantes,2009,
Almarza de Cameros,Plazas / 1000 habitantes,2010,
Almarza de Cameros,Plazas / 1000 habitantes,2011,
Almarza de Cameros,Plazas / 1000 habitantes,2012,
Almarza de Cameros,Plazas / 1000 habitantes,2013,
Almarza de Cameros,Plazas / 1000 habitantes,2014,
Almarza de Cameros,Plazas / 1000 habitantes,2015,
Almarza de Cameros,Plazas / 1000 habitantes,2016,
Almarza de Cameros,Plazas / 1000 habitantes,2017,
Almarza de Cameros,Plazas / 1000 habitantes,2018,
