Periodo,Categoría,Residencia viajero,DATA
2017M07,TOTAL,TOTAL,33535
2017M07,TOTAL,Residentes en Espańa,30711.66
2017M07,TOTAL,No residentes en Espańa,2823.34
2017M07,Camping de 1Ş,TOTAL,29054
2017M07,Camping de 1Ş,Residentes en Espańa,27061.89
2017M07,Camping de 1Ş,No residentes en Espańa,1992.11
2017M07,Camping de 2Ş y 3Ş,TOTAL,4481
2017M07,Camping de 2Ş y 3Ş,Residentes en Espańa,3649.77
2017M07,Camping de 2Ş y 3Ş,No residentes en Espańa,831.23
2017M08,TOTAL,TOTAL,41514
2017M08,TOTAL,Residentes en Espańa,36290.9
2017M08,TOTAL,No residentes en Espańa,5223.1
2017M08,Camping de 1Ş,TOTAL,36985
2017M08,Camping de 1Ş,Residentes en Espańa,32937.14
2017M08,Camping de 1Ş,No residentes en Espańa,4047.86
2017M08,Camping de 2Ş y 3Ş,TOTAL,4529
2017M08,Camping de 2Ş y 3Ş,Residentes en Espańa,3353.76
2017M08,Camping de 2Ş y 3Ş,No residentes en Espańa,1175.24
2017M09,TOTAL,TOTAL,14649
2017M09,TOTAL,Residentes en Espańa,12835.11
2017M09,TOTAL,No residentes en Espańa,1813.89
2017M09,Camping de 1Ş,TOTAL,11391
2017M09,Camping de 1Ş,Residentes en Espańa,10733.63
2017M09,Camping de 1Ş,No residentes en Espańa,657.37
2017M09,Camping de 2Ş y 3Ş,TOTAL,
2017M09,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M09,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M10,TOTAL,TOTAL,7057
2017M10,TOTAL,Residentes en Espańa,6106.68
2017M10,TOTAL,No residentes en Espańa,950.32
2017M10,Camping de 1Ş,TOTAL,5049
2017M10,Camping de 1Ş,Residentes en Espańa,4819.79
2017M10,Camping de 1Ş,No residentes en Espańa,229.21
2017M10,Camping de 2Ş y 3Ş,TOTAL,
2017M10,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M10,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M11,TOTAL,TOTAL,5242
2017M11,TOTAL,Residentes en Espańa,4852.06
2017M11,TOTAL,No residentes en Espańa,389.94
2017M11,Camping de 1Ş,TOTAL,4597
2017M11,Camping de 1Ş,Residentes en Espańa,4497.61
2017M11,Camping de 1Ş,No residentes en Espańa,99.39
2017M11,Camping de 2Ş y 3Ş,TOTAL,
2017M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M12,TOTAL,TOTAL,4872.49
2017M12,TOTAL,Residentes en Espańa,4813.06
2017M12,TOTAL,No residentes en Espańa,59.43
2017M12,Camping de 1Ş,TOTAL,4383
2017M12,Camping de 1Ş,Residentes en Espańa,4323.57
2017M12,Camping de 1Ş,No residentes en Espańa,59.43
2017M12,Camping de 2Ş y 3Ş,TOTAL,
2017M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M01,TOTAL,TOTAL,1625
2018M01,TOTAL,Residentes en Espańa,1401.76
2018M01,TOTAL,No residentes en Espańa,223.24
2018M01,Camping de 1Ş,TOTAL,1625
2018M01,Camping de 1Ş,Residentes en Espańa,1401.76
2018M01,Camping de 1Ş,No residentes en Espańa,223.24
2018M01,Camping de 2Ş y 3Ş,TOTAL,
2018M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M02,TOTAL,TOTAL,2160.53
2018M02,TOTAL,Residentes en Espańa,1555.26
2018M02,TOTAL,No residentes en Espańa,605.27
2018M02,Camping de 1Ş,TOTAL,1431
2018M02,Camping de 1Ş,Residentes en Espańa,1305.47
2018M02,Camping de 1Ş,No residentes en Espańa,125.53
2018M02,Camping de 2Ş y 3Ş,TOTAL,
2018M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M03,TOTAL,TOTAL,8279
2018M03,TOTAL,Residentes en Espańa,6856.31
2018M03,TOTAL,No residentes en Espańa,1422.69
2018M03,Camping de 1Ş,TOTAL,6451
2018M03,Camping de 1Ş,Residentes en Espańa,6016.23
2018M03,Camping de 1Ş,No residentes en Espańa,434.77
2018M03,Camping de 2Ş y 3Ş,TOTAL,
2018M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M04,TOTAL,TOTAL,6282
2018M04,TOTAL,Residentes en Espańa,4674.79
2018M04,TOTAL,No residentes en Espańa,1607.21
2018M04,Camping de 1Ş,TOTAL,4257
2018M04,Camping de 1Ş,Residentes en Espańa,3592.66
2018M04,Camping de 1Ş,No residentes en Espańa,664.34
2018M04,Camping de 2Ş y 3Ş,TOTAL,2025
2018M04,Camping de 2Ş y 3Ş,Residentes en Espańa,1082.13
2018M04,Camping de 2Ş y 3Ş,No residentes en Espańa,942.87
2018M05,TOTAL,TOTAL,7357
2018M05,TOTAL,Residentes en Espańa,5432.04
2018M05,TOTAL,No residentes en Espańa,1924.96
2018M05,Camping de 1Ş,TOTAL,5214
2018M05,Camping de 1Ş,Residentes en Espańa,4224.48
2018M05,Camping de 1Ş,No residentes en Espańa,989.52
