Periodo,Categoría,DATA
2023M09,TOTAL,120.64
2023M09,1 Llave,96.62
2023M09,"2, 3 y 4 Llaves",24.02
2023M10,TOTAL,115.68
2023M10,1 Llave,
2023M10,"2, 3 y 4 Llaves",
2023M11,TOTAL,115.68
2023M11,1 Llave,
2023M11,"2, 3 y 4 Llaves",
2023M12,TOTAL,109.14
2023M12,1 Llave,
2023M12,"2, 3 y 4 Llaves",
2024M01,TOTAL,90.59
2024M01,1 Llave,78.52
2024M01,"2, 3 y 4 Llaves",12.07
2024M02,TOTAL,88.94
2024M02,1 Llave,77.84
2024M02,"2, 3 y 4 Llaves",11.1
2024M03,TOTAL,101.64
2024M03,1 Llave,80.62
2024M03,"2, 3 y 4 Llaves",21.02
